
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .6675891153   14350089.69   .0001243555
    permanent |    .5109703959   14350089.69   .0001319587
    temporary |    .1566187194   14350089.69   .0000959415
     self_emp |    .0968572378   14350089.69   .0000780759
         erte |    .0379979458   14350089.69   .0000504709
   unemployed |    .1111520384   14350089.69   .0000829746
     inactive |    .1244016085   14350089.69   .0000871241
        occ_0 |    .0086407174   14350089.69   .0000244322
        occ_1 |    .0266976889   14350089.69   .0000425533
        occ_2 |    .1780391472   14350089.69   .0001009848
        occ_3 |    .0958717339   14350089.69     .00007772
        occ_4 |    .0918304679   14350089.69   .0000762342
        occ_5 |    .1973459631   14350089.69   .0001050633
        occ_6 |     .011373023   14350089.69   .0000279915
        occ_7 |    .1006521145   14350089.69   .0000794233
        occ_8 |    .0620738476   14350089.69   .0000636959
        occ_9 |    .1127173282   14350089.69   .0000834832
        act_0 |    .0373710814   14350089.69   .0000500691
        act_1 |    .0427904329   14350089.69   .0000534256
        act_2 |    .0489811865   14350089.69   .0000569747
        act_3 |    .0384794794   14350089.69   .0000507769
        act_4 |     .054583578   14350089.69   .0000599674
        act_5 |    .2297666245   14350089.69   .0001110522
        act_6 |    .0776474199   14350089.69   .0000706455
        act_7 |    .1180347124   14350089.69   .0000851733
        act_8 |    .1767135081   14350089.69   .0001006892
        act_9 |    .0608740084   14350089.69   .0000631176
       tenure |    78.24383075   10969873.73   .0194912344
----------------------------------------------------------
