
. tab ciclo Ghusband if husband

           |       Ghusband
     ciclo |         0          1 |     Total
-----------+----------------------+----------
       130 |    21,196         20 |    21,216 
       131 |    20,884         37 |    20,921 
       132 |    20,354         26 |    20,380 
       133 |    20,569         28 |    20,597 
       134 |    21,246         26 |    21,272 
       135 |    22,150         28 |    22,178 
       136 |    21,898         38 |    21,936 
       137 |    22,078         42 |    22,120 
       138 |    22,657         52 |    22,709 
       139 |    22,907         53 |    22,960 
       140 |    22,797         55 |    22,852 
       141 |    22,795         46 |    22,841 
       142 |    22,958         52 |    23,010 
       143 |    23,131         61 |    23,192 
       144 |    22,898         64 |    22,962 
       145 |    22,784         71 |    22,855 
       146 |    22,773         70 |    22,843 
       147 |    22,861         75 |    22,936 
       148 |    23,835         77 |    23,912 
       149 |    23,837         73 |    23,910 
       150 |    23,731         65 |    23,796 
       151 |    23,379         71 |    23,450 
       152 |    23,152         70 |    23,222 
       153 |    23,108         64 |    23,172 
       154 |    23,370         56 |    23,426 
       155 |    23,065         50 |    23,115 
       156 |    22,749         51 |    22,800 
       157 |    22,276         53 |    22,329 
       158 |    22,669         52 |    22,721 
       159 |    22,453         54 |    22,507 
       160 |    22,108         68 |    22,176 
       161 |    22,086         78 |    22,164 
       162 |    21,967         75 |    22,042 
       163 |    22,169         61 |    22,230 
       164 |    21,948         70 |    22,018 
       165 |    21,889         70 |    21,959 
       166 |    21,803         81 |    21,884 
       167 |    21,544         91 |    21,635 
       168 |    21,158         89 |    21,247 
       169 |    21,112         85 |    21,197 
       170 |    20,856         83 |    20,939 
       171 |    20,585         89 |    20,674 
       172 |    19,995         93 |    20,088 
       173 |    19,923        103 |    20,026 
       174 |    19,670        108 |    19,778 
       175 |    19,430        115 |    19,545 
       176 |    19,330        117 |    19,447 
       177 |    19,069        117 |    19,186 
       178 |    19,278        126 |    19,404 
       179 |    19,086        126 |    19,212 
       180 |    18,887        123 |    19,010 
       181 |    19,014        134 |    19,148 
       182 |    19,238        141 |    19,379 
       183 |    19,232        145 |    19,377 
       184 |    19,046        143 |    19,189 
       185 |    19,184        168 |    19,352 
       186 |    19,448        174 |    19,622 
       187 |    19,285        163 |    19,448 
       188 |    18,915        155 |    19,070 
       189 |    18,721        148 |    18,869 
       190 |    18,024        151 |    18,175 
       191 |    16,939        139 |    17,078 
       192 |    16,526        116 |    16,642 
       193 |    16,334        129 |    16,463 
       194 |    15,694        155 |    15,849 
       195 |    14,998        148 |    15,146 
       196 |    14,219        148 |    14,367 
       197 |    14,378        148 |    14,526 
       198 |    14,327        178 |    14,505 
       199 |    14,348        168 |    14,516 
       200 |    13,992        158 |    14,150 
       201 |    13,854        157 |    14,011 
-----------+----------------------+----------
     Total | 1,466,169      6,714 | 1,472,883 

. log close
