
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .7512417018    3802064.32   .0002217017
    permanent |    .6012093793    3802064.32   .0002511167
    temporary |    .1500323224    3802064.32   .0001831403
     self_emp |    .1267170883    3802064.32   .0001706025
         erte |    .0107747257    3802064.32    .000052947
   unemployed |    .0817619834    3802064.32   .0001405218
     inactive |    .0402792265    3802064.32   .0001008332
        occ_0 |    .0162036396    3802064.32   .0000647514
        occ_1 |    .0408510501    3802064.32   .0001015161
        occ_2 |    .1188970969    3802064.32   .0001659928
        occ_3 |     .109092894    3802064.32   .0001598839
        occ_4 |    .0432070518    3802064.32   .0001042741
        occ_5 |    .1405614437    3802064.32   .0001782505
        occ_6 |    .0263168536    3802064.32   .0000820949
        occ_7 |    .2232309158    3802064.32   .0002135568
        occ_8 |    .1264956428    3802064.32    .000170475
        occ_9 |    .1090480079    3802064.32    .000159855
        act_0 |    .0606000453    3802064.32   .0001223636
        act_1 |    .0502315753    3802064.32   .0001120179
        act_2 |    .0880139108    3802064.32   .0001452982
        act_3 |    .0619567846    3802064.32   .0001236364
        act_4 |     .129185571    3802064.32   .0001720126
        act_5 |    .2072390269    3802064.32   .0002078726
        act_6 |    .1064145937    3802064.32   .0001581463
        act_7 |    .1043761722    3802064.32   .0001568028
        act_8 |    .1182143731    3802064.32   .0001655797
        act_9 |    .0276725434    3802064.32   .0000841242
       tenure |    88.06581475    3338055.79   .0381835519
----------------------------------------------------------
