
. gstats tab employed permanent temporary self_emp erte unemployed inactive occ_0 occ_1 occ_2 occ_3 occ_4 occ_5
>  occ_6 occ_7 occ_8 occ_9 act_0 act_1 act_2 act_3 act_4 act_5 act_6 act_7 act_8 act_9 tenure if father_10==1&h
> usband==1&age3040==1, s(mean n semean) format(%12.0g)

     variable |           mean        n        semean
-----------------------------------------------------
     employed |    .7055372155  299,284    .000833171
    permanent |    .5515630638  299,284   .0009090908
    temporary |    .1539741516  299,284   .0006597429
     self_emp |    .1693040724  299,284   .0006855099
         erte |    .0020983414  299,284   .0000836452
   unemployed |    .0980272918  299,284   .0005435371
     inactive |    .0271314203  299,284   .0002969767
        occ_0 |    .0109828791  299,284   .0001905105
        occ_1 |      .06057123  299,284   .0004360378
        occ_2 |    .0988559362  299,284   .0005455788
        occ_3 |     .103573863  299,284   .0005569822
        occ_4 |    .0434503682  299,284   .0003726572
        occ_5 |    .1201968699  299,284   .0005944267
        occ_6 |    .0273853597  299,284   .0002983243
        occ_7 |    .2514568103  299,284   .0007930473
        occ_8 |    .1455674209  299,284   .0006446589
        occ_9 |    .0935967175  299,284   .0005324147
        act_0 |     .054266182  299,284   .0004141027
        act_1 |    .0564146429  299,284   .0004217407
        act_2 |    .0931189105  299,284   .0005311939
        act_3 |    .0673607677  299,284   .0004581623
        act_4 |    .1730897743  299,284   .0006915504
        act_5 |    .1884698146  299,284   .0007148785
        act_6 |    .0909737908  299,284   .0005256605
        act_7 |     .087482124  299,284   .0005164631
        act_8 |    .1184259767  299,284    .000590625
        act_9 |    .0260354713  299,284   .0002910806
       tenure |    90.72499293  261,826   .1346557806
-----------------------------------------------------

. log close
