
. gstats tab employed permanent temporary self_emp erte unemployed inactive occ_0 occ_1 occ_2 occ_3 occ_4 occ_5
>  occ_6 occ_7 occ_8 occ_9 act_0 act_1 act_2 act_3 act_4 act_5 act_6 act_7 act_8 act_9 tenure [pw=factorel] if 
> father_20==0&husband==1&age3040==1, s(mean n semean) format(%12.0g)

     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .7389737243   50617007.98   .0000617317
    permanent |     .568344266   50617007.98   .0000696188
    temporary |    .1706294583   50617007.98   .0000528753
     self_emp |     .130986682   50617007.98   .0000474219
         erte |    .0030909445   50617007.98   7.80234e-06
   unemployed |    .0987831187   50617007.98    .000041938
     inactive |    .0312564749   50617007.98   .0000244583
        occ_0 |    .0107788682   50617007.98   .0000145139
        occ_1 |    .0510357863   50617007.98   .0000309324
        occ_2 |    .1588557487   50617007.98   .0000513793
        occ_3 |    .1439686098   50617007.98   .0000493436
        occ_4 |    .0574855254   50617007.98   .0000327171
        occ_5 |     .130832733   50617007.98   .0000473982
        occ_6 |    .0176410301   50617007.98   .0000185033
        occ_7 |    .1933277626   50617007.98    .000055507
        occ_8 |     .110743482   50617007.98   .0000441087
        occ_9 |    .0830237467   50617007.98   .0000387822
        act_0 |    .0343013914   50617007.98   .0000255816
        act_1 |    .0429734122   50617007.98   .0000285045
        act_2 |    .0784634497   50617007.98   .0000377956
        act_3 |    .0699439019   50617007.98   .0000358493
        act_4 |    .1298102935   50617007.98   .0000472404
        act_5 |    .1909071043   50617007.98   .0000552411
        act_6 |    .1137531261   50617007.98   .0000446283
        act_7 |    .1307543348   50617007.98   .0000473861
        act_8 |    .1275044772   50617007.98   .0000468809
        act_9 |    .0392818017   50617007.98   .0000273052
       tenure |    71.66222935   44034792.83   .0089512886
----------------------------------------------------------

. log close
