
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .7982255262    2333190.77   .0002627368
    permanent |     .678818042    2333190.77   .0003056872
    temporary |    .1194074842    2333190.77   .0002122894
     self_emp |    .0993836608    2333190.77    .000195863
         erte |    .0003416137    2333190.77   .0000120981
   unemployed |    .0536150801    2333190.77   .0001474695
     inactive |     .048775733    2333190.77    .000141016
        occ_0 |    .0181816123    2333190.77   .0000874695
        occ_1 |    .0356145074    2333190.77   .0001213288
        occ_2 |    .2026649454    2333190.77    .000263169
        occ_3 |    .1591865804    2333190.77   .0002395124
        occ_4 |    .0596253687    2333190.77   .0001550212
        occ_5 |    .1416375696    2333190.77   .0002282704
        occ_6 |    .0145232874    2333190.77   .0000783214
        occ_7 |    .1411004167    2333190.77   .0002279084
        occ_8 |    .1150262822    2333190.77   .0002088761
        occ_9 |    .0815880221    2333190.77   .0001792078
        act_0 |    .0321003541    2333190.77   .0001153971
        act_1 |    .0381880775    2333190.77   .0001254683
        act_2 |    .0752444516    2333190.77   .0001726934
        act_3 |    .0602408263    2333190.77   .0001557682
        act_4 |    .0825456763    2333190.77   .0001801625
        act_5 |    .1915215188    2333190.77   .0002576131
        act_6 |    .1593592666    2333190.77   .0002396177
        act_7 |    .1324268782    2333190.77   .0002219045
        act_8 |    .1521023375    2333190.77   .0002351065
        act_9 |     .045419205    2333190.77   .0001363173
       tenure |    69.41865784    2094293.47   .0415998388
----------------------------------------------------------
