
. gstats tab employed permanent temporary self_emp erte unemployed inactive occ_0 occ_1 occ_2 occ_3 occ_4 occ_5
>  occ_6 occ_7 occ_8 occ_9 act_0 act_1 act_2 act_3 act_4 act_5 act_6 act_7 act_8 act_9 tenure if father_20==0&h
> usband==1&age3040==1, s(mean n semean) format(%12.0g)

     variable |           mean        n        semean
-----------------------------------------------------
     employed |     .736120116  117,220   .0012872962
    permanent |     .565978502  117,220   .0014476267
    temporary |    .1701416141  117,220   .0010975094
     self_emp |    .1373826992  117,220   .0010054862
         erte |    .0027213786  117,220   .0001521611
   unemployed |     .096084286  117,220    .000860778
     inactive |    .0304128988  117,220   .0005015605
        occ_0 |    .0120030711  117,220   .0003180717
        occ_1 |     .051305238  117,220   .0006443845
        occ_2 |    .1498464426  117,220   .0010424924
        occ_3 |    .1404026617  117,220   .0010146966
        occ_4 |    .0554768811  117,220   .0006685953
        occ_5 |    .1274099983  117,220   .0009738854
        occ_6 |     .019621225  117,220   .0004050988
        occ_7 |    .2026531309  117,220   .0011740898
        occ_8 |    .1205681624  117,220    .000951083
        occ_9 |    .0779815731  117,220   .0007831894
        act_0 |    .0362822044  117,220   .0005461636
        act_1 |    .0493004607  117,220   .0006323363
        act_2 |    .0883637605  117,220   .0008289892
        act_3 |    .0739976113  117,220   .0007645676
        act_4 |    .1281777854  117,220   .0009763855
        act_5 |    .1865637263  117,220   .0011378273
        act_6 |    .0987459478  117,220   .0008713332
        act_7 |    .1203207644  117,220   .0009502403
        act_8 |    .1392851049  117,220   .0010113069
        act_9 |    .0362310186  117,220   .0005457927
       tenure |    75.54624385  102,392   .1914463914
-----------------------------------------------------

. log close
