
           |                 man_status
     ciclo | couple_0k   couple_k      other     single |     Total
-----------+--------------------------------------------+----------
       130 |     2,094      9,235        509      4,865 |    16,703 
       131 |     2,096      9,052        486      4,837 |    16,471 
       132 |     1,981      8,944        477      4,737 |    16,139 
       133 |     2,054      8,914        447      4,727 |    16,142 
       134 |     2,172      9,186        444      4,867 |    16,669 
       135 |     2,313      9,538        455      5,127 |    17,433 
       136 |     2,303      9,339        443      5,096 |    17,181 
       137 |     2,411      9,313        443      5,203 |    17,370 
       138 |     2,496      9,525        462      5,379 |    17,862 
       139 |     2,535      9,702        477      5,470 |    18,184 
       140 |     2,476      9,636        466      5,468 |    18,046 
       141 |     2,460      9,656        459      5,418 |    17,993 
       142 |     2,492      9,692        445      5,399 |    18,028 
       143 |     2,542      9,691        437      5,532 |    18,202 
       144 |     2,568      9,508        421      5,439 |    17,936 
       145 |     2,600      9,376        418      5,427 |    17,821 
       146 |     2,603      9,391        417      5,415 |    17,826 
       147 |     2,654      9,432        420      5,430 |    17,936 
       148 |     2,802      9,727        498      5,814 |    18,841 
       149 |     2,850      9,809        513      5,777 |    18,949 
       150 |     2,877      9,737        533      5,797 |    18,944 
       151 |     2,843      9,639        504      5,696 |    18,682 
       152 |     2,815      9,511        491      5,677 |    18,494 
       153 |     2,812      9,451        500      5,648 |    18,411 
       154 |     2,936      9,432        471      5,623 |    18,462 
       155 |     2,858      9,297        451      5,659 |    18,265 
       156 |     2,758      9,170        419      5,551 |    17,898 
       157 |     2,672      8,997        428      5,467 |    17,564 
       158 |     2,669      9,192        435      5,646 |    17,942 
       159 |     2,641      9,044        409      5,821 |    17,915 
       160 |     2,504      8,901        418      5,825 |    17,648 
       161 |     2,552      8,794        453      5,818 |    17,617 
       162 |     2,509      8,683        444      5,884 |    17,520 
       163 |     2,509      8,710        462      5,864 |    17,545 
       164 |     2,538      8,647        485      5,740 |    17,410 
       165 |     2,505      8,651        483      5,612 |    17,251 
       166 |     2,572      8,572        467      5,731 |    17,342 
       167 |     2,503      8,395        442      5,722 |    17,062 
       168 |     2,388      8,235        426      5,693 |    16,742 
       169 |     2,300      8,220        415      5,643 |    16,578 
       170 |     2,268      8,125        401      5,588 |    16,382 
       171 |     2,263      7,993        389      5,476 |    16,121 
       172 |     2,184      7,664        391      5,359 |    15,598 
       173 |     2,136      7,709        402      5,265 |    15,512 
       174 |     2,142      7,588        383      5,149 |    15,262 
       175 |     2,087      7,493        375      5,120 |    15,075 
       176 |     2,065      7,410        379      5,057 |    14,911 
       177 |     2,102      7,293        375      5,053 |    14,823 
       178 |     2,135      7,377        393      5,042 |    14,947 
       179 |     2,113      7,244        405      5,027 |    14,789 
       180 |     2,112      7,156        417      4,945 |    14,630 
       181 |     2,076      7,198        403      4,993 |    14,670 
       182 |     2,124      7,225        401      4,999 |    14,749 
       183 |     2,150      7,228        428      5,002 |    14,808 
       184 |     2,232      7,022        425      4,958 |    14,637 
       185 |     2,296      7,093        426      4,976 |    14,791 
       186 |     2,310      7,177        414      4,960 |    14,861 
       187 |     2,244      7,094        412      4,830 |    14,580 
       188 |     2,190      6,885        401      4,917 |    14,393 
       189 |     2,142      6,768        392      4,846 |    14,148 
       190 |     2,096      6,456        385      4,665 |    13,602 
       191 |     1,958      6,024        354      4,417 |    12,753 
       192 |     1,856      5,877        344      4,430 |    12,507 
       193 |     1,819      5,789        345      4,554 |    12,507 
       194 |     1,694      5,481        306      4,334 |    11,815 
       195 |     1,600      5,213        297      4,218 |    11,328 
       196 |     1,450      4,965        256      3,996 |    10,667 
       197 |     1,457      4,973        262      3,956 |    10,648 
       198 |     1,518      4,907        238      3,915 |    10,578 
       199 |     1,586      4,955        228      3,811 |    10,580 
       200 |     1,537      4,815        246      3,751 |    10,349 
       201 |     1,483      4,714        258      3,740 |    10,195 
-----------+--------------------------------------------+----------
     Total |   164,688    578,855     29,804    370,893 | 1,144,240 
