
           |                 man_status
     ciclo | couple_0k   couple_k      other     single |     Total
-----------+--------------------------------------------+----------
       130 |  88442675  265492751   16102996  174774876 | 544813298 
       131 |  89035641  265693262   15471814  179672240 | 549872957 
       132 |  88248578  270496734   14817065  180000873 | 553563250 
       133 |  92506887  273022087   13620738  178208222 | 557357934 
       134 |  93325406  273511693   13046700  181143341 | 561027140 
       135 |  94482080  272269692   13669487  184541908 | 564963167 
       136 |  95168625  272986217   13547772  187528882 | 569231496 
       137 |  99946247  272840455   13511647  187629452 | 573927801 
       138 | 101187462  274062280   14374798  189408391 | 579032931 
       139 | 101861549  275695619   14880647  191298628 | 583736443 
       140 | 101514128  278676470   14867622  193180991 | 588239211 
       141 | 104635003  280589745   15210794  192600373 | 593035915 
       142 | 105287049  282733686   14768417  194025783 | 596814935 
       143 | 105295537  282811276   14421992  197432920 | 599961725 
       144 | 107890365  284946392   14056860  195666858 | 602560475 
       145 | 109494572  285412211   13898372  196034089 | 604839244 
       146 | 107906690  286405926   14089596  197629831 | 606032043 
       147 | 109528553  287233401   14164999  195409605 | 606336558 
       148 | 111585672  286202976   13884644  194780378 | 606453670 
       149 | 112204535  287282231   14521711  192622537 | 606631014 
       150 | 111962228  286401187   15543758  192546237 | 606453410 
       151 | 110932608  285688777   14679959  194851686 | 606153030 
       152 | 111383417  285692187   14585133  194191765 | 605852502 
       153 | 110551716  286020111   14504560  194493531 | 605569918 
       154 | 113535870  283435931   13706988  194125870 | 604804659 
       155 | 109447255  282298358   12892476  199155841 | 603793930 
       156 | 108967379  283180967   12488043  198015123 | 602651512 
       157 | 109622613  282413254   13575402  196072645 | 601683914 
       158 | 106956697  281566437   13401918  197411847 | 599336899 
       159 | 103846699  277385193   12816023  199373458 | 593421373 
       160 | 101594282  277399009   13252440  201460342 | 593706073 
       161 | 105088517  274034603   14937824  196508666 | 590569610 
       162 | 102578594  271199227   14221378  198958806 | 586958005 
       163 | 102020470  270225708   14437493  196229507 | 582913178 
       164 | 102723375  267827431   14913779  192551479 | 578016064 
       165 | 100247596  268591204   14399047  190229320 | 573467167 
       166 | 102190232  264318697   13537662  188947456 | 568994047 
       167 |  99253014  262329083   13411461  192427756 | 567421314 
       168 |  97622962  262204529   13454646  190951079 | 564233216 
       169 |  94479539  262782883   12901011  191238775 | 561402208 
       170 |  93403741  263069820   11984196  189977322 | 558435079 
       171 |  93516908  261969884   11859888  188056945 | 555403625 
       172 |  90492593  259838321   12345071  189074703 | 551750688 
       173 |  89213960  257713747   12851141  187231777 | 547010625 
       174 |  91464144  254604679   12013958  185229356 | 543312137 
       175 |  89358014  252686829   11512279  185935264 | 539492386 
       176 |  88684433  251706516   11689937  183930755 | 536011641 
       177 |  89538980  247610872   11832512  183692535 | 532674899 
       178 |  89362628  244276077   12228490  183483254 | 529350449 
       179 |  89182490  241870197   12685365  182228219 | 525966271 
       180 |  89073311  240461270   13541436  179742251 | 522818268 
       181 |  85999006  241094096   12722750  180418465 | 520234317 
       182 |  86834446  239488186   11979537  179302576 | 517604745 
       183 |  88098166  236740916   12967451  177148398 | 514954931 
       184 |  91202428  232817259   13205005  175416568 | 512641260 
       185 |  90426581  231260890   13634445  175210944 | 510532860 
       186 |  90858772  229463519   12355983  175532394 | 508210668 
       187 |  90101327  228669373   12610517  174542384 | 505923601 
       188 |  88656047  225539665   13062844  176515181 | 503773737 
       189 |  88658051  222280384   12943901  177521184 | 501403520 
       190 |  90608613  218960972   13752500  175562471 | 498884556 
       191 |  90559633  213472954   13257822  178699527 | 495989936 
       192 |  86805748  212640576   13490051  179722884 | 492659259 
       193 |  85625291  210283475   13129418  180216468 | 489254652 
       194 |  85948998  207157122   11912432  180350393 | 485368945 
       195 |  83198771  202556961   12578954  182550709 | 480885395 
       196 |  81178958  201799110   11234339  182529489 | 476741896 
       197 |  84070827  198335450   10814352  180386948 | 473607577 
       198 |  87426619  193538492    9486996  179922571 | 470374678 
       199 |  91094918  191349933    9181314  176064436 | 467690601 
       200 |  90413993  188541008   10611334  176469268 | 466035603 
       201 |  87779402  187079231   10658896  179518669 | 465036198 
-----------+--------------------------------------------+----------
     Total |6963390114  1.836e+10  954724786  1.347e+10 | 3.975e+10 
