
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .5801166879    5682813.87   .0002070333
    permanent |    .4281227057    5682813.87   .0002075649
    temporary |    .1519939822    5682813.87   .0001506021
     self_emp |    .0685188516    5682813.87   .0001059767
         erte |    .0400174324    5682813.87   .0000822195
   unemployed |     .131978565    5682813.87   .0001419826
     inactive |    .2193858955    5682813.87   .0001735965
        occ_0 |    .0020317347    5682813.87   .0000188891
        occ_1 |    .0208845253    5682813.87   .0000599857
        occ_2 |    .1767500455    5682813.87   .0001600162
        occ_3 |    .0658042791    5682813.87   .0001040074
        occ_4 |    .1180204799    5682813.87     .00013534
        occ_5 |    .2257003589    5682813.87   .0001753634
        occ_6 |    .0041610531    5682813.87   .0000270032
        occ_7 |    .0172540105    5682813.87   .0000546241
        occ_8 |    .0218782003    5682813.87    .000061365
        occ_9 |    .1363594687    5682813.87   .0001439552
        act_0 |     .026983752    5682813.87   .0000679719
        act_1 |    .0355617894    5682813.87   .0000776868
        act_2 |    .0256632547    5682813.87   .0000663329
        act_3 |    .0137431899    5682813.87   .0000488379
        act_4 |    .0082030155    5682813.87    .000037837
        act_5 |    .2452721947    5682813.87   .0001804836
        act_6 |     .038366986    5682813.87   .0000805753
        act_7 |    .1073635058    5682813.87   .0001298626
        act_8 |    .2087481443    5682813.87   .0001704853
        act_9 |    .0789383236    5682813.87   .0001131115
       tenure |    84.81250122    3686075.04   .0345863417
----------------------------------------------------------
