     ciclo |         7          8          9 |     Total
-----------+---------------------------------+----------
       130 |  15498509   19185469    3823232 | 131196403 
       131 |  16169074   18680085    3677678 | 128544502 
       132 |  15834191   19545953    3766115 | 129659903 
       133 |  16429507   18464509    4321806 | 132965343 
       134 |  15969162   18219217    4538945 | 130275452 
       135 |  15997821   17866931    4419715 | 128789880 
       136 |  14796307   17085976    4478291 | 127739534 
       137 |  15253750   17173262    3941280 | 129389535 
       138 |  16897644   17304256    3486747 | 133259230 
       139 |  17846984   17843348    3721037 | 136031898 
       140 |  18095584   19015494    3594694 | 137404142 
       141 |  18700504   19375351    3908738 | 140434107 
       142 |  15168174   18463340    2612921 | 140710158 
       143 |  15268022   18447247    2286087 | 138641382 
       144 |  15410742   18721803    2880538 | 140373287 
       145 |  15166113   18920608    3435855 | 139132534 
       146 |  16326450   19027483    3335758 | 136519487 
       147 |  16470580   18654968    3204675 | 134229815 
       148 |  16383305   18448101    3264050 | 134208997 
       149 |  17072466   18753723    3274791 | 136663116 
       150 |  16863569   19386904    3114705 | 134770088 
       151 |  17257431   19523337    3070373 | 134295027 
       152 |  17216789   19356689    3420465 | 135203594 
       153 |  15981055   20065957    3742223 | 136235614 
       154 |  16029909   20588932    3340486 | 134785377 
       155 |  15766541   19685234    3826280 | 133818755 
       156 |  16631025   18583203    3781399 | 133617105 
       157 |  15913853   19116937    4072333 | 130510937 
       158 |  15781632   19249777    3640342 | 128187833 
       159 |  15826123   19451595    3333611 | 123632185 
       160 |  14858403   18599358    3556391 | 123350633 
       161 |  14796026   20056097    3955228 | 121958347 
       162 |  14699180   19645483    4449332 | 121521317 
       163 |  13900316   18814581    4398768 | 119341706 
       164 |  13696436   19027654    4376283 | 118032754 
       165 |  14277671   18843129    4285115 | 118144945 
       166 |  14434928   20652591    4671299 | 117055930 
       167 |  14401162   19995877    4471851 | 117019248 
       168 |  14883281   19607658    3864283 | 115144012 
       169 |  14862245   18415264    3502038 | 113634042 
       170 |  14745520   17222124    3179480 | 112180638 
       171 |  14591887   17631421    3309669 | 112552969 
       172 |  14295891   16032635    3430461 | 111840757 
       173 |  14988878   16898240    3661691 | 111690986 
       174 |  15153599   16544570    4238821 | 113170053 
       175 |  14412212   16025127    3856396 | 113196622 
       176 |  13826680   16536005    3472247 | 111394449 
       177 |  13623920   16286930    2761341 | 108468820 
       178 |  13218550   16288613    2584822 | 106773548 
       179 |  12950050   15822328    3096835 | 106073856 
       180 |  12003651   16374467    3022318 | 106263966 
       181 |  12146737   16160643    3393861 | 106186566 
       182 |  11280617   16676213    2951815 | 106361788 
       183 |   9985619   16314200    3205704 | 105204208 
       184 |  10503005   16275689    3807825 | 103483399 
       185 |  10975125   16275956    3428021 |  99284158 
       186 |  11023576   15459940    3332335 |  99547531 
       187 |  11260800   15109136    3123507 | 101904968 
       188 |  11936712   13207598    3160524 | 100094857 
       189 |  12695044   13089575    3082653 |  99317909 
       190 |  12760228   13407459    2612036 |  98892213 
       191 |  12476418   12845175    2951450 |  95363222 
       192 |  12165580   13444774    2837933 |  95743562 
       193 |  11870840   13529857    2714955 |  96372965 
       194 |  12831326   12708420    2312444 |  93754137 
       195 |  13344970   13005731    2720089 |  93565612 
       196 |  12833980   12550845    2856582 |  91127319 
       197 |  12313512   12788841    3057887 |  91170780 
       198 |  11703315   12890667    3330502 |  91191146 
       199 |  12438429   12882592    3471650 |  95884539 
       200 |  11852750   14060581    3321626 |  98328464 
       201 |  10786427   14062423    2664136 |  98967053 
-----------+---------------------------------+----------
     Total |1035828312 1236272156  249797374 |8471781214 
