
. tab ciclo rznotb [fweight=facexp] if sexo1==0&employed&age3040&husband==1

           |                                    rznotb
     ciclo |         0          1          2          3          4          5          6 |     Total
-----------+-----------------------------------------------------------------------------+----------
       130 |         0    7417084     104874      72937    3226891     175942      27739 |  11273695 
       131 |         0    2849651     117245          0    3071087     137293          0 |   6495255 
       132 |         0   25799632          0      27791    3048104      15878          0 |  28967175 
       133 |         0    8647177     316122          0    2909261     119378          0 |  12248467 
       134 |         0    4150702      35256          0    3047645      69476      12375 |   7605897 
       135 |         0    4303909      40208      12219    3273105      74654      12600 |   7881853 
       136 |         0   22094238     105166      40001    2902544      17798          0 |  25333319 
       137 |         0    6755564     152461      11165    2997451      51987          0 |  10299049 
       138 |         0    3375093      19531      20863    3360086     132671          0 |   7050718 
       139 |     94958    3958483     261476          0    3259154      55735          0 |   7849058 
       140 |     87199   26824804     527072      21028    2881939          0          0 |  30604316 
       141 |         0    9118263     251547          0    3353877     115700          0 |  12943709 
       142 |         0    6939419     620239      31419    3159352     159830          0 |  11251682 
       143 |         0    3666047     486942      22029    2666077     166645      10678 |   7379296 
       144 |         0   25299229     800095      29624    2556998     166565      11183 |  29043086 
       145 |         0    7119804     333107      19102    3256493     359744          0 |  11565764 
       146 |         0    6409946     316470          0    2307112     177835          0 |   9891009 
       147 |         0    5012904     514982      81311    2131472      35635          0 |   8429220 
       148 |         0   24934069     417582          0    2337636          0          0 |  28360015 
       149 |         0    5695411     585639      34988    2590541      59996          0 |   9675578 
       150 |         0    4021319     363694      25713    2354720     226160          0 |   7815667 
       151 |         0    2343725     497443      32818    2597917     103195          0 |   5952501 
       152 |         0   23063704     538409      87962    2137513      94580          0 |  26157142 
       153 |         0    6602811     912500          0    2234412     170660      29144 |  10280190 
       154 |         0    3378504     547901          0    2290850      43099          0 |   6647226 
       155 |         0    4737034     504668     155047    1829833          0          0 |   7384822 
       156 |         0   20821572     368276      64081    1767752      31260          0 |  23317481 
       157 |         0    7166182     424841      35749    2026349      53219          0 |   9893726 
       158 |         0    4229751     987168      43109    1899980      17587          0 |   7743802 
       159 |         0    3928998     462174          0    1861261      75490          0 |   6594906 
       160 |         0   18186257     489871          0    1349462     144519          0 |  20649077 
       161 |         0    5364511     419701      51061    1078257     142960          0 |   7374750 
       162 |         0    4709730     360864          0    1759015      44016          0 |   7417865 
