     ciclo |         0          3          5          6          7          8          9 |     Total
-----------+-----------------------------------------------------------------------------+----------
       130 |         0          0          0          0     20,935    200,820          0 |   383,401 
       131 |         0          0          0          0    141,651     98,129          0 |   254,474 
       132 |    13,969          0          0          0     89,158     26,302          0 |   129,429 
       133 |         0          0          0          0          0    240,934          0 |   249,974 
       134 |         0          0          0          0     29,763     40,201          0 |    69,964 
       135 |         0     66,926          0          0    104,761     35,754          0 |   293,633 
       136 |         0          0          0          0          0     80,111          0 |    94,157 
       137 |         0     25,513          0          0          0    249,558          0 |   275,071 
       138 |         0     53,469          0          0     52,459     68,781          0 |   236,793 
       139 |         0          0          0          0          0     76,579          0 |   118,858 
       140 |         0          0          0          0     36,318     24,353          0 |    60,671 
       141 |         0    132,936     69,968          0          0    125,749          0 |   359,391 
       142 |         0          0     23,272          0          0    234,535          0 |   257,807 
       143 |         0          0          0          0          0    140,458          0 |   159,758 
       144 |         0          0          0          0          0     56,058          0 |    67,605 
       145 |         0          0          0          0          0    113,986      9,657 |   123,643 
       146 |         0          0          0          0     22,347    176,431     14,083 |   273,391 
       147 |         0     18,949          0          0          0          0          0 |   128,878 
       148 |         0          0          0          0     55,140    107,454          0 |   396,575 
       149 |         0          0          0          0          0    126,703          0 |   245,746 
       150 |         0          0          0          0     58,223     72,498          0 |   235,389 
       151 |         0     34,826          0          0          0     73,714          0 |   303,620 
       152 |         0     47,375          0          0     20,846    100,598          0 |   334,563 
       153 |         0     16,450          0          0          0     60,652          0 |   148,220 
       154 |         0     15,279          0          0          0    131,627          0 |   230,321 
       155 |         0     15,403          0          0          0    151,634          0 |   518,015 
       156 |         0          0          0     15,748          0     62,907          0 |   194,041 
       157 |         0          0          0          0          0     13,174          0 |   212,193 
       158 |         0          0          0          0          0     91,552          0 |   597,470 
       159 |         0          0          0          0          0    256,125          0 |   415,166 
       160 |         0          0          0          0          0     60,073          0 |   294,807 
       161 |         0          0          0          0          0    318,625          0 |   544,661 
       162 |         0          0          0          0          0    201,967          0 |   313,074 
       163 |         0     51,546          0          0          0     93,165          0 |   459,153 
       164 |         0     64,536          0          0          0     71,666          0 |   243,617 
       165 |         0          0          0          0     17,937    129,197          0 |   317,926 
       166 |         0     33,288          0          0          0     59,048          0 |   330,404 
       167 |         0    108,022          0          0          0     46,103          0 |   251,282 
       168 |         0          0          0          0          0    303,172          0 |   384,330 
       169 |         0          0          0          0     95,130     71,717          0 |   166,847 
       170 |         0          0          0          0          0    412,321          0 |   430,359 
       171 |         0     98,669          0          0    119,647     75,390          0 |   311,942 
       172 |         0     50,095          0          0          0     80,883          0 |   187,091 
       173 |         0     67,791          0          0          0    284,903          0 |   352,694 
       174 |         0    128,467          0          0          0    192,591          0 |   362,076 
       175 |         0     23,185          0          0          0    106,279          0 |   129,464 
       176 |         0     21,793          0          0          0    294,649          0 |   356,376 
       177 |         0     20,843          0          0     13,187    276,389          0 |   412,542 
       178 |         0     20,860          0          0          0    390,021          0 |   541,850 
       179 |         0          0          0          0          0    129,415          0 |   243,660 
       180 |         0          0          0          0          0     24,133          0 |    24,133 
       181 |         0          0          0          0          0    372,714          0 |   410,658 
       182 |         0     10,918          0     16,763          0    328,513          0 |   418,132 
       183 |         0     65,337          0          0          0    102,597          0 |   167,934 
       184 |         0     43,478          0          0          0     58,724          0 |   204,955 
       185 |         0     29,558          0          0     29,914    101,767          0 |   324,309 
       186 |         0          0          0          0          0    328,468          0 |   414,526 
       187 |         0          0          0          0          0     82,366          0 |    82,366 
       188 |         0          0          0          0          0     41,282          0 |   148,157 
       189 |         0     46,014          0          0          0    388,254          0 |   434,268 
       190 |         0          0          0          0          0    263,046          0 |   756,430 
       191 |         0     32,142          0          0          0    122,144          0 | 2,378,064 
       192 |         0          0          0          0          0    310,013          0 | 1,690,198 
       193 |         0          0          0          0     19,458    270,029          0 | 1,176,953 
       194 |         0          0          0          0          0     90,408          0 | 2,154,267 
       195 |         0          0          0          0    115,980          0          0 |   921,285 
       196 |         0          0          0          0          0     48,867          0 |   439,590 
       197 |         0          0          0          0          0    149,211          0 |   581,375 
       198 |         0     51,220          0          0          0     17,925          0 |   110,717 
       199 |         0          0          0          0          0          0          0 |   225,027 
       200 |         0     32,947          0          0          0    173,499          0 |   416,821 
       201 |         0     30,753          0          0    104,347    123,598          0 |   357,836 
-----------+-----------------------------------------------------------------------------+----------
     Total |    13,969  1,458,588     93,240     32,511  1,147,201 10,232,509     23,740 |27,840,373 
