     ciclo |         0          3          5          6          7          8          9 |     Total
-----------+-----------------------------------------------------------------------------+----------
       130 |    19,498          0          0          0     38,378    416,304          0 |   653,059 
       131 |         0          0          0          0    141,651    280,974          0 |   508,692 
       132 |    13,969          0          0          0     89,158     95,425          0 |   285,078 
       133 |         0          0          0          0          0    297,652     17,637 |   405,764 
       134 |         0          0          0     26,790     60,514    154,815          0 |   274,685 
       135 |         0     66,926          0          0    104,761     71,099          0 |   363,899 
       136 |    23,955          0          0          0          0     80,111          0 |   201,417 
       137 |         0     25,513          0          0          0    270,884          0 |   375,024 
       138 |         0     53,469          0          0     52,459    236,037          0 |   456,002 
       139 |         0          0          0          0          0     76,579          0 |   118,858 
       140 |         0          0          0          0     36,318     65,517          0 |   101,835 
       141 |         0    132,936     69,968          0     68,582    146,468          0 |   498,390 
       142 |         0          0     23,272          0     95,929    321,941          0 |   455,718 
       143 |         0          0          0          0          0    153,567          0 |   227,151 
       144 |         0          0          0          0          0    102,785          0 |   221,442 
       145 |         0          0          0          0          0    179,195      9,657 |   265,521 
       146 |         0     57,759          0          0    115,273    355,236     14,083 |   708,006 
       147 |         0     18,949          0          0     34,421     57,786          0 |   342,963 
       148 |         0          0          0          0     55,140    373,178          0 |   775,810 
       149 |         0          0          0          0    138,813    145,226          0 |   467,008 
       150 |         0          0          0          0     58,223    233,035          0 |   517,082 
       151 |         0     34,826          0          0     40,385    156,575          0 |   578,355 
       152 |         0     47,375          0          0     20,846    447,751          0 |   834,296 
       153 |         0     16,450          0          0          0    264,468          0 |   427,414 
       154 |         0     15,279          0          0          0    236,293          0 |   409,148 
       155 |         0     15,403          0          0          0    332,226          0 |   746,830 
       156 |         0          0          0     15,748          0    318,559          0 |   512,558 
       157 |         0          0          0          0          0     73,338          0 |   459,289 
       158 |         0          0          0          0     10,377    283,263          0 |   868,910 
       159 |         0          0          0          0          0    293,681          0 |   554,522 
       160 |         0          0          0          0          0    326,870          0 |   598,616 
       161 |         0          0          0          0          0    414,308          0 |   921,711 
       162 |         0          0          0          0          0    455,983          0 |   708,755 
       163 |         0     51,546          0          0          0    129,768          0 |   670,658 
       164 |         0     64,536          0          0          0    109,774          0 |   414,680 
       165 |         0          0          0          0     17,937    211,203          0 |   418,865 
       166 |         0     33,288          0          0          0    158,458          0 |   429,814 
       167 |         0    108,022          0          0     71,084    106,514          0 |   436,301 
       168 |         0          0          0          0          0    473,559          0 |   566,961 
       169 |         0          0          0          0     95,130    228,395          0 |   335,319 
       170 |         0          0          0          0          0    629,451     18,347 |   708,106 
       171 |         0     98,669          0          0    119,647    170,572          0 |   478,895 
       172 |         0     50,095          0          0          0    253,289          0 |   403,451 
       173 |         0     67,791          0          0          0    678,568          0 |   807,080 
       174 |         0    128,467          0          0          0    310,730          0 |   513,258 
       175 |         0     23,185          0          0          0    236,989          0 |   562,406 
       176 |         0     21,793          0          0          0    453,056          0 |   576,091 
       177 |         0     20,843          0          0     13,187    465,609          0 |   653,050 
       178 |         0     20,860          0          0          0    513,590          0 |   684,954 
       179 |         0          0          0          0     11,248    241,117          0 |   366,610 
       180 |         0     71,019          0          0     23,407     71,889          0 |   195,038 
       181 |         0          0          0          0          0    530,082          0 |   611,568 
       182 |         0     10,918          0     16,763    164,718    746,015          0 | 1,013,128 
       183 |         0     65,337          0          0    157,082    223,901          0 |   465,207 
       184 |         0     43,478          0          0          0    188,999          0 |   354,195 
       185 |         0     29,558          0          0     47,670    285,590          0 |   592,311 
       186 |         0          0          0          0          0    534,499          0 |   680,414 
       187 |         0          0          0          0          0    126,870          0 |   157,573 
       188 |         0          0          0          0          0    328,020          0 |   434,895 
       189 |         0     46,014          0          0          0    586,827          0 |   668,940 
       190 |    14,856          0          0          0          0    707,427          0 | 1,709,723 
       191 |         0     32,142          0          0     44,793    277,998          0 | 4,399,952 
       192 |         0          0          0          0     18,506    433,635          0 | 2,944,829 
       193 |         0          0          0          0     19,458    508,958          0 | 2,218,455 
       194 |         0          0          0          0          0    190,437          0 | 3,535,535 
       195 |         0          0          0          0    135,011     96,077          0 | 2,668,002 
       196 |         0          0          0          0          0     48,867          0 | 1,096,855 
       197 |         0     23,102          0          0          0    532,446          0 | 1,281,238 
       198 |         0     51,220          0          0          0     60,889          0 |   278,046 
       199 |         0          0          0          0          0     66,881          0 |   507,584 
       200 |         0     32,947          0          0    119,260    173,499          0 |   749,348 
       201 |         0     30,753          0          0    104,347    507,857          0 |   895,416 
-----------+-----------------------------------------------------------------------------+----------
     Total |    72,278  1,610,468     93,240     59,301  2,323,713 20,315,434     59,724 |52,328,559 
