     ciclo |         0          1          2          3          4          5          6 |     Total
-----------+-----------------------------------------------------------------------------+----------
       130 |         0    4870951    3039454    2400961    4064169     112514          0 |  15403276 
       131 |         0    1735715    2985208    2540202    3874942     106305          0 |  11912905 
       132 |         0   20695371    4411373    2401617    3580823      76908          0 |  32174240 
       133 |         0    3615089    4567973    2800836    3844957     194953          0 |  15775270 
       134 |         0    2452995    3995313    2552697    5206139      72277          0 |  15349892 
       135 |         0    2558515    4525194    3081644    3852204      58344          0 |  14666934 
       136 |     46550   17122110    3777339    2950050    3323329      39095          0 |  28293412 
       137 |         0    4470869    3601087    2075352    3825299     189760          0 |  15099391 
       138 |         0    3020890    3935441    1967265    4886085      75782          0 |  15129999 
       139 |         0    3210242    5789806    1825324    4330226      26742          0 |  16241659 
       140 |         0   19931236    4530475    2381470    4222485      75923          0 |  32557289 
       141 |     17561    5026818    4390879    2793911    4683195      43776          0 |  17838463 
       142 |         0    4948972    4871135    2439544    4861740     150772          0 |  18183801 
       143 |         0    1952146    5210945    3071244    4755527      96952          0 |  15892685 
       144 |         0   20933964    5692590    3218348    4338360     135279          0 |  35582984 
       145 |         0    4006590    4774422    2877808    4732005      46723          0 |  17593070 
       146 |         0    3308404    4436825    2515024    4069105     154519          0 |  16030514 
       147 |         0    2880633    4614708    2681670    5042608      79042      60515 |  16244298 
       148 |         0   18090063    4279658    2972901    3821288      51613          0 |  31136870 
       149 |         0    4727073    4577841    2736468    3691133     131070          0 |  17130520 
       150 |         0    3338466    4983455    2645247    4018416     158247          0 |  16456609 
       151 |         0    1813620    4991483    2563695    3801635     111696      53597 |  14298908 
       152 |         0   19493217    5382427    2843388    3723752      58386      11151 |  33230056 
       153 |         0    4494444    5056865    2476675    3889132      85387      46265 |  17099311 
       154 |         0    3010783    4254858    2243400    3541299     100337          0 |  14189280 
       155 |         0    2499002    3936106    2494415    3839731      55005          0 |  14275715 
       156 |         0   17309752    4996811    2420155    3507955     161082          0 |  30244701 
       157 |         0    4475009    5797753    2161065    3905991      25348          0 |  17834177 
       158 |         0    3568657    7294806    2232231    3233315     329574          0 |  17680441 
       159 |         0    3007042    4789956    1645021    3766739      24062          0 |  14252478 
       160 |         0   18234782    5141721    2106762    2638474     331113          0 |  29870775 
       161 |         0    3589792    6187572    1563213    3179984      61722          0 |  15993883 
       162 |         0    3574913    5014060    1973985    4121553     271633          0 |  16180300 
       163 |         0    1936625    5716970    2187766    3417012     219326      20251 |  14717817 
       164 |         0   19221911    4463241    2198274    2961487     132402          0 |  30965222 
       165 |         0    3772374    4597904    1514749    3461262     213504          0 |  14430240 
       166 |         0    2920959    5970807    1516848    3268361     126851          0 |  14793544 
       167 |         0    2800060    4300168    1903331    3939116          0          0 |  14143395 
       168 |         0   17281732    5291527    2200731    3131235     147083          0 |  29430366 
       169 |         0    3179927    5463833    2175523    3201131      41910          0 |  14919205 
       170 |         0    3449719    5084542    2026227    3545329     328408          0 |  15761532 
       171 |         0    2507148    5361728    2849614    4111388     171718          0 |  15805124 
       172 |         0   15564583    4469463    2426656    3466230      52985          0 |  27745582 
       173 |     36487    2673078    4906391    1894270    3685253      62823          0 |  14173084 
       174 |         0    2990672    4521802    1780854    3555944          0          0 |  13931776 
       175 |         0    1374747    4598607    2003374    4067754          0          0 |  12763430 
       176 |         0   16845782    4819803    1978990    4515609      64695          0 |  30143920 
       177 |         0    4477561    4698131    1695971    3451229      46539          0 |  15378864 
       178 |         0    2835454    5338581    1893331    4016194          0          0 |  15205599 
       179 |         0    2961333    5362667    2445743    3679626          0          0 |  15168029 
       180 |         0   16904568    5268866    2143403    4081470      44645          0 |  29809010 
       181 |         0    4842065    5050662    1745983    3745897      22224          0 |  16482958 
       182 |         0    3646770    3937501    1720897    3913655     204232          0 |  15114574 
       183 |         0    2293000    4483772    1689227    3535028      21693          0 |  12887387 
       184 |         0   16144344    4104186    2331450    3593606      36370          0 |  27686233 
       185 |         0    3744736    3730298    1205772    3687598      71858          0 |  13240311 
       186 |         0    3183391    4285530    1402300    3923768     120462          0 |  14166719 
       187 |         0    3225153    4324013    2035834    3779500      27427          0 |  14075739 
       188 |         0   14772893    4326367    2019950    3193364      25865          0 |  25324943 
       189 |         0    4041466    4405143    1779443    4194192          0          0 |  15453929 
       190 |         0    3432379    4648075    1688519    4153834      20897          0 |  18931159 
       191 |         0    1965647    4421049    1592842    5501604      67195          0 |  39801455 
       192 |         0   12194907    4018108    1445748    4233925          0          0 |  29755253 
       193 |         0    2202632    3824848    1646050    4825402      12606          0 |  18955756 
       194 |         0    3493081    4803721     767419    5105220     112219          0 |  20774862 
       195 |         0    2021994    5494547    1227895    4782484      36374          0 |  17370166 
       196 |         0   15127355    5390253    1464375    3503290      93130          0 |  28322315 
       197 |         0    3876747    4457193    1296773    5259329      41836          0 |  16808230 
       198 |         0    2933028    3876716    1129296    5854123      11212          0 |  15764075 
       199 |         0    3114790    3482908    1279472    4562269      46712          0 |  13770544 
       200 |         0   14237562    3606726    1610042    4035783      68791          0 |  25625976 
       201 |         0    3680518    4989299    1642230    4604330     178691          0 |  16456383 
-----------+-----------------------------------------------------------------------------+----------
     Total |    100598  485840816  337731485  151210760  287717426    6564624     191779 |1405898812 
