     ciclo |        14         15 |     Total
-----------+----------------------+----------
       130 |    194245     456305 |  15403276 
       131 |    254063     226915 |  11912905 
       132 |    242939     268944 |  32174240 
       133 |    118828      80681 |  15775270 
       134 |    252562     230092 |  15349892 
       135 |    149318     118690 |  14666934 
       136 |    192252     185761 |  28293412 
       137 |    149377     230290 |  15099391 
       138 |    405093     391650 |  15129999 
       139 |    306836     362083 |  16241659 
       140 |    294110     517718 |  32557289 
       141 |    473583     171403 |  17838463 
       142 |    245718     191001 |  18183801 
       143 |    233279     140363 |  15892685 
       144 |    277048     270751 |  35582984 
       145 |    196063     353877 |  17593070 
       146 |    304382     175882 |  16030514 
       147 |    144272     167519 |  16244298 
       148 |    341855     343729 |  31136870 
       149 |     50310     369882 |  17130520 
       150 |    146272     153760 |  16456609 
       151 |    267140     104422 |  14298908 
       152 |    180318     265068 |  33230056 
       153 |     76552     212000 |  17099311 
       154 |     61926     224292 |  14189280 
       155 |    283211     270040 |  14275715 
       156 |    168011     218658 |  30244701 
       157 |    204250     141214 |  17834177 
       158 |     86092     174727 |  17680441 
       159 |         0     191218 |  14252478 
       160 |     88482     148352 |  29870775 
       161 |     56686     144039 |  15993883 
       162 |     94949     264307 |  16180300 
       163 |    340665     168709 |  14717817 
       164 |    239156     228006 |  30965222 
       165 |     27692     116404 |  14430240 
       166 |     73243     240835 |  14793544 
       167 |    133527     183515 |  14143395 
       168 |    206666      42727 |  29430366 
       169 |    193421      82901 |  14919205 
       170 |    253205     219288 |  15761532 
       171 |    133193     202697 |  15805124 
       172 |    210147     455945 |  27745582 
       173 |    153040     179683 |  14173084 
       174 |    191636     274631 |  13931776 
       175 |    202537      66782 |  12763430 
       176 |    298739     100865 |  30143920 
       177 |    150504     203567 |  15378864 
       178 |    208970     126690 |  15205599 
       179 |    275060     146221 |  15168029 
       180 |    210353     226796 |  29809010 
       181 |    162666     228755 |  16482958 
       182 |    378740     170308 |  15114574 
       183 |    235289     114013 |  12887387 
       184 |    110799     443427 |  27686233 
       185 |    191692      92291 |  13240311 
       186 |     51000     218206 |  14166719 
       187 |    185786     118862 |  14075739 
       188 |    277308     232220 |  25324943 
       189 |     95519     137859 |  15453929 
       190 |    113394     405724 |  18931159 
       191 |    600705     240478 |  39801455 
       192 |    247730     580670 |  29755253 
       193 |    268904     440066 |  18955756 
       194 |    312611     397935 |  20774862 
       195 |    132786     260425 |  17370166 
       196 |    152638     375039 |  28322315 
       197 |    319965     171841 |  16808230 
       198 |    341380     169448 |  15764075 
       199 |    240669     143373 |  13770544 
       200 |    396835     408408 |  25625976 
       201 |    136291     249971 |  16456383 
-----------+----------------------+----------
     Total |  14994483   16631214 |1405898812 
