     ciclo |         0          1          2          3          4          5 |     Total
-----------+------------------------------------------------------------------+----------
       130 |  47371507   99453300  103547659   83964448  181407271  291532275 |1521132904 
       131 |  49995989  100700737  105151539   84625853  187522569  306782912 |1568973825 
       132 |  50689623  100626915  107615888   87071823  192018768  314310660 |1596930315 
       133 |  52585030  100978614  108696130   82456682  193986091  314437366 |1602523195 
       134 |  50851995   96944508  108881074   84916647  194795832  310237787 |1606850039 
       135 |  49796399   98846322  109782522   83534430  201155138  326338740 |1630017283 
       136 |  46609323   95998487  111019986   85160156  206754185  336318500 |1654870918 
       137 |  48128167   96467992  110793688   87362294  209707088  328291940 |1664493292 
       138 |  54676952   92704563  110071187   85842279  214766559  324089156 |1670127421 
       139 |  49736815   90102454  109553139   88987107  219373731  339913293 |1698140089 
       140 |  46500169   92841057  110593102   86972242  218552211  353297947 |1709463284 
       141 |  47861682   94242205  110158045   88779469  216444576  347883934 |1709496171 
       142 |  45557137   88832376  121236596   87915800  213694576  343062199 |1701006348 
       143 |  42179586   88400574  119232210   84756558  202872375  350695898 |1703753508 
       144 |  39253614   84258687  117841750   83975199  189485230  352254578 |1692009541 
       145 |  43231596   78470414  112322181   79883084  166040437  338057361 |1647723490 
       146 |  46876718   77342640  106896384   77785834  149062967  326353259 |1601304220 
       147 |  42246182   75836767   99408836   75996403  148869758  330210409 |1592314213 
       148 |  37533432   72599469   97076018   73951534  143034510  337031808 |1586375876 
       149 |  41976359   70540563   96604731   73537262  136970896  325431616 |1572458127 
       150 |  47175817   70564662   93163476   70713180  124029919  317973212 |1548960261 
       151 |  42314426   71171193   95320164   71871478  126838835  324242866 |1561986722 
       152 |  41109045   72129856   92985659   71993546  125450012  328098071 |1570511132 
       153 |  44904273   75518955   94273779   69387350  116456117  321624205 |1555470531 
       154 |  45383870   72729184   91290047   68069630  112846968  316657878 |1536740519 
       155 |  40673104   71955725   91279321   71632203  108129282  331514921 |1557953758 
       156 |  37886881   71609516   94269570   70713333  103494422  338149025 |1547933089 
       157 |  46668147   70733600   90842121   68573901   94378192  321977603 |1515053155 
       158 |  43237992   70383846   88231230   64187265   84316422  307349179 |1472371788 
       159 |  39875582   68015006   85455087   64795388   85073149  313041920 |1464146224 
       160 |  37998207   67613927   86741330   66854472   80154926  317081618 |1456086229 
       161 |  45081870   67431678   85820703   63934105   75115292  301870713 |1428866845 
       162 |  39451802   66534350   82975636   62923897   72500465  297046993 |1398698266 
       163 |  41693138   64485602   82005271   64182853   69776382  305660591 |1407218098 
       164 |  36954436   63500114   81492651   64072069   69934942  315487413 |1412385227 
       165 |  45264051   64058045   80172696   64475875   67407850  307562324 |1409343308 
       166 |  49793812   64291456   78186712   62745499   64269518  299147802 |1392946752 
       167 |  43138150   67681453   79379549   63415819   67636216  316613480 |1431746011 
       168 |  36259398   69797430   81198834   65498773   69283944  327193511 |1441314329 
       169 |  42319791   70713555   83288640   63862306   70611281  319327686 |1448308910 
       170 |  41664710   68888950   86285804   64058582   72428872  314929547 |1439389127 
       171 |  45138964   70899192   87830597   66522619   75040698  330355437 |1476228133 
       172 |  42802872   70396280   88230128   67199476   73777463  344746865 |1494893251 
       173 |  49386313   68792004   85357449   66933576   72531803  335627548 |1498878776 
       174 |  48729537   68130639   85816577   68657495   71014477  332298224 |1493514138 
       175 |  47444484   70943960   85142049   68522046   75259312  348921802 |1518779353 
       176 |  45393656   72767744   84942269   69428299   77627129  363455946 |1540460954 
       177 |  50307269   74288930   87168938   71146206   76890613  350132547 |1538540997 
       178 |  53125989   73839142   86454994   72196252   76961160  341863720 |1534078210 
       179 |  52621910   75383536   90543454   71299404   81111480  358791373 |1569025179 
       180 |  47163589   75137653   92325247   72009953   81858216  371310382 |1590665214 
       181 |  52344698   78159649   90873097   75451885   82733474  357486125 |1592255448 
       182 |  53081250   75787973   91980607   74112179   82921444  344982635 |1579224441 
       183 |  52352797   75714768   95981601   75619747   88535425  369351839 |1625729723 
       184 |  47654719   73663686   98479762   76392605   90148678  384778403 |1643358614 
       185 |  51910342   76926977   94393157   76022346   93599900  367333511 |1645359038 
       186 |  52685172   76296743   95871072   76036505   94481371  356645511 |1635774906 
       187 |  49912768   79004791   97793975   76650106   94717890  376221349 |1668828229 
       188 |  45091774   81031259   98959161   76944829   93979629  389433779 |1678997992 
       189 |  49932921   79949526   96087261   75806511   95336326  380487770 |1684613900 
       190 |  49500258   79438260   97844067   75020482   94296572  364986811 |1656012589 
       191 |  48669555   76346116   91775310   72093177   85003752  327997750 |1552684926 
       192 |  45361271   74809047   96475592   73540035   93923801  347114552 |1610804861 
       193 |  50279871   74470259   96249793   75255092   94405373  332242346 |1624152006 
       194 |  51624730   72661742   94932107   73761907   91435771  323118220 |1610425445 
       195 |  52626459   73692411   95545250   73308461   96761460  338294729 |1650740974 
       196 |  47609865   74400374   99047231   75267805   96998247  363154074 |1691655067 
       197 |  53833260   76030138   99431699   74844704   94795392  350871887 |1697424089 
       198 |  53838369   76146372   97094112   72460146   96585481  347701579 |1692849085 
       199 |  50318850   80155903  100934748   72153417   98014281  371198757 |1730392752 
       200 |  44065849   79896115  100516756   75892199   98457361  377379656 |1740320316 
       201 |  46375628   82091847   98753818   75883978   94731895  369133882 |1737150945 
-----------+------------------------------------------------------------------+----------
     Total |3353691766 5583249783 6903972823 5331870070 8360583648  2.426e+10 | 1.137e+11 
