
. tab ciclo erteh if father_10==1&age3040==1&husband==1 [fweight=facexp]

           |         erteh
     ciclo |         0          1 |     Total
-----------+----------------------+----------
       130 | 157539318          0 | 157539318 
       131 | 155180883          0 | 155180883 
       132 | 160010328          0 | 160010328 
       133 | 162022381          0 | 162022381 
       134 | 160698751          0 | 160698751 
       135 | 159152714          0 | 159152714 
       136 | 160178726          0 | 160178726 
       137 | 159623763          0 | 159623763 
       138 | 161404166      10939 | 161415105 
       139 | 162057323          0 | 162057323 
       140 | 163598262          0 | 163598262 
       141 | 165422943          0 | 165422943 
       142 | 166166620          0 | 166166620 
       143 | 164504765          0 | 164504765 
       144 | 166718520          0 | 166718520 
       145 | 168983343          0 | 168983343 
       146 | 168331163     177961 | 168509124 
       147 | 168490235     282176 | 168772411 
       148 | 166648344     125995 | 166774339 
       149 | 167291842     453504 | 167745346 
       150 | 165776865     230507 | 166007372 
       151 | 165783395     234363 | 166017758 
       152 | 165767272     111030 | 165878302 
       153 | 165638283     277986 | 165916269 
       154 | 163375709     162718 | 163538427 
       155 | 162956893     106738 | 163063631 
       156 | 164154685      74339 | 164229024 
       157 | 163583224     249857 | 163833081 
       158 | 164392605     278513 | 164671118 
       159 | 160543174     219748 | 160762922 
       160 | 160053165     155491 | 160208656 
       161 | 157421864     240562 | 157662426 
       162 | 155515557     432902 | 155948459 
       163 | 154204070     347319 | 154551389 
       164 | 152313890     174704 | 152488594 
       165 | 153280844     225919 | 153506763 
       166 | 150325369     346709 | 150672078 
       167 | 147673904      44522 | 147718426 
       168 | 148051375      77905 | 148129280 
       169 | 147104617     136470 | 147241087 
       170 | 146356563     178847 | 146535410 
       171 | 144585074      74669 | 144659743 
       172 | 143911842      81648 | 143993490 
       173 | 142300177      28614 | 142328791 
       174 | 138438455      30712 | 138469167 
       175 | 136343257      90204 | 136433461 
       176 | 134308425          0 | 134308425 
       177 | 130605522      30822 | 130636344 
       178 | 128462618      28518 | 128491136 
       179 | 125588850      67729 | 125656579 
       180 | 124243727          0 | 124243727 
       181 | 124472903          0 | 124472903 
       182 | 123395170          0 | 123395170 
       183 | 120908239          0 | 120908239 
       184 | 117232504          0 | 117232504 
       185 | 115395002      11927 | 115406929 
       186 | 113220454          0 | 113220454 
       187 | 114680499       6756 | 114687255 
       188 | 111929026          0 | 111929026 
       189 | 109752272          0 | 109752272 
       190 | 107846399      94758 | 107941157 
       191 | 103801158    1439319 | 105240477 
       192 | 102505774     719078 | 103224852 
       193 | 102232485     523098 | 102755583 
       194 |  98196268          0 |  98196268 
       195 |  95515449          0 |  95515449 
       196 |  94164564          0 |  94164564 
       197 |  92327504          0 |  92327504 
       198 |  90378417          0 |  90378417 
       199 |  88885423          0 |  88885423 
       200 |  87738764          0 |  87738764 
       201 |  87249113          0 |  87249113 
-----------+----------------------+----------
     Total | 1.013e+10    8585576 | 1.014e+10 

. log close
