
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |  33171425    4761155   95412540   28556681    6733959 | 168635760 
       131 |  31702115    4317657   91971060   32773623    5477551 | 166242006 
       132 |  31599619    4307983   93944272   34272813    6046608 | 170171295 
       133 |  32122799    4328400   93411577   35312720    6609628 | 171785124 
       134 |  32425848    4635427   91407936   35993730    5763562 | 170226503 
       135 |  32185520    3765273   89877163   36746678    6522405 | 169097039 
       136 |  32273500    4750203   90326391   36118940    5956331 | 169425365 
       137 |  31812232    4985003   89417235   36628129    5829363 | 168671962 
       138 |  31905710    5564837   93210071   34443379    6601280 | 171725277 
       139 |  32222931    5316006   95571908   33507979    5687940 | 172306764 
       140 |  32470404    4517492   96638452   33765053    6052840 | 173444241 
       141 |  32607726    4934839   98180124   33770256    6623997 | 176116942 
       142 |  32474590    5165399   97831858   33893738    7989729 | 177355314 
       143 |  31765679    4783148   95022855   33096582   10514600 | 175182864 
       144 |  32066709    5344744   96080227   31093799   12555536 | 177141015 
       145 |  32137586    5537827   94154995   30162217   16735634 | 178728259 
       146 |  28753450    4869960   94224385   27040079   24112177 | 179000051 
       147 |  29081609    4981841   91437655   27390057   26342859 | 179234021 
       148 |  28179286    6497957   89981535   27008219   25685774 | 177352771 
       149 |  26697090    6170810   91346809   27183469   26547401 | 177945579 
       150 |  27506942    5856098   89134750   26555607   27787651 | 176841048 
       151 |  28139544    5201046   89859124   27054347   25482093 | 175736154 
       152 |  27063465    4873867   90554006   26601158   27090190 | 176182686 
       153 |  26822715    4754815   91357600   25945250   27616247 | 176496627 
       154 |  26368247    4392687   87391158   27573066   28287398 | 174012556 
       155 |  25620435    4924186   87735996   27495744   27192086 | 172968447 
       156 |  24228075    4689590   87631346   27777385   29284585 | 173610981 
       157 |  24661324    4354577   87111783   26651231   31134219 | 173913134 
       158 |  23711742    5068219   87783956   24267159   32783219 | 173614295 
       159 |  23786367    4920433   84505450   23970873   32409106 | 169592229 
       160 |  24138372    5023172   83955675   22804849   33329036 | 169251104 
       161 |  23403375    5086427   83323473   21770512   34072229 | 167656016 
       162 |  22700647    4302679   82817304   22531885   33598654 | 165951169 
       163 |  24259115    4845820   80397552   23137685   31417069 | 164057241 
       164 |  23883484    5023025   79952506   21916570   31787414 | 162562999 
       165 |  21929552    3597372   80391424   25943892   31005485 | 162867725 
       166 |  21244397    4651745   79240596   22987184   31093797 | 159217719 
       167 |  21436348    4128059   80192027   23739271   27184565 | 156680270 
       168 |  21727975    4684931   79805093   24570127   25978054 | 156766180 
       169 |  22568758    3714894   80187023   24776160   24859426 | 156106261 
       170 |  22655964    3683819   78738948   23509527   25726900 | 154315158 
       171 |  22389920    3219926   79457377   25547051   21904859 | 152519133 
       172 |  22719908    3996625   79916501   26704707   18623516 | 151961257 
       173 |  22282252    3545209   79360919   25595426   19740748 | 150524554 
       174 |  20939245    3241852   79950160   23436213   19034863 | 146602333 
       175 |  21655997    3460658   79639005   22884624   16181775 | 143822059 
       176 |  21595258    2520302   79940880   21958354   15833506 | 141848300 
       177 |  21469285    2901953   76392370   22361812   15282131 | 138407551 
       178 |  21064050    3942878   75478365   22866921   13806166 | 137158380 
       179 |  19959692    3960320   73535738   23117407   13197253 | 133770410 
       180 |  19312810    3843746   73723067   23847795   12392913 | 133120331 
       181 |  17934673    3613777   75169381   23456580   12683220 | 132857631 
       182 |  18870820    3603213   74837197   22098712   11940138 | 131350080 
       183 |  18649960    4276198   74758794   21484939    9949864 | 129119755 
       184 |  18084768    3960924   72166673   21110631   10098753 | 125421749 
       185 |  18708024    3158703   68858702   22441538   10582649 | 123749616 
       186 |  19067846    3089001   68339697   21246552    9653172 | 121396268 
       187 |  18783675    3005719   69393239   22813658    8589206 | 122585497 
       188 |  18485506    3642196   68064310   21119771    9050069 | 120361852 
       189 |  17473995    3646933   67423883   20078929    9335184 | 117958924 
       190 |  17507661    4990091   65811379   19085374    9412963 | 116807468 
       191 |  16601620    8040013   64221188   14833653   10959906 | 114656380 
       192 |  15389963    4948020   64515082   16894263   10520891 | 112268219 
       193 |  14213801    4447322   65190806   17435760   10126184 | 111413873 
       194 |  13479478    5375585   61354989   16047295   10072150 | 106329497 
       195 |  12977506    4342928   62440968   15617326    8458835 | 103837563 
       196 |  11993429    3779720   59954123   16528541    9149513 | 101405326 
       197 |  13316768    4186325   58186269   15406155    7938400 |  99033917 
       198 |  14679477    3697008   55095935   13030294    9244290 |  95747004 
       199 |  13841510    4069681   56238254   12395841    7217824 |  93763110 
       200 |  12589600    5124093   57857616   11522454    6593476 |  93687239 
       201 |  13469428    4553918   59702594    9435727    6916921 |  94078588 
-----------+-------------------------------------------------------+----------
     Total |1685020596  321498259 5788491299 1782741926 1207999935 | 1.079e+10 
