
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |       715         88      1,909        475        119 |     3,306 
       131 |       679         76      1,850        532         95 |     3,232 
       132 |       647         73      1,868        522         95 |     3,205 
       133 |       653         76      1,810        540         83 |     3,162 
       134 |       682         68      1,824        552        100 |     3,226 
       135 |       715         58      1,896        568        111 |     3,348 
       136 |       719         73      1,871        554         90 |     3,307 
       137 |       714         80      1,888        554         94 |     3,330 
       138 |       736         90      1,962        528         98 |     3,414 
       139 |       722         93      2,017        531         95 |     3,458 
       140 |       714         81      2,008        510        104 |     3,417 
       141 |       718         91      2,049        482        112 |     3,452 
       142 |       722         76      1,991        504        129 |     3,422 
       143 |       719         79      1,933        509        153 |     3,393 
       144 |       703         80      1,891        477        192 |     3,343 
       145 |       694         79      1,844        456        246 |     3,319 
       146 |       647         70      1,870        407        349 |     3,343 
       147 |       636         80      1,865        411        383 |     3,375 
       148 |       630        103      1,897        433        391 |     3,454 
       149 |       611        101      1,939        409        382 |     3,442 
       150 |       637         97      1,899        417        397 |     3,447 
       151 |       630         86      1,904        410        388 |     3,418 
       152 |       643         94      1,835        411        401 |     3,384 
       153 |       649         79      1,870        412        385 |     3,395 
       154 |       620         72      1,860        428        421 |     3,401 
       155 |       615         90      1,803        424        409 |     3,341 
       156 |       593         93      1,778        420        443 |     3,327 
       157 |       582         96      1,717        409        451 |     3,255 
       158 |       572         91      1,792        414        516 |     3,385 
       159 |       547         92      1,731        412        514 |     3,296 
       160 |       525         83      1,718        393        491 |     3,210 
       161 |       513         86      1,725        383        502 |     3,209 
       162 |       525         67      1,668        393        541 |     3,194 
       163 |       526         76      1,655        396        518 |     3,171 
       164 |       533         86      1,637        387        515 |     3,158 
       165 |       506         83      1,662        439        498 |     3,188 
       166 |       486         84      1,650        408        531 |     3,159 
       167 |       487         62      1,633        422        454 |     3,058 
       168 |       475         73      1,629        459        422 |     3,058 
       169 |       514         67      1,648        457        410 |     3,096 
       170 |       480         72      1,627        424        424 |     3,027 
       171 |       456         61      1,622        434        343 |     2,916 
       172 |       445         66      1,582        434        280 |     2,807 
       173 |       462         58      1,590        449        293 |     2,852 
       174 |       441         61      1,569        391        302 |     2,764 
       175 |       441         63      1,566        396        261 |     2,727 
       176 |       460         58      1,552        383        253 |     2,706 
       177 |       451         55      1,502        410        244 |     2,662 
       178 |       447         62      1,521        401        237 |     2,668 
       179 |       421         70      1,452        408        200 |     2,551 
       180 |       409         60      1,427        412        186 |     2,494 
       181 |       392         63      1,456        397        197 |     2,505 
       182 |       405         73      1,510        358        194 |     2,540 
       183 |       399         73      1,493        382        163 |     2,510 
       184 |       367         72      1,468        361        156 |     2,424 
       185 |       371         60      1,442        383        162 |     2,418 
       186 |       374         69      1,425        370        149 |     2,387 
       187 |       372         52      1,431        380        141 |     2,376 
       188 |       352         54      1,391        355        136 |     2,288 
       189 |       338         48      1,388        340        154 |     2,268 
       190 |       334         74      1,308        299        128 |     2,143 
       191 |       297        104      1,195        241        134 |     1,971 
       192 |       294         69      1,174        255        114 |     1,906 
       193 |       281         56      1,180        250        123 |     1,890 
       194 |       252         59      1,077        232        119 |     1,739 
       195 |       246         55      1,043        226         94 |     1,664 
       196 |       227         50        988        218        108 |     1,591 
       197 |       242         51        978        208         94 |     1,573 
       198 |       262         49        942        188         97 |     1,538 
       199 |       267         60        979        163         89 |     1,558 
       200 |       236         64        976        141         86 |     1,503 
       201 |       251         59        965        143         87 |     1,505 
-----------+-------------------------------------------------------+----------
     Total |    36,426      5,272    115,815     28,680     18,376 |   204,569 
