
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |       208        951        747        367        242 |     2,515 
       131 |       210        892        721        384        210 |     2,417 
       132 |       188        903        721        368        165 |     2,345 
       133 |       191        844        735        383        185 |     2,338 
       134 |       194        856        778        438        237 |     2,503 
       135 |       211        899        803        453        224 |     2,590 
       136 |       202        899        793        438        207 |     2,539 
       137 |       197        834        817        459        221 |     2,528 
       138 |       198        856        850        468        245 |     2,617 
       139 |       201        865        875        450        182 |     2,573 
       140 |       201        883        877        402        205 |     2,568 
       141 |       194        801        891        467        232 |     2,585 
       142 |       204        799        915        483        210 |     2,611 
       143 |       200        776        941        451        231 |     2,599 
       144 |       193        769        941        385        247 |     2,535 
       145 |       169        698        952        411        310 |     2,540 
       146 |       163        658        994        382        367 |     2,564 
       147 |       182        656      1,007        355        383 |     2,583 
       148 |       187        695      1,061        362        373 |     2,678 
       149 |       189        675      1,066        384        410 |     2,724 
       150 |       193        683      1,056        368        421 |     2,721 
       151 |       186        701      1,054        342        416 |     2,699 
       152 |       147        666      1,065        350        420 |     2,648 
       153 |       153        599      1,034        370        432 |     2,588 
       154 |       163        594      1,017        336        482 |     2,592 
       155 |       160        535        974        376        471 |     2,516 
       156 |       147        566        949        395        428 |     2,485 
       157 |       164        508        940        314        482 |     2,408 
       158 |       164        469        915        311        507 |     2,366 
       159 |       130        459        865        303        492 |     2,249 
       160 |       122        473        828        304        471 |     2,198 
       161 |       125        427        824        282        494 |     2,152 
       162 |       115        409        822        263        512 |     2,121 
       163 |       127        405        823        269        494 |     2,118 
       164 |       129        403        814        259        501 |     2,106 
       165 |       124        394        800        272        518 |     2,108 
       166 |       127        365        778        256        492 |     2,018 
       167 |       139        396        764        267        447 |     2,013 
       168 |       141        408        781        278        402 |     2,010 
       169 |       128        384        795        236        445 |     1,988 
       170 |       144        361        780        211        449 |     1,945 
       171 |       132        349        743        236        402 |     1,862 
       172 |       113        363        682        261        355 |     1,774 
       173 |       107        373        678        245        362 |     1,765 
       174 |       110        384        645        246        347 |     1,732 
       175 |       107        381        680        263        333 |     1,764 
       176 |       113        387        642        260        299 |     1,701 
       177 |       127        375        620        252        301 |     1,675 
       178 |       130        380        607        250        285 |     1,652 
       179 |       127        360        617        243        240 |     1,587 
       180 |       140        362        583        234        187 |     1,506 
       181 |       144        340        582        244        226 |     1,536 
       182 |       133        372        576        245        225 |     1,551 
       183 |       121        330        585        271        224 |     1,531 
       184 |       107        319        559        276        219 |     1,480 
       185 |       117        332        572        280        225 |     1,526 
       186 |       125        346        582        295        223 |     1,571 
       187 |       119        303        599        295        232 |     1,548 
       188 |        99        310        570        261        241 |     1,481 
       189 |       101        280        516        281        226 |     1,404 
       190 |        87        310        518        253        178 |     1,346 
       191 |        71        350        446        194        132 |     1,193 
       192 |        71        281        449        179        173 |     1,153 
       193 |        74        246        432        203        176 |     1,131 
       194 |        71        231        404        190        142 |     1,038 
       195 |        65        216        381        179        143 |       984 
       196 |        68        207        349        179        125 |       928 
       197 |        65        215        329        194        141 |       944 
       198 |        89        218        299        180        133 |       919 
       199 |        81        224        352        171        128 |       956 
       200 |        91        213        344        114        126 |       888 
       201 |        82        241        392        105        105 |       925 
-----------+-------------------------------------------------------+----------
     Total |    10,097     36,012     52,496     21,731     21,716 |   142,052 
