
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |  39972857  148476183  138423108   56513225   34980849 | 418366222 
       131 |  41083363  146132692  139797215   61614078   30518499 | 419145847 
       132 |  40923310  150259567  142123081   62898296   27467119 | 423671373 
       133 |  40065948  143366619  145760573   65537716   30658332 | 425389188 
       134 |  40425373  142450014  145496224   68023186   32480367 | 428875164 
       135 |  41354770  139823400  146893862   69142787   31235763 | 428450582 
       136 |  42028074  143221781  148431880   67612205   30869046 | 432162986 
       137 |  40073223  136180494  153359354   70919891   33456481 | 433989443 
       138 |  41401360  133847263  161685796   67663138   32995064 | 437592621 
       139 |  41431825  136267451  164380675   66405655   28709512 | 437195118 
       140 |  41597695  140892343  165792469   63866081   30324734 | 442473322 
       141 |  41104140  132189558  170965014   68079738   32561463 | 444899913 
       142 |  41442298  130054900  171964599   68083547   36648159 | 448193503 
       143 |  41130095  129683058  178164595   66258397   37519814 | 452755959 
       144 |  42593415  131007544  176697278   65080162   38595994 | 453974393 
       145 |  42252868  117271637  179625601   64827428   51511004 | 455488538 
       146 |  39118313  115045195  182658969   59214949   58853825 | 454891251 
       147 |  39769345  115082144  186003877   57521680   60968720 | 459345766 
       148 |  40197583  117885218  183980128   58468222   58723001 | 459254152 
       149 |  38312689  113933472  187341207   57292191   64504991 | 461384550 
       150 |  38014192  111626023  189526193   54923112   69676263 | 463765783 
       151 |  38625597  109972425  191062076   55390417   71290071 | 466340586 
       152 |  36946196  115059776  192022315   56240889   68792250 | 469061426 
       153 |  36718380  106901841  194071865   58254248   72809870 | 468756204 
       154 |  36689335  103233190  192796612   57667889   79543231 | 469930257 
       155 |  36033178  102117582  192568768   61007561   76294552 | 468021641 
       156 |  36417163  106978092  188804387   60372160   78623681 | 471195483 
       157 |  36835165   99285182  193756708   57384719   86539282 | 473801056 
       158 |  39395613   93006919  192257846   55648945   91774151 | 472083474 
       159 |  36771538   95074176  194307392   55082516   88767207 | 470002829 
       160 |  38137536   97268972  191484449   54664110   90270633 | 471825700 
       161 |  38341103   88522707  194618857   53608037   97306169 | 472396873 
       162 |  37543535   88178307  195180579   48349607  102550755 | 471802783 
       163 |  37230538   86305296  195369066   51224833  100756843 | 470886576 
       164 |  38683782   92815871  191207444   51344212   96275772 | 470327081 
       165 |  38832617   85111751  192858756   52366490  101458856 | 470628470 
       166 |  37939448   84336543  196227075   51740270   99187127 | 469430463 
       167 |  37784524   85219170  196781610   52637400   92987991 | 465410695 
       168 |  38025816   90157047  195453012   51564306   90021065 | 465221246 
       169 |  37360816   83759755  200745896   53501217   91099880 | 466467564 
       170 |  37384111   83254306  202737134   49691603   92733933 | 465801087 
       171 |  38228462   80334373  200731573   54182940   89584701 | 463062049 
       172 |  37048646   89617060  198809930   57694080   79146415 | 462316131 
       173 |  36974705   79941641  201583833   58060081   83044532 | 459604792 
       174 |  37350790   79260888  201335374   56855254   82808449 | 457610755 
       175 |  38021440   76974972  203019585   60363615   78503971 | 456883583 
       176 |  37631298   82906659  200575395   61781354   70878168 | 453772874 
       177 |  38921256   79225368  200001303   62257473   70892118 | 451297518 
       178 |  37026531   79406873  198125074   61253078   75420908 | 451232464 
       179 |  37636562   81683464  199772069   63793568   66747403 | 449633066 
       180 |  37555719   84442692  202513851   62154306   61887571 | 448554139 
       181 |  37588550   78483501  204376570   65560704   63541471 | 449550796 
       182 |  36559098   80331011  207650333   62656057   63860755 | 451057254 
       183 |  35892881   80159284  208940751   65372866   56556080 | 446921862 
       184 |  36738973   83568218  204310682   65396316   52094014 | 442108203 
       185 |  36628261   78599175  207301641   66076746   53554687 | 442160510 
       186 |  36664571   79520849  206881349   62355824   54672021 | 440094614 
       187 |  37193742   77464001  207502427   65435701   51617491 | 439213362 
       188 |  35170164   78336735  205894627   62355073   52651031 | 434407630 
       189 |  36267216   74727290  204830618   63827264   52443701 | 432096089 
       190 |  36556991   77176021  202902607   59942591   54406337 | 430984547 
       191 |  34587454   98698826  193835370   53411784   48822839 | 429356273 
       192 |  34414170   83545979  197556273   55525299   55786035 | 426827756 
       193 |  33923347   75243536  197204166   61077575   59780677 | 427229301 
       194 |  35800921   76511964  199059842   58978919   57705599 | 428057245 
       195 |  37267053   69838195  197755609   62712085   53223451 | 420796393 
       196 |  37195979   71365950  196452649   65216218   48460364 | 418691160 
       197 |  37292269   68151199  197348512   63349117   48268769 | 414409866 
       198 |  39308472   69931518  191684066   60805366   48450295 | 410179717 
       199 |  37252559   71510408  198541473   55873983   43115996 | 406294419 
       200 |  36821027   70694258  206097192   46978647   43919541 | 404510665 
       201 |  34371468   66542258  215735533   43860324   44680146 | 405189729 
-----------+-------------------------------------------------------+----------
     Total |2745879302 7095449630  1.360e+10 4292851321 4488867855 | 3.222e+10 
