
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |       153         32        597        179         29 |       990 
       131 |       165         24        581        182         38 |       990 
       132 |       143         22        539        196         29 |       929 
       133 |       140         21        563        201         35 |       960 
       134 |       157         25        589        207         32 |     1,010 
       135 |       158         20        655        234         35 |     1,102 
       136 |       165         28        620        212         42 |     1,067 
       137 |       170         28        635        222         40 |     1,095 
       138 |       178         23        643        229         44 |     1,117 
       139 |       193         26        656        251         44 |     1,170 
       140 |       193         26        664        224         34 |     1,141 
       141 |       184         21        646        214         41 |     1,106 
       142 |       170         16        668        217         49 |     1,120 
       143 |       173         24        672        217         57 |     1,143 
       144 |       169         41        659        210         64 |     1,143 
       145 |       156         25        666        180         99 |     1,126 
       146 |       152         28        659        155        129 |     1,123 
       147 |       151         32        689        171        130 |     1,173 
       148 |       159         44        719        187        126 |     1,235 
       149 |       160         36        710        201        140 |     1,247 
       150 |       166         34        735        185        154 |     1,274 
       151 |       165         24        703        182        167 |     1,241 
       152 |       153         33        698        194        158 |     1,236 
       153 |       146         31        677        179        159 |     1,192 
       154 |       133         32        707        187        171 |     1,230 
       155 |       135         29        686        194        152 |     1,196 
       156 |       117         19        634        183        146 |     1,099 
       157 |       104         21        590        167        160 |     1,042 
       158 |       102         27        559        164        174 |     1,026 
       159 |       124         25        539        170        168 |     1,026 
       160 |       115         21        520        167        151 |       974 
       161 |       122         27        510        149        170 |       978 
       162 |       119         22        507        152        157 |       957 
       163 |       133         29        498        153        145 |       958 
       164 |       133         27        490        159        144 |       953 
       165 |       123         26        494        153        133 |       929 
       166 |       112         32        518        144        132 |       938 
       167 |       102         36        481        162        117 |       898 
       168 |       102         32        447        150        120 |       851 
       169 |       102         20        417        146        122 |       807 
       170 |        96         28        423        160        113 |       820 
       171 |       102         20        417        177         98 |       814 
       172 |        92         22        412        168         90 |       784 
       173 |        91         23        401        162         76 |       753 
       174 |        88         17        399        162         76 |       742 
       175 |        74         21        380        163         67 |       705 
       176 |        81         19        361        165         52 |       678 
       177 |        72         28        359        162         50 |       671 
       178 |        83         24        365        170         59 |       701 
       179 |        83         17        385        155         64 |       704 
       180 |        86         22        381        152         58 |       699 
       181 |        87         17        378        148         60 |       690 
       182 |        85         15        381        145         67 |       693 
       183 |        96         23        404        151         57 |       731 
       184 |        81         21        411        161         58 |       732 
       185 |        95         30        419        170         49 |       763 
       186 |        99         24        439        152         46 |       760 
       187 |        75         21        454        148         46 |       744 
       188 |        73         26        422        142         34 |       697 
       189 |        80         25        414        134         43 |       696 
       190 |        77         27        409        138         42 |       693 
       191 |        66         35        373        102         61 |       637 
       192 |        66         19        351        105         52 |       593 
       193 |        61         23        335         91         39 |       549 
       194 |        53         27        301         85         39 |       505 
       195 |        52         19        296         75         41 |       483 
       196 |        49         16        259         74         28 |       426 
       197 |        36         26        272         56         26 |       416 
       198 |        46         21        285         64         17 |       433 
       199 |        48         18        307         66         29 |       468 
       200 |        49         27        294         58         23 |       451 
       201 |        50         25        287         43         32 |       437 
-----------+-------------------------------------------------------+----------
     Total |     8,169      1,815     36,014     11,533      5,929 |    63,460 
