
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |       362         77      1,201        376         78 |     2,094 
       131 |       368         79      1,185        379         85 |     2,096 
       132 |       317         68      1,141        371         84 |     1,981 
       133 |       340         80      1,175        387         72 |     2,054 
       134 |       371         68      1,234        417         82 |     2,172 
       135 |       383         65      1,327        454         84 |     2,313 
       136 |       394         71      1,309        433         96 |     2,303 
       137 |       400         68      1,388        461         94 |     2,411 
       138 |       419         70      1,419        492         96 |     2,496 
       139 |       427         71      1,440        488        109 |     2,535 
       140 |       424         76      1,428        461         87 |     2,476 
       141 |       421         82      1,419        446         92 |     2,460 
       142 |       420         77      1,434        446        115 |     2,492 
       143 |       437         75      1,455        436        139 |     2,542 
       144 |       436        101      1,462        401        168 |     2,568 
       145 |       415         83      1,483        385        234 |     2,600 
       146 |       396         76      1,488        336        307 |     2,603 
       147 |       385         90      1,519        361        299 |     2,654 
       148 |       403        116      1,598        383        302 |     2,802 
       149 |       395        105      1,612        383        355 |     2,850 
       150 |       395        101      1,628        369        384 |     2,877 
       151 |       390         84      1,583        392        394 |     2,843 
       152 |       366         87      1,589        394        379 |     2,815 
       153 |       380         92      1,591        374        375 |     2,812 
       154 |       350         91      1,681        384        430 |     2,936 
       155 |       348         88      1,649        406        367 |     2,858 
       156 |       331         76      1,564        427        360 |     2,758 
       157 |       311         91      1,496        378        396 |     2,672 
       158 |       331         95      1,439        358        446 |     2,669 
       159 |       339         81      1,396        373        452 |     2,641 
       160 |       326         77      1,347        355        399 |     2,504 
       161 |       339         96      1,331        346        440 |     2,552 
       162 |       330         81      1,337        322        439 |     2,509 
       163 |       347         94      1,305        354        409 |     2,509 
       164 |       355         96      1,307        359        421 |     2,538 
       165 |       350         93      1,312        345        405 |     2,505 
       166 |       363        111      1,334        350        414 |     2,572 
       167 |       353         98      1,304        373        375 |     2,503 
       168 |       353         97      1,228        370        340 |     2,388 
       169 |       346         68      1,178        361        347 |     2,300 
       170 |       340         84      1,164        370        310 |     2,268 
       171 |       338         70      1,150        407        298 |     2,263 
       172 |       310         76      1,125        419        254 |     2,184 
       173 |       302         77      1,120        392        245 |     2,136 
       174 |       284         69      1,135        384        270 |     2,142 
       175 |       265         75      1,123        397        227 |     2,087 
       176 |       279         70      1,135        389        192 |     2,065 
       177 |       291         85      1,157        380        189 |     2,102 
       178 |       301         77      1,179        383        195 |     2,135 
       179 |       295         65      1,183        380        190 |     2,113 
       180 |       300         76      1,181        385        170 |     2,112 
       181 |       292         75      1,161        363        185 |     2,076 
       182 |       291         81      1,185        367        200 |     2,124 
       183 |       307         75      1,203        395        170 |     2,150 
       184 |       314         78      1,255        423        162 |     2,232 
       185 |       315         98      1,284        438        161 |     2,296 
       186 |       336         91      1,295        417        171 |     2,310 
       187 |       306         71      1,302        404        161 |     2,244 
       188 |       301         81      1,269        379        160 |     2,190 
       189 |       288         92      1,260        361        141 |     2,142 
       190 |       276         86      1,235        351        148 |     2,096 
       191 |       238        126      1,132        281        181 |     1,958 
       192 |       223         76      1,105        300        152 |     1,856 
       193 |       214         88      1,092        284        141 |     1,819 
       194 |       203         91      1,019        251        130 |     1,694 
       195 |       206         81        967        223        123 |     1,600 
       196 |       198         59        861        239         93 |     1,450 
       197 |       192         74        899        216         76 |     1,457 
       198 |       189         74        948        213         94 |     1,518 
       199 |       201         71      1,008        203        103 |     1,586 
       200 |       189         69      1,024        169         86 |     1,537 
       201 |       170         71      1,017        133         92 |     1,483 
-----------+-------------------------------------------------------+----------
     Total |    23,470      5,927     92,489     26,382     16,420 |   164,688 
