
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |  13536777    2676196   51058698   17418450    3490906 |  88181027 
       131 |  14172051    3166047   49624967   17549775    4211300 |  88724140 
       132 |  12867610    2873276   49319836   19113905    4192357 |  88366984 
       133 |  13533047    3728864   52810541   19446002    3024566 |  92543020 
       134 |  14213449    2832143   53115103   19767677    3864766 |  93793138 
       135 |  13845919    2868465   53115618   19843906    4401055 |  94074963 
       136 |  14890116    3273484   52268576   20243510    4652229 |  95327915 
       137 |  15763193    2957024   55771769   21530003    4006390 | 100028379 
       138 |  15785455    2765446   56306744   21830332    4535208 | 101223185 
       139 |  16694614    2834544   56840345   20399820    5076842 | 101846165 
       140 |  17269168    3263968   57292766   19918855    3955911 | 101700668 
       141 |  17102654    4148551   59566508   19567268    4184516 | 104569497 
       142 |  17331718    3341621   60114427   19071332    5570929 | 105430027 
       143 |  16954743    2973716   59844510   19466026    6051612 | 105290607 
       144 |  16637104    4423528   61407493   17727022    7204770 | 107399917 
       145 |  16183805    3583855   61763277   16843727   10736427 | 109111091 
       146 |  16121264    2988389   59888274   13977813   15084875 | 108060615 
       147 |  15104172    3553461   60909844   15964111   13917697 | 109449285 
       148 |  14918375    4120059   62204964   16635591   13877310 | 111756299 
       149 |  15428679    3583792   61531158   16516261   15096751 | 112156641 
       150 |  14858543    3447524   61564610   15556475   16294792 | 111721944 
       151 |  14935430    2926691   61040513   15529641   16666852 | 111099127 
       152 |  14460331    3299786   61567062   15972641   15562506 | 110862326 
       153 |  14792615    3480733   61449397   14995676   15877658 | 110596079 
       154 |  13356452    3358657   63364474   15204614   17910121 | 113194318 
       155 |  13001892    3352567   62190021   16315011   14661247 | 109520738 
       156 |  12340006    3617485   61375503   16729592   14782262 | 108844848 
       157 |  11964112    3628622   59871122   15705967   18341616 | 109511439 
       158 |  13012355    3857911   56102081   13893669   20318140 | 107184156 
       159 |  13487265    3014714   54006749   15186376   18242335 | 103937439 
       160 |  12680045    3392266   54623340   14438520   16674678 | 101808849 
       161 |  12850171    4564759   55245032   14643043   17644409 | 104947414 
       162 |  12659949    3839620   55243028   12634089   18050223 | 102426909 
       163 |  13645776    3700671   54093182   14384694   16380093 | 102204416 
       164 |  13734526    4203992   53705500   14621968   16281416 | 102547402 
       165 |  13197554    3835491   53671951   13959638   15748827 | 100413461 
       166 |  13759454    4493019   54016636   13805172   15782717 | 101856998 
       167 |  13553468    3283989   53093752   14511503   14926775 |  99369487 
       168 |  13466643    3368277   51406631   14854950   14051044 |  97147545 
       169 |  13225572    2890806   49383300   14364451   14501772 |  94365901 
       170 |  13553029    3468088   48341502   15086238   13066052 |  93514909 
       171 |  13395447    2502273   48042764   17169247   12408061 |  93517792 
       172 |  12542222    2978571   47369066   16952233   10378604 |  90220696 
       173 |  12288359    3041953   47758025   15973363   10086628 |  89148328 
       174 |  12066057    2871886   49380665   16519287   10857018 |  91694913 
       175 |  11306113    2895196   48528282   16957176    9573590 |  89260357 
       176 |  11613937    3149942   48286699   16498691    9300768 |  88850037 
       177 |  11755686    3423993   48721457   16918418    8950252 |  89769806 
       178 |  12332629    3400263   48577594   16666985    8411219 |  89388690 
       179 |  12608377    2734569   49374665   16031353    8609987 |  89358951 
       180 |  12567926    3282643   49929182   16058670    7140637 |  88979058 
       181 |  11287148    2942137   48531287   15276621    7921386 |  85958579 
       182 |  11647480    3164148   49666788   14536521    7833776 |  86848713 
       183 |  12925039    2888429   49500392   15812963    6917646 |  88044469 
       184 |  13167651    2714706   51400737   17504742    6543711 |  91331547 
       185 |  12302562    3403928   50665191   17895059    5997513 |  90264253 
       186 |  13523924    3253523   50973910   16236100    6914309 |  90901766 
       187 |  12208579    2894079   52715370   15962993    6361599 |  90142620 
       188 |  11943087    3345449   51482052   15680868    6315717 |  88767173 
       189 |  11755218    4290976   51593639   15152077    5853095 |  88645005 
       190 |  11673809    4100629   52398963   15478826    6849313 |  90501540 
       191 |  11390912    6186971   50570090   12927336    9452128 |  90527437 
       192 |  10309625    3637301   50540173   14173383    8042505 |  86702987 
       193 |   9816140    4374478   50606266   13364603    7535424 |  85696911 
       194 |  10213982    4593273   51540316   12239496    7351220 |  85938287 
       195 |  11000330    3708835   50395007   11411443    6637632 |  83153247 
       196 |  10941481    2872012   48681079   13204372    5533478 |  81232422 
       197 |  10851878    4082712   51532831   13286936    4289534 |  84043891 
       198 |  10022676    4107775   55386148   12499856    5328121 |  87344576 
       199 |  10681262    3738588   58987233   11819982    5865359 |  91092424 
       200 |  10244710    3992770   61346674    9279659    5117426 |  89981239 
       201 |   9248935    4744477   60291713    7586997    5864394 |  87736516 
-----------+-------------------------------------------------------+----------
     Total | 950522282  250300582 3904885062 1142301570  713144002 |6961153498 
