
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |   3508202     726070   13612498    5411325    1594340 |  24852435 
       131 |   3979198     826437   13927642    5476140    1701692 |  25911109 
       132 |   3672241    1068949   14262666    4676211    1925810 |  25605877 
       133 |   4132478    1400282   15459747    5529589    1177438 |  27699534 
       134 |   4409314     553960   15839739    6055059    1502368 |  28360440 
       135 |   4232086     732098   15236127    6634614    1262918 |  28097843 
       136 |   4273074     796362   14441341    6813657    1680008 |  28004442 
       137 |   5135690     533600   15937096    7467018    1138650 |  30212054 
       138 |   4861136     785109   17053219    7253413    1716882 |  31669759 
       139 |   4800171     837663   17037567    5941581    1791749 |  30408731 
       140 |   5364978     966080   16105609    6178610    1486679 |  30101956 
       141 |   5635989    1484296   17557125    6056325    1169222 |  31902957 
       142 |   6214079    1034127   17724463    5337242    1963704 |  32273615 
       143 |   6064543     873879   18202716    5248794    1994534 |  32384466 
       144 |   6347190    1078497   18078687    3800086    2463455 |  31767915 
       145 |   5819779    1178732   18715681    5029141    3111268 |  33854601 
       146 |   5419127     974611   18785607    4035620    4717137 |  33932102 
       147 |   5379573     980681   18390488    5456959    4347254 |  34554955 
       148 |   4946427    1417385   19129468    5893229    4094215 |  35480724 
       149 |   5113956    1166565   20149753    4545507    5187061 |  36162842 
       150 |   4917628    1073264   20139493    4997841    5467352 |  36595578 
       151 |   5146958    1132257   19171147    5166836    5094066 |  35711264 
       152 |   4742626     752537   19598298    5177381    5015707 |  35286549 
       153 |   5198450    1108904   19588657    5021015    4925691 |  35842717 
       154 |   4500586     937919   21156133    4855228    5873285 |  37323151 
       155 |   4595498     998973   20969220    5957045    4645468 |  37166204 
       156 |   3822545    1249202   21767083    6235547    4592046 |  37666423 
       157 |   4101536    1445883   21346057    5679627    6566960 |  39140063 
       158 |   4391598    1673115   20091090    4266707    7155330 |  37577840 
       159 |   4114143     832998   19570115    5450249    6613257 |  36580762 
       160 |   4148447    1118628   19697142    5448136    5371436 |  35783789 
       161 |   3975347    1334300   19766305    5427759    5950854 |  36454565 
       162 |   3722075    1042428   18668710    3947276    6784861 |  34165350 
       163 |   3974116     933116   19121997    5243886    5875442 |  35148557 
       164 |   4481712    1013129   18983497    4805419    6074386 |  35358143 
       165 |   4401070    1416262   18991652    4622126    5046947 |  34478057 
       166 |   5026149    1419776   18232847    4641949    5553705 |  34874426 
       167 |   5506473     737245   19282709    4759789    5462229 |  35748445 
       168 |   5081380    1125758   18482874    5122753    4040942 |  33853707 
       169 |   4699102    1228611   17755229    4804284    4253548 |  32740774 
       170 |   5125563    1164047   17505420    4257606    4085731 |  32138367 
       171 |   4665518     872563   17361859    5182090    4686157 |  32768187 
       172 |   4571619    1179334   16639241    5528780    3121711 |  31040685 
       173 |   3985647    1002712   16680643    5079718    3927808 |  30676528 
       174 |   3750449     867807   18148095    5772590    3659494 |  32198435 
       175 |   3903931     951696   19176025    5794735    3026168 |  32852555 
       176 |   3850766     905043   18515670    5521637    3595847 |  32388963 
       177 |   4323975     872673   19066838    5407181    3618635 |  33289302 
       178 |   4584093    1121494   18395914    5391797    2993757 |  32487055 
       179 |   5501567     762443   18560622    5649158    2823740 |  33297530 
       180 |   5089075     813479   18798386    5340057    2364991 |  32405988 
       181 |   4577288     960915   17953365    4597512    2146473 |  30235553 
       182 |   4043413    1035345   17227311    4521158    2473048 |  29300275 
       183 |   4143220     937640   16589209    5197920    2353337 |  29221326 
       184 |   5091941     975198   17492861    5731717    2619489 |  31911206 
       185 |   4383286    1144184   17333642    5409279    2425403 |  30695794 
       186 |   5357549    1274101   16150509    5296107    2404218 |  30482484 
       187 |   5025941     679290   16282783    5177662    2085377 |  29251053 
       188 |   4351755     933525   17787768    4550771    2074629 |  29698448 
       189 |   3564461    1534036   17005832    4418923    1506882 |  28030134 
       190 |   3255507    1081995   17346186    4241038    2288280 |  28213006 
       191 |   3441789    1770656   16848990    3540317    2817601 |  28419353 
       192 |   2249959     972581   17514971    4431522    2410841 |  27579874 
       193 |   2999958    1348865   16389026    4440643    2440607 |  27619099 
       194 |   2716559    1251389   16924261    4538576    2208133 |  27638918 
       195 |   3695989    1143332   15266864    2786784    2228575 |  25121544 
       196 |   3472150     846133   14992397    4256301    1665541 |  25232522 
       197 |   4213176    1422155   15592481    5509858    1186156 |  27923826 
       198 |   2552369    1210261   16133074    5158828    2214449 |  27268981 
       199 |   2781495    1651563   18541065    4792049    1780129 |  29546301 
       200 |   2846688     996671   21910852    3482821    1939725 |  31176757 
       201 |   2365387    1415014   21644790    2636317    1560849 |  29622357 
-----------+-------------------------------------------------------+----------
     Total | 316338753   77087828 1289804444  368112425  239123677 |2290467127 
