
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |        60        119        435        194         79 |       887 
       131 |        70        108        443        183         58 |       862 
       132 |        58        126        401        180         47 |       812 
       133 |        66        111        401        188         56 |       822 
       134 |        78         95        415        182         74 |       844 
       135 |        78        116        440        234         57 |       925 
       136 |        72        116        446        234         43 |       911 
       137 |        88         92        517        218         47 |       962 
       138 |        91         97        524        206         70 |       988 
       139 |        87        120        561        205         62 |     1,035 
       140 |        81        118        558        200         71 |     1,028 
       141 |        85         93        584        203         63 |     1,028 
       142 |        68        106        585        208         77 |     1,044 
       143 |        88         89        587        213         95 |     1,072 
       144 |        87         86        582        210         95 |     1,060 
       145 |        77         90        586        215        101 |     1,069 
       146 |        78         90        593        213        114 |     1,088 
       147 |        69         98        590        213        112 |     1,082 
       148 |        81         89        643        238        112 |     1,163 
       149 |        76        101        647        217        127 |     1,168 
       150 |        68         94        664        234        149 |     1,209 
       151 |        65         93        644        233        130 |     1,165 
       152 |        54         88        630        249        125 |     1,146 
       153 |        61         93        600        249        135 |     1,138 
       154 |        59         98        628        246        169 |     1,200 
       155 |        67         97        647        236        157 |     1,204 
       156 |        69        109        600        222        153 |     1,153 
       157 |        68         94        576        221        155 |     1,114 
       158 |        71         96        529        218        165 |     1,079 
       159 |        68         89        542        211        151 |     1,061 
       160 |        61         69        510        210        156 |     1,006 
       161 |        70         68        526        198        163 |     1,025 
       162 |        73         58        487        196        167 |       981 
       163 |        77         69        495        180        155 |       976 
       164 |        69         64        457        195        162 |       947 
       165 |        68         60        456        192        147 |       923 
       166 |        63         57        456        202        159 |       937 
       167 |        60         64        448        192        137 |       901 
       168 |        44         72        445        171        125 |       857 
       169 |        47         49        409        175        123 |       803 
       170 |        62         42        415        165        126 |       810 
       171 |        74         45        425        175        111 |       830 
       172 |        63         58        409        161         91 |       782 
       173 |        73         47        398        174        106 |       798 
       174 |        68         47        389        188         93 |       785 
       175 |        73         51        391        173         97 |       785 
       176 |        63         60        393        166         78 |       760 
       177 |        59         60        409        180         91 |       799 
       178 |        49         62        422        190         90 |       813 
       179 |        49         66        375        196         69 |       755 
       180 |        48         84        366        163         86 |       747 
       181 |        44         62        359        168         90 |       723 
       182 |        44         68        366        161         88 |       727 
       183 |        47         52        389        166         76 |       730 
       184 |        50         49        420        167         73 |       759 
       185 |        54         51        448        187         64 |       804 
       186 |        55         43        426        202         69 |       795 
       187 |        55         60        421        179         70 |       785 
       188 |        47         68        404        174         78 |       771 
       189 |        56         69        402        168         79 |       774 
       190 |        61         76        354        171         78 |       740 
       191 |        51         79        298        147         84 |       659 
       192 |        59         54        301        148         77 |       639 
       193 |        46         44        297        151         68 |       606 
       194 |        38         48        278        125         62 |       551 
       195 |        39         46        253        121         53 |       512 
       196 |        34         40        232        124         38 |       468 
       197 |        34         44        251        116         31 |       476 
       198 |        32         47        275        106         43 |       503 
       199 |        35         40        306        103         40 |       524 
       200 |        37         43        322        105         38 |       545 
       201 |        39         39        307         85         47 |       517 
-----------+-------------------------------------------------------+----------
     Total |     4,458      5,385     32,788     13,389      6,927 |    62,947 
