
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |        60        119        434        194         79 |       886 
       131 |        70        108        441        182         57 |       858 
       132 |        58        127        400        180         47 |       812 
       133 |        66        111        402        189         56 |       824 
       134 |        78         95        415        180         74 |       842 
       135 |        78        115        437        234         58 |       922 
       136 |        72        116        446        235         43 |       912 
       137 |        88         93        517        217         45 |       960 
       138 |        91         97        526        204         70 |       988 
       139 |        87        120        561        206         61 |     1,035 
       140 |        81        117        559        200         70 |     1,027 
       141 |        85         92        586        204         63 |     1,030 
       142 |        68        107        583        208         77 |     1,043 
       143 |        88         86        588        212         95 |     1,069 
       144 |        87         85        585        210         95 |     1,062 
       145 |        77         90        584        213        102 |     1,066 
       146 |        78         89        594        215        115 |     1,091 
       147 |        69         97        589        213        113 |     1,081 
       148 |        81         89        644        238        112 |     1,164 
       149 |        76        100        647        217        127 |     1,167 
       150 |        68         93        665        233        151 |     1,210 
       151 |        66         92        644        232        131 |     1,165 
       152 |        55         88        631        250        125 |     1,149 
       153 |        61         92        600        251        135 |     1,139 
       154 |        59         96        627        248        169 |     1,199 
       155 |        67         97        648        237        157 |     1,206 
       156 |        69        109        599        221        154 |     1,152 
       157 |        68         94        575        221        154 |     1,112 
       158 |        71         96        527        218        164 |     1,076 
       159 |        68         89        541        211        151 |     1,060 
       160 |        61         69        510        210        156 |     1,006 
       161 |        70         68        526        199        163 |     1,026 
       162 |        72         59        486        196        166 |       979 
       163 |        76         69        495        180        154 |       974 
       164 |        70         65        457        195        162 |       949 
       165 |        68         61        456        192        147 |       924 
       166 |        63         56        456        202        160 |       937 
       167 |        59         63        450        192        138 |       902 
       168 |        44         72        444        172        125 |       857 
       169 |        47         47        409        175        123 |       801 
       170 |        61         43        416        165        126 |       811 
       171 |        73         46        426        175        112 |       832 
       172 |        63         58        409        162         91 |       783 
       173 |        73         48        398        175        104 |       798 
       174 |        68         47        388        188         92 |       783 
       175 |        72         51        391        173         97 |       784 
       176 |        63         60        392        165         78 |       758 
       177 |        59         61        410        179         91 |       800 
       178 |        49         62        421        189         90 |       811 
       179 |        49         66        375        196         69 |       755 
       180 |        48         84        366        164         86 |       748 
       181 |        45         62        358        167         91 |       723 
       182 |        44         68        366        160         88 |       726 
       183 |        48         52        389        166         76 |       731 
       184 |        50         49        420        166         73 |       758 
       185 |        54         51        448        187         64 |       804 
       186 |        55         43        425        202         69 |       794 
       187 |        55         60        420        179         70 |       784 
       188 |        47         68        406        174         78 |       773 
       189 |        55         69        402        168         79 |       773 
       190 |        60         75        354        171         78 |       738 
       191 |        51         79        298        147         84 |       659 
       192 |        59         54        301        148         77 |       639 
       193 |        46         44        297        151         69 |       607 
       194 |        38         47        278        125         61 |       549 
       195 |        39         47        254        121         52 |       513 
       196 |        34         41        232        124         38 |       469 
       197 |        34         43        251        116         31 |       475 
       198 |        32         47        275        106         43 |       503 
       199 |        35         40        306        103         40 |       524 
       200 |        37         43        322        105         38 |       545 
       201 |        39         38        307         85         47 |       516 
-----------+-------------------------------------------------------+----------
     Total |     4,455      5,374     32,785     13,388      6,926 |    62,928 
