
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |   3214516    5320145   20093756    7497804    3091854 |  39218075 
       131 |   3483955    4654034   21345710    7982645    2419944 |  39886288 
       132 |   3226226    5807434   19424398    8082356    2261570 |  38801984 
       133 |   3494718    5234824   19632219    8860483    2271514 |  39493758 
       134 |   3533870    4334359   19292834    7438023    3091036 |  37690122 
       135 |   3197151    4804998   20029374    9240555    2321765 |  39593843 
       136 |   2781293    4745638   20180235    9780060    1779500 |  39266726 
       137 |   3778436    3934672   23506523    8895045    2054500 |  42169176 
       138 |   3805629    4225701   22511090    7852958    3367504 |  41762882 
       139 |   3395489    5096358   24815629    8611801    2526020 |  44445297 
       140 |   3007618    4756095   24795436    8195231    3153071 |  43907451 
       141 |   3226006    4219870   25789182    8759172    2563497 |  44557727 
       142 |   2565302    4897689   25595119    9425636    3494256 |  45978002 
       143 |   3229160    3822314   25518536    9324634    4227144 |  46121788 
       144 |   3707989    3889618   25573835    9074954    4379439 |  46625835 
       145 |   3255923    4506979   25670709    9037799    4543805 |  47015215 
       146 |   3272561    3901729   25264120    9307420    4992293 |  46738123 
       147 |   2592997    4533795   24929140    9270781    4725993 |  46052706 
       148 |   2768631    3674987   25926179    9924552    5199014 |  47493363 
       149 |   2763561    4332849   26501427    8374672    5748683 |  47721192 
       150 |   2811007    3981199   26357924    9388702    6305189 |  48844021 
       151 |   2378749    3543945   25374657    8982578    5443954 |  45723883 
       152 |   1885505    3418190   25153395    8963940    5223799 |  44644829 
       153 |   2530516    3258827   24353134    9425383    5541555 |  45109415 
       154 |   2288307    3359026   24902375    9201176    7031688 |  46782572 
       155 |   2229059    3191640   25543246    8846671    6921770 |  46732386 
       156 |   2536343    4066517   23463298    8010923    6840809 |  44917890 
       157 |   2767879    3814119   24108583    8508706    6814159 |  46013446 
       158 |   2771188    4082995   21904327    9075974    7053087 |  44887571 
       159 |   2458537    3169783   22312773    8993352    6151506 |  43085951 
       160 |   2282071    2672156   21913618    8060337    6282082 |  41210264 
       161 |   2541966    3097153   23170896    7512146    6529055 |  42851216 
       162 |   2977331    2851953   21309820    8005852    6356334 |  41501290 
       163 |   2705766    2860363   22231391    7283087    6059550 |  41140157 
       164 |   2480484    2577896   20707466    7888492    6412943 |  40067281 
       165 |   2237323    2399876   19735453    7961272    5824005 |  38157929 
       166 |   2587759    2194728   20178756    8418583    6307627 |  39687453 
       167 |   2383312    2616969   19997465    8090483    5322947 |  38411176 
       168 |   1633814    3051532   20908684    7524201    5183983 |  38302214 
       169 |   1857154    2181382   19396783    7770819    5116973 |  36323111 
       170 |   2466688    1985587   19395487    6964687    4794143 |  35606592 
       171 |   2955326    1794501   19497667    7511918    4673552 |  36432964 
       172 |   2631389    2583226   18619661    6582849    3833240 |  34250365 
       173 |   2994747    2100076   17243089    7232893    4663333 |  34234138 
       174 |   2744658    2036473   16823476    8008570    4070276 |  33683453 
       175 |   3081999    2051777   16473196    7321579    4267754 |  33196305 
       176 |   2466415    2397004   16798847    7183887    3587441 |  32433594 
       177 |   2378042    2805033   18077622    7512621    4044987 |  34818305 
       178 |   1962532    2768502   18536228    7832542    3319134 |  34418938 
       179 |   1972158    3178984   16924091    8011491    2858070 |  32944794 
       180 |   2176045    3558865   16632357    7050185    3794249 |  33211701 
       181 |   1640332    3005835   15577712    7107719    4065853 |  31397451 
       182 |   1697597    3251156   16070193    6285183    3870185 |  31174314 
       183 |   1854726    2388359   17227140    6526140    3298484 |  31294849 
       184 |   2117241    2200387   17689431    7052920    2972771 |  32032750 
       185 |   2028766    2555326   18430715    7490420    2653722 |  33158949 
       186 |   2245055    2084324   17136020    7583212    2628507 |  31677118 
       187 |   2028527    2401117   17385267    7026126    2805033 |  31646070 
       188 |   1860399    3125457   17138870    6674393    3063311 |  31862430 
       189 |   2280764    3239347   17658869    6784948    3353346 |  33317274 
       190 |   2564998    3674404   15509451    6604612    3321804 |  31675269 
       191 |   2384279    4062875   14849913    6157669    4279607 |  31734343 
       192 |   2782378    2564480   15234380    6126645    4080412 |  30788295 
       193 |   1985373    2128026   15530785    6252665    3133114 |  29029963 
       194 |   2027332    2739405   16498211    6535365    3449916 |  31250229 
       195 |   2575035    2849722   15084939    7032130    2760940 |  30302766 
       196 |   2271075    2177811   16226360    7487028    2043100 |  30205374 
       197 |   2710197    2163203   16650281    7565805    1987051 |  31076537 
       198 |   2494480    2671877   19051464    7328409    2293672 |  33839902 
       199 |   2426500    1761997   21728618    6101095    2715846 |  34734056 
       200 |   2435206    2817592   22574141    6234455    2197378 |  36258772 
       201 |   2389252    2381555   21433748    4860284    3070796 |  34135635 
-----------+-------------------------------------------------------+----------
     Total | 187274612  236588620 1479127724  564879703  298886444 |2766757103 
