
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |   9236364   22386449   44504614   17424255    8715136 | 102266818 
       131 |   9218478   20603564   44666061   19830826    6297823 | 100616752 
       132 |   8896836   22904205   43215757   19351903    6223001 | 100591702 
       133 |   9114349   22768962   43337077   21182441    6975045 | 103377874 
       134 |   9043922   21195187   44208697   18732270    8778471 | 101958547 
       135 |   8598586   21299367   46033965   21548914    5779596 | 103260428 
       136 |   8332373   20926273   45516507   22438261    5927775 | 103141189 
       137 |   9211763   18955184   49338473   21634048    7219574 | 106359042 
       138 |   9893606   19006556   50136619   17916672    8591674 | 105545127 
       139 |   9475324   19302097   53087199   18819657    7145245 | 107829522 
       140 |   9016115   20176226   51664358   17732201    7925725 | 106514625 
       141 |   9977143   17807181   54026953   19532337    7949322 | 109292936 
       142 |   9119114   18854462   53706285   19964957    9404974 | 111049792 
       143 |   9552072   17719710   53380107   20269017   10136341 | 111057247 
       144 |  10633795   17770450   54297371   19813958   11376247 | 113891821 
       145 |   9840674   17981590   53557346   20531669   12256937 | 114168216 
       146 |   9221283   16796825   55995877   19391010   13638086 | 115043081 
       147 |   8571899   17156593   54873502   18651700   13596119 | 112849813 
       148 |   8453077   14468787   55357937   21083116   13712325 | 113075242 
       149 |   7881484   15249799   57733210   18806334   15405462 | 115076289 
       150 |   8050285   14558508   55854879   19931030   16359604 | 114754306 
       151 |   7710110   13350821   55308684   18429865   15394419 | 110193899 
       152 |   7264155   14062682   54952143   17861954   15909994 | 110050928 
       153 |   8237614   13265983   55663478   18809272   15991513 | 111967860 
       154 |   8270117   13084529   54286680   18906756   17976053 | 112524135 
       155 |   8097362   12668694   55556866   18865126   18052712 | 113240760 
       156 |   8495153   13969082   53549065   18427242   17977815 | 112418357 
       157 |   8086593   14026395   55073635   19220107   18000183 | 114406913 
       158 |   8544029   13207713   50674466   19390620   20589526 | 112406354 
       159 |   7616260   13315791   53091337   18352124   18650980 | 111026492 
       160 |   7245644   12861958   52067295   18077582   19232659 | 109485138 
       161 |   7358251   12372043   54526395   16653574   19296966 | 110207229 
       162 |   7245501   11078619   53176640   15894814   19739807 | 107135381 
       163 |   7178541   10054314   53158920   16430012   18536265 | 105358052 
       164 |   6634656   11076247   51624917   16985490   17803596 | 104124906 
       165 |   6806644    9149144   50195622   16088093   18275728 | 100515231 
       166 |   6935070    9589287   49625012   16589527   17376291 | 100115187 
       167 |   7272958   10139556   50245217   16703345   16004133 | 100365209 
       168 |   6222965   10440698   50341802   16227284   16813336 | 100046085 
       169 |   7035407    9303105   47300669   17022166   17202456 |  97863803 
       170 |   7631863   10313624   46157130   15519089   16612406 |  96234112 
       171 |   7888795    9141459   47199547   16721565   16462229 |  97413595 
       172 |   7536401   10353834   45279441   16360713   13803494 |  93333883 
       173 |   7907899   10350195   44928332   15878774   13982326 |  93047526 
       174 |   7914543    9698380   44985063   16372868   14336964 |  93307818 
       175 |   9096441    8658606   44019296   16632496   13682506 |  92089345 
       176 |   8218340   10258277   45274137   17179211   12544112 |  93474077 
       177 |   7443693   10822124   48636664   17536182   12416455 |  96855118 
       178 |   6691876    9580965   47753905   17828657   12512698 |  94368101 
       179 |   6823671   10304959   46332454   19295372   11175788 |  93932244 
       180 |   7115574   10694355   45672131   18177581   11930768 |  93590409 
       181 |   6787799   10077513   43765969   18252695   13103453 |  91987429 
       182 |   6896012   10095209   44054142   16646522   12652067 |  90343952 
       183 |   7112666    9698400   44457663   17909499   10560581 |  89738809 
       184 |   7825533   10476149   47389323   18473051    9940242 |  94104298 
       185 |   7163055   10200590   48226109   18449975    9735257 |  93774986 
       186 |   7760122   10102584   47340719   18342645   10616952 |  94163022 
       187 |   7951797   10118103   45648253   18237753   10520067 |  92475973 
       188 |   7232977   10106242   46399327   18769016    9973850 |  92481412 
       189 |   6924066   10729806   47487696   17776369    9994470 |  92912407 
       190 |   7339716   11294543   45447155   16590945   10355489 |  91027848 
       191 |   7317334   14341686   42830146   13585709   12485762 |  90560637 
       192 |   7518771    9829106   42669629   14700316   13023466 |  87741288 
       193 |   5865141    9312842   43326751   15363290   11927661 |  85795685 
       194 |   6503553   10217037   42478048   15782104   10604991 |  85585733 
       195 |   7070409    9179698   40566929   16863618    9499093 |  83179747 
       196 |   6295422    8599337   44242709   16714477    8176105 |  84028050 
       197 |   7369999    8617561   46017694   15744141    8254732 |  86004127 
       198 |   6584547    9967035   47126098   14749564    9238363 |  87665607 
       199 |   7066598    9852958   53367843   13413769    7920691 |  91621859 
       200 |   6917453    8662959   55342696   13415973    8861735 |  93200816 
       201 |   6930877    8325892   56046285   11275897    9931556 |  92510507 
-----------+-------------------------------------------------------+----------
     Total | 566298515  944886664 3545380921 1278081365  909075243 |7243722708 
