
. tab ciclo state_pt if father_10==1&age3040==1&husband==1 [fweight=facexp]

           |                             state_pt
     ciclo |         A          I          P         PT          T          U |     Total
-----------+------------------------------------------------------------------+----------
       130 |  30399857    4285169   89281630    2774480   24776337    6021845 | 157539318 
       131 |  28909952    3752482   86566441    2980049   28254620    4717339 | 155180883 
       132 |  29120829    3674652   88612432    2971646   30059266    5571503 | 160010328 
       133 |  29473309    3866647   89014990    3168190   30900964    5598281 | 162022381 
       134 |  29865864    4008481   87053833    2838138   31619601    5312834 | 160698751 
       135 |  29911241    3342629   85124238    2992250   32054097    5728259 | 159152714 
       136 |  30031491    4368474   86032455    2063500   32350712    5332094 | 160178726 
       137 |  29890834    4353834   85271837    1971600   32925504    5210154 | 159623763 
       138 |  29150139    4774956   88594692    2292231   30642528    5960559 | 161415105 
       139 |  29665192    4906028   90355403    2493035   29752855    4884810 | 162057323 
       140 |  30112437    4052067   91217929    2256842   30541067    5417920 | 163598262 
       141 |  30418984    4366674   92581985    2159872   30122239    5773189 | 165422943 
       142 |  30367660    4499158   91612918    2428502   30091067    7167315 | 166166620 
       143 |  29694480    4157483   89748319    2628991   29023792    9251700 | 164504765 
       144 |  30023806    4414976   90581034    2979169   27567873   11151662 | 166718520 
       145 |  30116657    4764871   89017701    2606727   27291998   15185389 | 168983343 
       146 |  26677499    4207648   87930542    2856191   24640349   22196895 | 168509124 
       147 |  27249460    4429756   85352717    3277535   24267079   24195864 | 168772411 
       148 |  26151861    5701829   83981282    3510149   23714052   23715166 | 166774339 
       149 |  24797780    5573919   85845876    4122058   23050916   24354797 | 167745346 
       150 |  25614433    5206580   83757670    3723986   23089948   24614755 | 166007372 
       151 |  26005584    4806920   84849607    3948948   22686197   23720502 | 166017758 
       152 |  25465550    4538613   84663045    3862090   22401821   24947183 | 165878302 
       153 |  24474851    4153513   86014066    4190312   21705555   25377972 | 165916269 
       154 |  23293235    3913954   82237935    5566345   22601812   25925146 | 163538427 
       155 |  23488329    4469804   82420262    5569560   21864785   25250891 | 163063631 
       156 |  22391271    4471070   82503785    5080151   22769202   27013545 | 164229024 
       157 |  22706183    4197020   81847170    5127592   21464678   28490438 | 163833081 
       158 |  21908787    4492536   82276673    5380604   20091390   30521128 | 164671118 
       159 |  21977719    4085142   79495050    5252610   19375406   30576995 | 160762922 
       160 |  21657313    4372331   78954030    5568163   18938881   30717938 | 160208656 
       161 |  21550275    4558718   78094766    4961981   17903918   30592768 | 157662426 
       162 |  20466678    3785111   77221100    6536005   17434071   30505494 | 155948459 
       163 |  21983228    4315279   75468275    6971037   17772320   28041250 | 154551389 
       164 |  21583442    4249561   75351181    6038211   16898721   28367478 | 152488594 
       165 |  19684545    3220138   75176691    7832378   20017168   27575843 | 153506763 
       166 |  19325007    4218791   73650952    6507998   18641899   28327431 | 150672078 
       167 |  19850014    3674660   73912263    6846621   18625158   24809710 | 147718426 
       168 |  20515963    4182215   73389981    6652593   19469393   23919135 | 148129280 
       169 |  20970377    3333048   73541382    7596448   19233992   22565840 | 147241087 
       170 |  20832977    3402512   72564484    7372434   18892128   23470875 | 146535410 
       171 |  20590187    2880692   73382755    7668979   20264855   19872275 | 144659743 
       172 |  20442976    3585914   74044191    7779213   21360390   16780806 | 143993490 
       173 |  20273694    3179334   73837901    6839151   20500293   17698418 | 142328791 
       174 |  18702276    2716438   73830472    6977703   18928025   17314253 | 138469167 
       175 |  19496233    3143454   74447918    5372934   18915973   15056949 | 136433461 
       176 |  19513698    2210686   73571747    5581167   19055873   14375254 | 134308425 
       177 |  19669661    2508377   70461652    6285107   17910235   13801312 | 130636344 
       178 |  19245219    3424159   69415887    5281372   18856014   12268485 | 128491136 
       179 |  18112647    3568670   68490057    4112865   19495270   11877070 | 125656579 
       180 |  17599570    3202530   68443699    4429836   19425966   11142126 | 124243727 
       181 |  16102062    3389601   69785818    4654487   19097670   11443265 | 124472903 
       182 |  16760617    3278881   70222220    4249989   18158920   10724543 | 123395170 
       183 |  16592325    3821066   69432347    4025275   18067017    8970209 | 120908239 
       184 |  16576100    3646939   67008483    3412966   17661004    8927012 | 117232504 
       185 |  16859779    2783954   63557600    3948222   18780098    9477276 | 115406929 
       186 |  17481954    2830956   62946565    4207017   17230148    8523814 | 113220454 
       187 |  17553418    2589999   64440945    4384373   17967144    7751376 | 114687255 
       188 |  17287113    3232692   62820363    3492332   17586497    7510029 | 111929026 
       189 |  15714452    3001679   62300052    4092510   16752531    7891048 | 109752272 
       190 |  15756250    4232562   60248113    4139066   15510244    8054922 | 107941157 
       191 |  15283044    6738055   58439697    3231895   11808492    9739294 | 105240477 
       192 |  13833251    4398812   58533217    4234613   13362595    8862364 | 103224852 
       193 |  12869848    3836373   59331185    3772970   14016396    8928811 | 102755583 
       194 |  12273060    4813288   55923618    3548976   12900937    8736389 |  98196268 
       195 |  11574223    3637333   57414686    2998931   12746355    7143921 |  95515449 
       196 |  11060853    3224422   55234658    3262341   13390275    7992015 |  94164564 
       197 |  12319350    3639378   54388023    2425206   12341440    7214107 |  92327504 
       198 |  13379538    3435416   51543784    2724621   10775634    8519424 |  90378417 
       199 |  12406013    3795744   52590341    3431429   10159064    6502832 |  88885423 
       200 |  11762994    4927830   53914322    2502742    8971138    5659738 |  87738764 
       201 |  12058616    3725043   54721834    3130573    7219330    6393717 |  87249113 
-----------+------------------------------------------------------------------+----------
     Total |1546926114  284549526 5405892772  312156083 1494741182 1093232946 | 1.014e+10 

. log close
