
. tab ciclo state if father_15==0&age3040==1&husband==1 [fweight=facexp]

           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |   9634367    1917602   40159670   13872072    2822167 |  68405878 
       131 |  10803187    1828897   39439856   13737132    3196814 |  69005886 
       132 |  10116344    2200175   38900305   14820626    3077500 |  69114950 
       133 |  10197474    2337855   41807633   15559161    2530015 |  72432138 
       134 |  10491438    1790383   41579502   15759688    3204619 |  72825630 
       135 |  10092480    1725224   41844832   16497276    3710619 |  73870431 
       136 |  10534556    2191242   40091247   16202999    3702459 |  72722503 
       137 |  11651351    1928880   42543217   17129372    2922331 |  76175151 
       138 |  11436588    1768575   42995085   16717915    3620309 |  76538472 
       139 |  12530512    1877826   43356251   15796280    3588118 |  77148987 
       140 |  13439323    1919360   43656825   15144699    2940473 |  77100680 
       141 |  12896760    2617089   45578056   15206593    2860140 |  79158638 
       142 |  13222651    1834449   46486941   14661445    4151089 |  80356575 
       143 |  12991460    1759366   46612506   14740714    4719629 |  80823675 
       144 |  12832001    2742662   47015567   13814468    5440690 |  81845388 
       145 |  12463171    2288150   47378059   13257635    7968509 |  83355524 
       146 |  11926315    2192698   46063973   10426470   11091999 |  81701455 
       147 |  11380146    2360624   46130542   12978544   10839808 |  83689664 
       148 |  10943040    2822001   47505553   13390180   10191262 |  84852036 
       149 |  11489263    2272140   47853929   13142048   10856611 |  85613991 
       150 |  11269251    2256526   48833040   12695643   11351840 |  86406300 
       151 |  11457624    1854616   47077891   12269466   11838466 |  84498063 
       152 |  10565660    2066123   47566606   12740473   11165538 |  84104400 
       153 |  10774534    2141312   47531799   11902487   11515459 |  83865591 
       154 |   9569818    2191284   49957346   12503621   12833379 |  87055448 
       155 |   9262695    2074281   48539635   13406676   10950425 |  84233712 
       156 |   8073361    2131678   48239249   13397745   10864198 |  82706231 
       157 |   8098177    2202542   46568982   12609796   13532227 |  83011724 
       158 |   8771528    2555596   43110659   10582930   15002196 |  80022909 
       159 |   9105629    1828560   41355528   11748913   13217900 |  77256530 
       160 |   8666279    1885195   41422357   11885381   11624079 |  75483291 
       161 |   9010291    2588615   40645134   11694501   12078730 |  76017271 
       162 |   8906643    2201474   40622671    9889474   12530156 |  74150418 
       163 |   9729809    1832573   40797371   10960115   11163190 |  74483058 
       164 |   9850090    2148060   39994246   11327235   10967891 |  74287522 
       165 |   9104286    2169458   39514349   10834614   10549588 |  72172295 
       166 |   9253971    2943773   39528696   10167652   10899925 |  72794017 
       167 |   9440836    2019705   39083222   10906913   10295986 |  71746662 
       168 |   9136051    2190805   37527284   11314885    9758440 |  69927465 
       169 |   8813746    1948577   35483939   10897450    9877910 |  67021622 
       170 |   9297349    2407964   34543934   11299691    9177800 |  66726738 
       171 |   8857914    1567871   34761330   13096272    8902939 |  67186326 
       172 |   8286835    2028786   33595331   12305724    7140362 |  63357038 
       173 |   7890344    1710811   34019690   11287251    6843290 |  61751386 
       174 |   7545362    1532909   35567868   12247664    6560035 |  63453838 
       175 |   6845245    1671190   35466511   12151265    5855273 |  61989484 
       176 |   7098467    1847206   33637669   12085578    5779505 |  60448425 
       177 |   7290254    2064980   33776259   12349525    5566686 |  61047704 
       178 |   7817589    2224976   33407169   12180172    5362902 |  60992808 
       179 |   8906310    1574787   33957885   11274231    5650766 |  61363979 
       180 |   8746432    1994871   34608839   10927028    4714760 |  60991930 
       181 |   7913580    1773495   32843868   10229904    4801245 |  57562092 
       182 |   7669968    1758717   32992259    9789163    4799935 |  57010042 
       183 |   8346808    1783928   32937862   11202845    4732376 |  59003819 
       184 |   8696639    1679673   33545109   12053372    4767611 |  60742404 
       185 |   8256854    2124100   32682460   12149991    3642631 |  58856036 
       186 |   9216283    1912884   33094959   10733598    3647859 |  58605583 
       187 |   7696382    1616236   33971580   10289074    3742768 |  57316040 
       188 |   6631804    1967074   33988826   10299073    3334824 |  56221601 
       189 |   6352937    2294339   33949384    9972800    3259839 |  55829299 
       190 |   6107226    2224887   35162464    9931842    4070855 |  57497274 
       191 |   6203727    3339286   33505604    7805874    6066051 |  56920542 
       192 |   5599806    2114711   34032219    9155264    5323580 |  56225580 
       193 |   5917512    2371430   33865923    8772675    4366482 |  55294022 
       194 |   6509550    2245006   34259217    8296278    4495655 |  55805706 
       195 |   7313321    1988568   33121732    7068208    4143937 |  53635766 
       196 |   7227551    1585284   32443170    8671126    3009082 |  52936213 
       197 |   6985016    2822648   34282556    8579566    2392215 |  55062001 
       198 |   5914308    2585206   36400660    8440490    2553821 |  55894485 
       199 |   5448454    2815842   39904902    7970349    3278234 |  59417781 
       200 |   5856587    2935924   41187110    6196438    2706323 |  58882382 
       201 |   5700171    2924809   40399007    4920132    3743473 |  57687592 
-----------+-------------------------------------------------------+----------
     Total | 654079291  153096349 2846312909  850323750  489885798 |4993698097 

. log close
