
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |       722        619      2,000      1,052        472 |     4,865 
       131 |       693        569      2,034      1,102        439 |     4,837 
       132 |       705        614      1,999      1,074        345 |     4,737 
       133 |       719        567      1,942      1,105        394 |     4,727 
       134 |       749        580      2,007      1,131        400 |     4,867 
       135 |       805        647      2,092      1,197        386 |     5,127 
       136 |       746        669      2,126      1,205        350 |     5,096 
       137 |       771        674      2,171      1,228        359 |     5,203 
       138 |       776        690      2,270      1,228        415 |     5,379 
       139 |       776        669      2,329      1,318        378 |     5,470 
       140 |       818        723      2,301      1,261        365 |     5,468 
       141 |       819        664      2,307      1,211        417 |     5,418 
       142 |       812        650      2,320      1,154        463 |     5,399 
       143 |       807        660      2,397      1,145        523 |     5,532 
       144 |       772        677      2,367      1,072        551 |     5,439 
       145 |       759        678      2,283        979        728 |     5,427 
       146 |       687        691      2,278        835        924 |     5,415 
       147 |       649        668      2,297        842        974 |     5,430 
       148 |       699        765      2,399        925      1,026 |     5,814 
       149 |       651        774      2,390        905      1,057 |     5,777 
       150 |       649        735      2,382        878      1,153 |     5,797 
       151 |       619        699      2,338        877      1,163 |     5,696 
       152 |       633        722      2,268        902      1,152 |     5,677 
       153 |       642        723      2,235        862      1,186 |     5,648 
       154 |       622        692      2,215        862      1,232 |     5,623 
       155 |       640        693      2,193        908      1,225 |     5,659 
       156 |       622        641      2,135        920      1,233 |     5,551 
       157 |       615        640      2,061        859      1,292 |     5,467 
       158 |       614        682      2,116        773      1,461 |     5,646 
       159 |       636        670      2,158        792      1,565 |     5,821 
       160 |       640        701      2,122        803      1,559 |     5,825 
       161 |       643        703      2,029        751      1,692 |     5,818 
       162 |       655        745      2,005        693      1,786 |     5,884 
       163 |       647        768      1,968        779      1,702 |     5,864 
       164 |       646        694      1,943        795      1,662 |     5,740 
       165 |       613        681      1,868        752      1,698 |     5,612 
       166 |       625        736      1,929        720      1,721 |     5,731 
       167 |       621        668      1,994        810      1,629 |     5,722 
       168 |       631        660      1,982        924      1,496 |     5,693 
       169 |       682        632      1,952        854      1,523 |     5,643 
       170 |       631        640      1,944        845      1,528 |     5,588 
       171 |       594        624      1,928        949      1,381 |     5,476 
       172 |       602        625      1,898      1,003      1,231 |     5,359 
       173 |       570        633      1,897        965      1,200 |     5,265 
       174 |       576        591      1,854        899      1,229 |     5,149 
       175 |       580        614      1,850        932      1,144 |     5,120 
       176 |       564        598      1,827        948      1,120 |     5,057 
       177 |       567        579      1,858        963      1,086 |     5,053 
       178 |       577        594      1,888        902      1,081 |     5,042 
       179 |       579        639      1,901        966        942 |     5,027 
       180 |       582        621      1,889      1,011        842 |     4,945 
       181 |       578        620      1,906      1,023        866 |     4,993 
       182 |       572        633      1,920        979        895 |     4,999 
       183 |       568        613      2,001      1,051        769 |     5,002 
       184 |       550        619      1,943      1,069        777 |     4,958 
       185 |       560        634      1,979      1,009        794 |     4,976 
       186 |       574        673      2,006        947        760 |     4,960 
       187 |       560        645      1,978        956        691 |     4,830 
       188 |       550        655      2,000      1,029        683 |     4,917 
       189 |       529        649      2,008        977        683 |     4,846 
       190 |       518        663      1,950        851        683 |     4,665 
       191 |       487        768      1,803        669        690 |     4,417 
       192 |       504        636      1,804        756        730 |     4,430 
       193 |       536        607      1,833        822        756 |     4,554 
       194 |       496        625      1,794        712        707 |     4,334 
       195 |       498        538      1,745        775        662 |     4,218 
       196 |       450        493      1,714        768        571 |     3,996 
       197 |       477        535      1,649        759        536 |     3,956 
       198 |       450        515      1,734        688        528 |     3,915 
       199 |       441        507      1,757        594        512 |     3,811 
       200 |       438        438      1,862        548        465 |     3,751 
       201 |       417        458      1,912        472        481 |     3,740 
-----------+-------------------------------------------------------+----------
     Total |    44,805     46,415    146,234     66,320     67,119 |   370,893 
