
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |   7553121    6003111   21011787   11826867    5859502 |  52254388 
       131 |   7846789    5736079   24177283   13008777    4995919 |  55764847 
       132 |   7362167    6379576   24074280   12503607    3416266 |  53735896 
       133 |   8444334    6045671   22076656   13031998    4495263 |  54093922 
       134 |   7944432    6312201   23340752   13353352    4596653 |  55547390 
       135 |   8361553    5554761   24007119   14844513    4389723 |  57157669 
       136 |   8061420    6277061   23951109   14987495    4264733 |  57541818 
       137 |   7273946    6970598   24045825   13487473    3989005 |  55766847 
       138 |   7227194    6336067   22794889   13670587    5044039 |  55072776 
       139 |   7181573    5926198   24342435   15225305    4064900 |  56740411 
       140 |   7667448    6651366   24683329   14497454    3980575 |  57480172 
       141 |   7486343    6431310   24372211   13034881    4598474 |  55923219 
       142 |   7186186    6424059   25157682   12730106    5521865 |  57019898 
       143 |   8216320    7434603   25509360   11857489    5511764 |  58529536 
       144 |   8591888    7583000   25172044   11743273    6341698 |  59431903 
       145 |   7781220    8034345   25018726   10154542    8719828 |  59708661 
       146 |   7181188    7855034   24842652    8010207   11153155 |  59042236 
       147 |   6939330    7177823   24475532    8166506   11108866 |  57868057 
       148 |   7046336    7474253   25125725    8584557   10889507 |  59120378 
       149 |   5737655    7167825   24803878    9037424   11880245 |  58627027 
       150 |   6138153    7155039   24481004    9068743   11311442 |  58154381 
       151 |   6640394    6395287   25228116    9602354   12517296 |  60383447 
       152 |   6550500    6482793   24591901   10634312   13009435 |  61268941 
       153 |   6547001    6797991   23688201   10889331   12259645 |  60182169 
       154 |   7043176    6584376   22204242   10025077   12578179 |  58435050 
       155 |   7028221    6595686   23695030   10088883   13219065 |  60626885 
       156 |   6470670    5719107   22800726   11135087   12578456 |  58704046 
       157 |   6382178    5887315   23173715    9214946   13565337 |  58223491 
       158 |   6047775    6140165   23802189    8346240   14508285 |  58844654 
       159 |   6111840    6199714   23473205    9270590   14694724 |  59750073 
       160 |   7484918    6522421   25122394    7491576   14940052 |  61561361 
       161 |   8013770    6074425   23627292    7805047   15274440 |  60794974 
       162 |   8130314    6019417   24295351    8018801   16867937 |  63331820 
       163 |   7400590    6716268   23936884    7796288   16986910 |  62836940 
       164 |   7020025    5851924   25063710    8342441   15828883 |  62106983 
       165 |   6565091    6135860   24489431    9021460   15629792 |  61841634 
       166 |   7830332    6563640   22895435    8360398   16395837 |  62045642 
       167 |   6775963    6314729   24010711    8987774   16575484 |  62664661 
       168 |   6183480    6057851   24694793    8907354   15155364 |  60998842 
       169 |   7239261    5802866   23611747    8843363   15639432 |  61136669 
       170 |   5895491    6396667   23696585    8637265   16741938 |  61367946 
       171 |   6024417    6073133   23142920   11155548   15147366 |  61543384 
       172 |   6393628    6090606   22754066   11658170   14297061 |  61193531 
       173 |   6573805    5533261   23748377   11573590   12106288 |  59535321 
       174 |   6749625    5677265   24244066   10487610   12923981 |  60082547 
       175 |   6705706    6343195   24187218   10927322   11681959 |  59845400 
       176 |   6251030    5829569   24050437   11490375   12288252 |  59909663 
       177 |   6723186    5530773   24082912   11277119   11786022 |  59400012 
       178 |   6665743    5148153   24168116   10732813   12304551 |  59019376 
       179 |   6817990    6468743   24309423   11181462    9849832 |  58627450 
       180 |   6778275    5815552   23779850   11327113    9663086 |  57363876 
       181 |   7329832    6255026   24333243   10626272    9014180 |  57558553 
       182 |   7086962    6707205   23178687   10789472   10402496 |  58164822 
       183 |   6903379    5873370   23391132   11564507    8771861 |  56504249 
       184 |   7075244    5551773   22399096   11887368    8349815 |  55263296 
       185 |   6900471    5811215   23138256   11279043    8598960 |  55727945 
       186 |   6654392    6676304   24724752   10647275    7852064 |  56554787 
       187 |   6062731    6189977   26015099    9193063    7748597 |  55209467 
       188 |   5555811    7225111   25091899    9941300    6583064 |  54397185 
       189 |   5242274    7187370   25544179    9190679    7244331 |  54408833 
       190 |   5347682    6287551   25575299    9243723    7488407 |  53942662 
       191 |   5757406    8643830   23768052    7351917    8435380 |  53956585 
       192 |   6770482    7097441   24864377    8038905    8625282 |  55396487 
       193 |   6354363    5949287   23457561    8086154   10190050 |  54037415 
       194 |   6365878    7343767   23663585    8515333    8977349 |  54865912 
       195 |   6698984    6814489   23293965    9429747   10016387 |  56253572 
       196 |   6240671    5873857   25106189   11226583    7593276 |  56040576 
       197 |   6909201    6544197   25216876    9184243    6755231 |  54609748 
       198 |   7826577    7163902   26965695    8368063    6266037 |  56590274 
       199 |   7459511    6723686   25415054    7851431    7585067 |  55034749 
       200 |   7061693    5367423   26759663    7097912    6423540 |  52710231 
       201 |   5811315    5566982   28535229    6335145    6897214 |  53145885 
-----------+-------------------------------------------------------+----------
     Total | 497687850  461552495 1744471209  741903000  722966899 |4168581453 
