
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |  38374940  252767237  163259481  100583231   48035252 | 603020141 
       131 |  38230857  250485318  166671520  108248136   42088090 | 605723921 
       132 |  37598121  249740312  164204435  116157471   38936160 | 606636499 
       133 |  36839651  245509529  169421221  110021009   40842375 | 602633785 
       134 |  36591651  244760191  171419928  111118439   41649838 | 605540047 
       135 |  37997182  245275770  170403650  116338466   39304995 | 609320063 
       136 |  36997328  245777769  171284305  119578818   38573113 | 612211333 
       137 |  39036269  243951546  174513850  115349833   38316872 | 611168370 
       138 |  37793541  248278610  183318184  105240736   38366372 | 612997443 
       139 |  38708314  245479384  187704577  107111477   36038017 | 615041769 
       140 |  39402717  242629732  187623260  111417548   35133119 | 616206376 
       141 |  38001024  246058862  187434358  105670431   37497051 | 614661726 
       142 |  37625544  246596815  189818196  100503093   40734266 | 615277914 
       143 |  37703494  245544491  194252632  101987362   39474634 | 618962613 
       144 |  38786035  241565048  190105633  105644457   42884444 | 618985617 
       145 |  39585419  238825348  192934281   95876230   50570541 | 617791819 
       146 |  34721408  237564996  196102072   85697734   65174318 | 619260528 
       147 |  34885001  237144364  197948877   84331991   64956562 | 619266795 
       148 |  35866847  235444653  191712888   87044810   66793881 | 616863079 
       149 |  35915777  236057014  191374873   82642127   69311810 | 615301601 
       150 |  35722427  235151376  191670764   76858824   72036890 | 611440281 
       151 |  33479453  235875083  189867895   80429071   73524303 | 613175805 
       152 |  33158573  228354793  188538046   84319929   77372504 | 611743845 
       153 |  33081183  230757892  190255205   78912845   76182430 | 609189555 
       154 |  33744754  231693919  187607620   77203447   79200328 | 609450068 
       155 |  34544281  226751164  194393003   81372877   77824349 | 614885674 
       156 |  34907579  223799523  189830532   81519104   83427135 | 613483873 
       157 |  34127147  229063831  185424348   76753443   88286176 | 613654945 
       158 |  34575200  228969940  186361738   71373659   94175179 | 615455716 
       159 |  34040464  223761967  186779020   71861692   96824068 | 613267211 
       160 |  35313329  221428385  184083342   73847188  101017915 | 615690159 
       161 |  33771190  224916413  181336674   67370727  103819994 | 611214998 
       162 |  32670180  224808169  179304796   65817291  108810205 | 611410641 
       163 |  34315551  228119655  177651335   65316067  104869019 | 610271627 
       164 |  34672611  223902046  177012384   69313065  104756174 | 609656280 
       165 |  34978197  226171065  176398783   67789423  104643956 | 609981424 
       166 |  34109761  226338700  175937637   66465188  106890929 | 609742215 
       167 |  34949551  223641326  177743878   70387469  104897959 | 611620183 
       168 |  36021793  221284474  179402529   73970397  101420549 | 612099742 
       169 |  36788382  219588967  183928424   72236875  100667524 | 613210172 
       170 |  35745256  224661470  185001600   70290477   98020767 | 613719570 
       171 |  36615163  219813673  186803633   74410687   96440927 | 614084083 
       172 |  36720864  219011407  187955098   78412851   95984613 | 618084833 
       173 |  35925829  220859817  192827540   78758873   91908865 | 620280924 
       174 |  36341003  222095902  192763532   75915247   94049867 | 621165551 
       175 |  36645667  220158646  192919863   81963133   92213071 | 623900380 
       176 |  36635968  215479753  195271981   86820298   88792080 | 623000080 
       177 |  36501359  220828921  195045038   86815238   84670079 | 623860635 
       178 |  35896832  223894799  196534235   84881505   83164209 | 624371580 
       179 |  34689088  221339523  198026556   91153292   79740058 | 624948517 
       180 |  35980113  218691593  196622550   95140536   77863552 | 624298344 
       181 |  34953028  222764438  201675441   89660433   77403259 | 626456599 
       182 |  34890514  228169877  197700772   89399322   78788409 | 628948894 
       183 |  36601178  224958124  202441354   93993313   73180003 | 631173972 
       184 |  37109595  225765152  202055374   97400305   71337922 | 633668348 
       185 |  36087746  227964592  207466009   92585968   72216053 | 636320368 
       186 |  37425623  229143491  211528246   90717238   72137956 | 640952554 
       187 |  38417267  227579067  215868488   93800272   68973404 | 644638498 
       188 |  37658182  227652626  216265671   99311770   73301821 | 654190070 
       189 |  39193503  226856610  223131967  100773496   69820401 | 659775977 
       190 |  39687208  231360298  225056053   93635829   74815382 | 664554770 
       191 |  38890461  258335283  219125875   77582411   74989621 | 668923651 
       192 |  39196411  236984825  219565243   89450306   89430137 | 674626922 
       193 |  39070306  230696916  223978944   95408517   87886515 | 677041198 
       194 |  36806209  233996550  223228606   93157323   88895801 | 676084489 
       195 |  38423436  224929627  228440803  105658752   87151137 | 684603755 
       196 |  39951799  220276303  232574093  111805991   86205433 | 690813619 
       197 |  40859297  225659115  237944587  109606468   75788999 | 689858466 
       198 |  41139989  226079106  243645456  105148096   76230295 | 692242942 
       199 |  41051489  221739671  255781302  103435298   70134617 | 692142377 
       200 |  41414738  224817775  261583360   93172683   73027544 | 694016100 
       201 |  41881433  227462002  264869799   87918069   74461396 | 696592699 
-----------+-------------------------------------------------------+----------
     Total |2648039280  1.664e+10  1.416e+10 6461865977 5374353489 | 4.529e+10 
