
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |        59        172        375        162         74 |       842 
       131 |        64        159        418        163         75 |       879 
       132 |        69        140        402        166         73 |       850 
       133 |        60        123        412        164         77 |       836 
       134 |        66        138        423        184         75 |       886 
       135 |        75        149        436        216         69 |       945 
       136 |        76        137        431        225         63 |       932 
       137 |        89        124        427        226         65 |       931 
       138 |        89        147        460        193         72 |       961 
       139 |        89        139        472        213         68 |       981 
       140 |        82        129        458        217         55 |       941 
       141 |        77        130        446        196         57 |       906 
       142 |        76        118        432        211         80 |       917 
       143 |        78        131        434        189         65 |       897 
       144 |        89        143        442        190         61 |       925 
       145 |        89        120        456        196         83 |       944 
       146 |        75        127        480        179        113 |       974 
       147 |        73        129        473        178        124 |       977 
       148 |        77        135        500        194        118 |     1,024 
       149 |        75        139        504        184        144 |     1,046 
       150 |        74        132        532        160        145 |     1,043 
       151 |        67        115        507        175        138 |     1,002 
       152 |        67        122        484        176        154 |     1,003 
       153 |        69        120        493        172        146 |     1,000 
       154 |        79        116        503        184        161 |     1,043 
       155 |        94        113        531        189        146 |     1,073 
       156 |        86        117        538        177        156 |     1,074 
       157 |        84        115        503        175        206 |     1,083 
       158 |        76        128        520        169        203 |     1,096 
       159 |        75        127        501        176        191 |     1,070 
       160 |        63        132        500        181        203 |     1,079 
       161 |        66        142        484        153        231 |     1,076 
       162 |        68        143        502        164        248 |     1,125 
       163 |        64        150        498        155        244 |     1,111 
       164 |        72        134        488        162        245 |     1,101 
       165 |        73        154        482        166        243 |     1,118 
       166 |        66        153        483        172        247 |     1,121 
       167 |        81        139        479        202        229 |     1,130 
       168 |        74        139        453        189        221 |     1,076 
       169 |        73        117        434        172        252 |     1,048 
       170 |        69        126        427        169        232 |     1,023 
       171 |        63        119        449        172        222 |     1,025 
       172 |        70        119        468        180        181 |     1,018 
       173 |        69        118        456        202        180 |     1,025 
       174 |        62        129        459        211        200 |     1,061 
       175 |        63        119        441        219        200 |     1,042 
       176 |        66        123        437        214        178 |     1,018 
       177 |        67        112        459        218        175 |     1,031 
       178 |        61        104        463        198        187 |     1,013 
       179 |        62        100        433        222        162 |       979 
       180 |        56        110        432        214        126 |       938 
       181 |        43        113        421        198        158 |       933 
       182 |        56        115        404        204        142 |       921 
       183 |        54        110        415        212        142 |       933 
       184 |        51        109        388        214        143 |       905 
       185 |        61        119        409        204        134 |       927 
       186 |        65        106        410        198        136 |       915 
       187 |        75        113        410        201        112 |       911 
       188 |        72        133        411        195        111 |       922 
       189 |        82        108        430        198        116 |       934 
       190 |        74        133        409        163        115 |       894 
       191 |        67        158        355        127        117 |       824 
       192 |        63        115        374        156        146 |       854 
       193 |        55        129        376        178        127 |       865 
       194 |        51        119        357        163        125 |       815 
       195 |        56        101        332        174         98 |       761 
       196 |        51         98        340        182         78 |       749 
       197 |        47         88        343        163         80 |       721 
       198 |        55         82        367        153         94 |       751 
       199 |        57         81        339        130         77 |       684 
       200 |        57         77        337        135         68 |       674 
       201 |        53         66        334        119         82 |       654 
-----------+-------------------------------------------------------+----------
     Total |     4,951      8,889     31,681     13,201     10,064 |    68,786 
