
. tab ciclo act1 [fweight=facexp] if sexo1==0&state=="T"&age3040&husband==1

           |                                     act1
     ciclo |         0          1          2          3          4          5          6 |     Total
-----------+-----------------------------------------------------------------------------+----------
       130 |   2437021    1723396    3089829    1643298   16556216    4540284    2660566 |  40306035 
       131 |   2687632    1646163    3329986    1710738   17450276    5633634    2483343 |  43539375 
       132 |   3364712    1990725    3662824    1676364   19025806    6071933    2585342 |  46516793 
       133 |   3350855    2702921    3483146    1684706   19498870    6716927    2966613 |  48222222 
       134 |   2633476    2547429    3856208    2708221   21754519    5315339    2992360 |  49167530 
       135 |   2644308    2144734    4201981    2751366   22331002    5688909    2670262 |  50487300 
       136 |   2167286    2003142    3917983    2699027   22108566    5707611    2571002 |  49848745 
       137 |   2897059    1783550    3847881    2583517   22866697    6054324    2816132 |  51452783 
       138 |   2605483    2068556    3873461    2361416   23047436    4106086    2817473 |  48734098 
       139 |   2025617    1672223    3481563    2152916   22351786    4454109    3107977 |  47234450 
       140 |   2667764    1960906    3375813    1809176   21242451    5128239    3179653 |  46805464 
       141 |   3111993    2132500    2466552    2031682   21406970    4596768    3276917 |  46398209 
       142 |   3143906    1815223    3598090    2390107   21050261    4036208    2811110 |  45800807 
       143 |   2710487    1908957    3247228    2597175   19598456    4748834    3554877 |  45518176 
       144 |   2701722    1647870    3372308    2391382   17475061    3823789    3658322 |  42605472 
       145 |   2999791    1447272    3281944    1895296   16266314    4048781    3907574 |  41667025 
       146 |   2726948    1386638    2538738    1600061   13001588    3804601    2995248 |  36434760 
       147 |   2728455     886669    2631211    1561456   13935144    4325680    3056120 |  38933918 
       148 |   2647878     873122    2816704    1316787   14602020    4402088    2772352 |  38981319 
       149 |   2904671    1250948    2291119    1694390   13698673    4178737    3343324 |  38231316 
       150 |   2510106    1316777    2096171    1590678   12413200    4457802    3478264 |  38077494 
       151 |   2947892    1372334    2554212    1323029   11972192    4815683    2945256 |  37225311 
       152 |   3011676    1095479    2608660    1403501   12325820    5227962    2686615 |  37464219 
       153 |   3658768    1785175    2459787    1189151   10745012    4807467    3063854 |  36309805 
       154 |   3873641    1463878    2671144    1728695   11403085    4821136    3518633 |  38215672 
       155 |   3217611    1561664    2375297    2127148   10328038    5379327    3575603 |  38593977 
       156 |   2830707    1283163    2227285    2430808    9197331    6594130    3608617 |  39088891 
