
. tab ciclo if husband==1&father_10==1&age3040==1 [fweight=facexp], sum(ten_y )

            |                Summary of ten_y
      ciclo |        Mean   Std. dev.       Freq.         Obs
------------+------------------------------------------------
        130 |   7.3250284   5.9051412   147232304   147232304
        131 |   7.0434038   5.7586887   146711062   146711062
        132 |   6.9413443   5.7315531   150764173   150764173
        133 |   6.8775707   5.7256837   152557453   152557453
        134 |   6.8934042   5.8131254   151377436   151377436
        135 |   6.8383524   5.8351597   150106225   150106225
        136 |   6.9276148   5.8656007   150478158   150478158
        137 |   6.8643651   5.8028969   150100141   150100141
        138 |   6.8090617   5.8211646   150679590   150679590
        139 |   6.7268785   5.6942494   152266485   152266485
        140 |   6.6819103   5.6129836   154128275   154128275
        141 |   6.5629372   5.5740062   155283080   155283080
        142 |   6.6471032   5.6013711   154585866   154585866
        143 |   6.6382822    5.592962   151139844   151139844
        144 |    6.622793   5.5934179   151187547   151187547
        145 |   6.5169904   5.5031477   149074478   149074478
        146 |   6.7589315   5.5425971   142138650   142138650
        147 |   6.8938705   5.5907568   140179702   140179702
        148 |   6.8614409   5.5092247   137426758   137426758
        149 |     7.05253   5.5449051   137883878   137883878
        150 |   7.1296285   5.5505173   136246452   136246452
        151 |   7.1767309   5.5795246   137556713   137556713
        152 |   7.2303548   5.5692941   136472567   136472567
        153 |    7.383484   5.5962859   136485110   136485110
        154 |   7.3662566   5.6485693   133723525   133723525
        155 |   7.2595805   5.5488618   133342936   133342936
        156 |    7.172902    5.484139   132744409   132744409
        157 |   7.1500057   5.4136773   131145623   131145623
        158 |   7.3092706   5.4127428   129657454   129657454
        159 |   7.2184396   5.2957867   126202520   126202520
        160 |   7.5090063   5.3090061   125198416   125198416
        161 |   7.6288167   5.2674976   122510940   122510940
        162 |   7.6899656    5.336014   121735379   121735379
        163 |   7.4559827   5.4192851   122274677   122274677
        164 |   7.4852946   5.4890966   119885571   119885571
        165 |   7.1531324   5.5018505   122783808   122783808
        166 |   7.1652266   5.5448743   118125856   118125856
        167 |   7.0929624   5.5206104   119234056   119234056
        168 |   7.1593177   5.5249704   119995672   119995672
        169 |   7.0976789   5.5202236   121315808   121315808
        170 |    7.153013   5.4801188   119662023   119662023
        171 |   7.1262955   5.5386958   121906776   121906776
        172 |    7.062053   5.4787786   123653488   123653488
        173 |   7.3314196   5.5580544   121488704   121488704
        174 |   7.3809753   5.6031326   118486484   118486484
        175 |   7.2597659    5.577067   118286366   118286366
        176 |   7.2480024    5.536171   117766136   117766136
        177 |   7.2164024   5.4890507   114326655   114326655
        178 |   7.2803174   5.5528801   112798492   112798492
        179 |   7.1741658   5.5407687   110177617   110177617
        180 |   7.1076481   5.4941609   109862808   109862808
        181 |   7.1926556   5.4749573   109698835   109698835
        182 |   7.3289114   5.6478714   109442524   109442524
        183 |   7.2426563   5.6927546   108164167   108164167
        184 |   7.2280411   5.7176822   104720732   104720732
        185 |   7.1205416    5.743779   103145699   103145699
        186 |   7.2039984   5.7337187   101865684   101865684
        187 |   6.9339633   5.6710651   104363736   104363736
        188 |   6.8650911   5.6598764   101210177   101210177
        189 |   6.6983099   5.5677018    98884614    98884614
        190 |   6.9674991   5.6249295    95660743    95660743
        191 |   7.2766799   5.5286434    88790293    88790293
        192 |   7.1035114   5.5660388    89995226    89995226
        193 |   7.1227288   5.6323732    90003161    90003161
        194 |   7.3962673   5.7926486    84602835    84602835
        195 |   7.4061798   5.7823397    84768124    84768124
        196 |   7.2440785   5.8278442    82977767    82977767
        197 |   7.2949332   5.8537515    81431142    81431142
        198 |   7.3017461   5.8258256    78470375    78470375
        199 |   6.9480977   5.6724906    78586847    78586847
        200 |    6.904271   5.6210456    77200408    77200408
        201 |   6.8769965   5.6358765    77175558    77175558
------------+------------------------------------------------
      Total |   7.0831182   5.6074216  8761512793 -2147483648

. log close
