
. tab ciclo if husband==1&father_10==0&age3040==1 [fweight=facexp], sum(ten_y )

            |                Summary of ten_y
      ciclo |        Mean   Std. dev.       Freq.         Obs
------------+------------------------------------------------
        130 |   5.7171641   5.0036708    65399543    65399543
        131 |   5.6239378   4.9594081    66319846    66319846
        132 |   5.6244803   5.0018946    65497324    65497324
        133 |   5.7663662    5.124257    69395508    69395508
        134 |   5.8666135   5.1978178    69447191    69447191
        135 |   5.9151024   5.1884438    70261211    70261211
        136 |   5.7022442   5.1929978    68854628    68854628
        137 |   5.6549549   5.0030594    73454679    73454679
        138 |   5.6861773   5.0646012    73352839    73352839
        139 |   5.7826876   5.1079368    73991510    73991510
        140 |   5.7141267   5.1005749    74631925    74631925
        141 |   5.4862354   4.9327785    75930650    75930650
        142 |   5.5165521   4.8721044    76498339    76498339
        143 |   5.5025368   4.9489498    76548749    76548749
        144 |   5.5902352   4.8897847    75665146    75665146
        145 |   5.7094246   4.7660244    74916180    74916180
        146 |   5.7913502   4.8020527    70015256    70015256
        147 |   5.8997181   4.8866706    72698233    72698233
        148 |   5.8797077    4.917698    74296402    74296402
        149 |   5.9597228    4.793451    74805735    74805735
        150 |   5.9595408   4.7563496    74630953    74630953
        151 |   5.9835956   4.6536374    72598816    72598816
        152 |    5.857932   4.5894787    73121406    73121406
        153 |   5.9123556   4.6029246    72351405    72351405
        154 |   6.0379708   4.5874526    73670028    73670028
        155 |   6.0035462   4.7437654    72966729    72966729
        156 |    6.112437   4.7979958    71553165    71553165
        157 |   6.3739125   4.7938876    69372149    69372149
        158 |   6.3753884   4.7800457    63974854    63974854
        159 |   6.4405366   4.8602864    63681540    63681540
        160 |   6.5094844   5.0326457    63431743    63431743
        161 |   6.4415155   4.9308044    63005816    63005816
        162 |   6.5967931   4.7675951    61042965    61042965
        163 |   6.5643817   4.7613177    62986280    62986280
        164 |   6.3743581   4.7418637    63097095    63097095
        165 |   6.4378682   4.7579618    61554511    61554511
        166 |   6.3074578   4.7437299    61379160    61379160
        167 |   6.1839138    4.767917    61742249    61742249
        168 |   6.2146343   4.7565852    60365937    60365937
        169 |   6.2829365   4.8351251    57751295    57751295
        170 |   6.3802543   4.9725127    57516011    57516011
        171 |   6.1830957   5.0052273    58804920    58804920
        172 |   6.2209602    5.004253    56032165    56032165
        173 |   6.0212247   4.9278733    54785091    54785091
        174 |   6.0568554   4.9980717    57083119    57083119
        175 |   6.1701656   5.0744384    56335483    56335483
        176 |   6.2046079   5.0265693    54808603    54808603
        177 |   6.1049214   5.0643165    55631482    55631482
        178 |   5.9586806   5.1007554    56083838    56083838
        179 |   6.1300264   5.1608397    56909303    56909303
        180 |   6.1161472   5.1349709    57292071    57292071
        181 |   5.9868493   5.0629694    53375186    53375186
        182 |   6.2183703   5.2050015    52911047    52911047
        183 |   6.0261063   5.1945088    54650039    54650039
        184 |   5.9829113   5.2413184    56772022    56772022
        185 |   5.8730008   5.1972026    55396420    55396420
        186 |   6.0220299   5.2603169    55882702    55882702
        187 |   5.9895476   5.2166609    54756054    54756054
        188 |   5.9665812   5.1882174    53626065    53626065
        189 |   5.7807394   5.0240888    52712172    52712172
        190 |   5.7730855   5.1147931    53594693    53594693
        191 |   5.6438232   4.9994712    49665692    49665692
        192 |    5.484496   5.0135327    50802503    50802503
        193 |   5.7638016    5.055476    50539312    50539312
        194 |   5.9509111   5.0012677    51871385    51871385
        195 |   6.3597791    5.120459    50554287    50554287
        196 |   5.8983718   5.0461633    51339449    51339449
        197 |   5.9896939   5.1345085    52682222    52682222
        198 |   5.8411068   5.2314399    54377149    54377149
        199 |   5.8599191   5.2624874    56869847    56869847
        200 |   5.8874572   5.0696591    56699103    56699103
        201 |   5.8448677   4.9769191    54460838    54460838
------------+------------------------------------------------
      Total |   5.9764534   4.9727433  4511079263 -2147483648

. log close
