
. gstats tab employed permanent temporary self_emp erte unemployed inactive occ_0 occ_1 occ_2 occ_3 occ_4 occ_5
>  occ_6 occ_7 occ_8 occ_9 act_0 act_1 act_2 act_3 act_4 act_5 act_6 act_7 act_8 act_9 tenure [pw=factorel] if 
> mother_20==0&wife==1&age3040==1, s(mean n semean) format(%12.0g)

     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .7211290659   45206447.56   .0000666973
    permanent |    .5293053989   45206447.56   .0000742374
    temporary |    .1918236669   45206447.56   .0000585604
     self_emp |    .0710582904   45206447.56   .0000382121
         erte |    .0026973166   45206447.56   7.71399e-06
   unemployed |     .115890947   45206447.56   .0000476077
     inactive |    .0919216967   45206447.56   .0000429705
        occ_0 |    .0015726378   45206447.56   5.89349e-06
        occ_1 |     .031477536   45206447.56    .000025969
        occ_2 |    .2421690022   45206447.56   .0000637155
        occ_3 |    .1241350961   45206447.56   .0000490417
        occ_4 |    .1495744058   45206447.56   .0000530453
        occ_5 |     .216935735   45206447.56   .0000613005
        occ_6 |    .0023003006   45206447.56   7.12512e-06
        occ_7 |    .0143559666   45206447.56    .000017692
        occ_8 |     .021400807   45206447.56   .0000215237
        occ_9 |     .093693856   45206447.56   .0000433404
        act_0 |    .0135375729   45206447.56   .0000171874
        act_1 |    .0349010014   45206447.56   .0000272964
        act_2 |    .0287882822   45206447.56   .0000248694
        act_3 |    .0250261472   45206447.56   .0000232324
        act_4 |    .0171788424   45206447.56   .0000193256
        act_5 |    .2362651785   45206447.56   .0000631787
        act_6 |    .0515016801   45206447.56   .0000328722
        act_7 |    .1571193162   45206447.56    .000054125
        act_8 |    .2422572598   45206447.56   .0000637234
        act_9 |    .0910400625   45206447.56   .0000427847
       tenure |     62.9954739   35811976.18   .0088270851
----------------------------------------------------------

. log close
