
     variable |           mean             n        semean
----------------------------------------------------------
     employed |    .7489751851    2313351.89    .000285083
    permanent |    .5354832593    2313351.89   .0003279087
    temporary |    .2134919258    2313351.89   .0002694149
     self_emp |    .0702544609    2313351.89   .0001680344
         erte |              0    2313351.89             0
   unemployed |    .0923888281    2313351.89   .0001903877
     inactive |    .0883815259    2313351.89   .0001866236
        occ_0 |    .0021488603    2313351.89    .000030445
        occ_1 |    .0206694624    2313351.89   .0000935424
        occ_2 |    .3021409034    2313351.89   .0003019033
        occ_3 |    .1163543476    2313351.89   .0002108189
        occ_4 |    .1363928598    2313351.89   .0002256489
        occ_5 |    .2292029035    2313351.89   .0002763499
        occ_6 |    .0017837105    2313351.89    .000027743
        occ_7 |    .0121009433    2313351.89   .0000718861
        occ_8 |    .0136537766    2313351.89   .0000762993
        occ_9 |    .0831973254    2313351.89   .0001815816
        act_0 |    .0185352216    2313351.89   .0000886779
        act_1 |    .0321133807    2313351.89   .0001159136
        act_2 |    .0365829169    2313351.89   .0001234314
        act_3 |     .022347655    2313351.89   .0000971824
        act_4 |    .0107723257    2313351.89   .0000678707
        act_5 |    .2466181096    2313351.89   .0002833997
        act_6 |    .0546276857    2313351.89   .0001494126
        act_7 |     .155959334    2313351.89    .000238543
        act_8 |    .2522476034    2313351.89   .0002855431
        act_9 |    .0878408602    2313351.89   .0001861071
       tenure |    62.22088598    1895166.45   .0401435691
----------------------------------------------------------
