
. gstats tab employed permanent temporary self_emp erte unemployed inactive occ_0 occ_1 occ_2 occ_3 occ_4 occ_5
>  occ_6 occ_7 occ_8 occ_9 act_0 act_1 act_2 act_3 act_4 act_5 act_6 act_7 act_8 act_9 tenure if mother_20==0&w
> ife==1&age3040==1, s(mean n semean) format(%12.0g)

     variable |           mean        n        semean
-----------------------------------------------------
     employed |    .7161005793  106,344   .0013826581
    permanent |    .5177254946  106,344   .0015322953
    temporary |    .1983750846  106,344   .0012228543
     self_emp |    .0743154292  106,344   .0008042972
         erte |    .0022850372  106,344   .0001464183
   unemployed |     .116640337  106,344   .0009843254
     inactive |    .0929436546  106,344   .0008903742
        occ_0 |    .0014763409  106,344   .0001177384
        occ_1 |     .030589408  106,344   .0005280621
        occ_2 |    .2397596479  106,344   .0013092092
        occ_3 |    .1242759347  106,344   .0010116323
        occ_4 |    .1476058828  106,344   .0010877212
        occ_5 |     .224751749  106,344   .0012800221
        occ_6 |    .0028116302  106,344   .0001623728
        occ_7 |    .0165594674  106,344   .0003913297
        occ_8 |     .023518017  106,344   .0004647057
        occ_9 |    .0860885428  106,344   .0008601423
        act_0 |    .0140769578  106,344   .0003612613
        act_1 |    .0382344091  106,344   .0005880407
        act_2 |    .0280316708  106,344   .0005061696
        act_3 |    .0244207478  106,344   .0004733216
        act_4 |    .0179699842  106,344   .0004073632
        act_5 |    .2370326488  106,344   .0013040751
        act_6 |    .0452305725  106,344   .0006372515
        act_7 |     .144380501  106,344   .0010778049
        act_8 |     .262139848  106,344   .0013486495
        act_9 |    .0859192808  106,344   .0008593758
       tenure |    65.93020129   84,056     .18582664
-----------------------------------------------------

. log close
