
           |                woman_status
     ciclo | couple ..  couple ..      other     single |     Total
-----------+--------------------------------------------+----------
       130 |  80229945  302106201   38096873  103392741 | 523825760 
       131 |  80464504  302379938   38031408  106335952 | 527211802 
       132 |  80407469  306441702   37465245  105720873 | 530035289 
       133 |  82677375  309872090   35188523  105306579 | 533044567 
       134 |  82334173  310359763   34888839  108418073 | 536000848 
       135 |  83362639  309418167   35113419  111396713 | 539290938 
       136 |  83484210  310567522   35976822  112870807 | 542899361 
       137 |  87442324  310484837   37780994  111025311 | 546733466 
       138 |  86139531  312567446   40132791  111813121 | 550652889 
       139 |  89031592  311727295   39705631  113757903 | 554222421 
       140 |  88294655  315198195   41074831  113195107 | 557762788 
       141 |  90574334  317131500   40928465  112778397 | 561412696 
       142 |  93071692  319161740   39804513  112090041 | 564127986 
       143 |  91744142  322538563   39327054  113064408 | 566674167 
       144 |  94085203  323122221   38223854  113584496 | 569015774 
       145 |  94960211  325127621   38284693  112793831 | 571166356 
       146 |  95191040  324570833   37090430  115614222 | 572466525 
       147 |  92711260  327395019   37606466  115568200 | 573280945 
       148 |  93987905  324750952   41806883  113313306 | 573859046 
       149 |  96170636  325511530   41455133  111205143 | 574342442 
       150 |  97566401  325627969   42044358  109448880 | 574687608 
       151 |  94242927  326173554   43256715  111281478 | 574954674 
       152 |  94139538  326992270   43051272  111017759 | 575200839 
       153 |  96062999  325419243   43319725  110552871 | 575354838 
       154 |  97591824  323447968   43350656  110805443 | 575195891 
       155 |  97829420  320935488   43452970  112773745 | 574991623 
       156 |  96927044  322186844   43624248  111914254 | 574652390 
       157 |  99676830  324159998   43168829  107315758 | 574321415 
       158 |  98861828  322969609   44467836  106990297 | 573289570 
       159 |  96280170  320249488   45584978  106143744 | 568258380 
       160 |  95322590  319609655   46184020  108695773 | 569812038 
       161 |  97031649  316704843   48420961  105943160 | 568100613 
       162 |  94463543  313723328   49610911  107984062 | 565781844 
       163 |  94054061  311633447   49379935  108211442 | 563278885 
       164 |  93436801  309767100   50253240  106543444 | 560000585 
       165 |  90487520  309775784   51386499  105424627 | 557074430 
       166 |  90483662  306556210   52839934  104107806 | 553987612 
       167 |  90333564  304047333   51862304  106015763 | 552258964 
       168 |  89539556  306099317   50348379  103927155 | 549914407 
       169 |  87521959  307356382   48530124  104457859 | 547866324 
       170 |  85647268  306318125   48863440  104711364 | 545540197 
       171 |  86394180  304649686   47845418  104191368 | 543080652 
       172 |  83604990  301302279   48161093  107338928 | 540407290 
       173 |  82914630  298645093   48025075  107655787 | 537240585 
       174 |  83947376  295091069   47820058  107715436 | 534573939 
       175 |  81989880  293822753   48845734  107010645 | 531669012 
       176 |  83683846  291589658   48197238  105381018 | 528851760 
       177 |  86723542  288261622   47541515  103842199 | 526368878 
       178 |  85456491  286518980   49355276  102448247 | 523778994 
       179 |  84748161  283582919   49502186  103284522 | 521117788 
       180 |  84102756  282675085   49599934  102317251 | 518695026 
       181 |  82945144  283901391   47944525  102035480 | 516826540 
       182 |  80536654  284598415   47520644  102104180 | 514759893 
       183 |  80082308  281352644   48158299  103204750 | 512798001 
       184 |  83889731  278597945   46335868  102236542 | 511060086 
       185 |  84170653  278088173   46510137  100781487 | 509550450 
       186 |  84100455  276139225   45235662  102178540 | 507653882 
       187 |  82951628  275351228   44641239  102743321 | 505687416 
       188 |  83114490  270555790   44499114  105723468 | 503892862 
       189 |  84021122  268590298   44878832  104604191 | 502094443 
       190 |  81950661  266483839   44203026  107464424 | 500101950 
       191 |  82167026  262618614   46058537  106697202 | 497541379 
       192 |  79233178  258021225   46664845  110774708 | 494693956 
       193 |  77593499  257650584   48790512  107716023 | 491750618 
       194 |  77512932  254573303   49318877  106797465 | 488202577 
       195 |  75557183  251948217   46974026  109746386 | 484225812 
       196 |  75874699  250178656   44900238  109665496 | 480619089 
       197 |  77933522  246853768   43116370  109894243 | 477797903 
       198 |  81451400  240611452   43155025  109682740 | 474900617 
       199 |  85141017  236533023   43468161  107961576 | 473103777 
       200 |  85667329  232708123   45944851  108052182 | 472372485 
       201 |  84715728  232089615   45553319  109279152 | 471637814 
-----------+--------------------------------------------+----------
     Total |6298042205  2.137e+10 3199749835 7768040865 | 3.864e+10 
