
           |                woman_status
     ciclo | couple_0k   couple_k      other     single |     Total
-----------+--------------------------------------------+----------
       130 |       492      4,058        578        831 |     5,959 
       131 |       481      4,076        564        872 |     5,993 
       132 |       474      4,014        539        838 |     5,865 
       133 |       477      4,019        525        828 |     5,849 
       134 |       539      4,068        518        875 |     6,000 
       135 |       550      4,161        537        934 |     6,182 
       136 |       551      4,030        540        922 |     6,043 
       137 |       551      4,054        534        920 |     6,059 
       138 |       555      4,136        565        953 |     6,209 
       139 |       574      4,260        580        971 |     6,385 
       140 |       553      4,219        569        932 |     6,273 
       141 |       534      4,168        559        893 |     6,154 
       142 |       543      4,147        548        904 |     6,142 
       143 |       551      4,186        554        887 |     6,178 
       144 |       589      4,116        555        917 |     6,177 
       145 |       608      4,083        550        932 |     6,173 
       146 |       609      4,051        524        961 |     6,145 
       147 |       610      4,096        522        963 |     6,191 
       148 |       648      4,204        576      1,015 |     6,443 
       149 |       669      4,169        592      1,027 |     6,457 
       150 |       695      4,154        582      1,023 |     6,454 
       151 |       696      4,135        543        991 |     6,365 
       152 |       684      4,043        542        993 |     6,262 
       153 |       718      4,104        562        992 |     6,376 
       154 |       765      4,038        552      1,030 |     6,385 
       155 |       770      4,033        572      1,064 |     6,439 
       156 |       755      3,952        577      1,061 |     6,345 
       157 |       733      3,917        576      1,069 |     6,295 
       158 |       725      4,113        605      1,084 |     6,527 
       159 |       742      4,096        598      1,048 |     6,484 
       160 |       717      4,057        628      1,064 |     6,466 
       161 |       703      4,023        639      1,059 |     6,424 
       162 |       702      3,997        646      1,104 |     6,449 
       163 |       700      3,990        647      1,097 |     6,434 
       164 |       712      3,965        630      1,079 |     6,386 
       165 |       733      3,973        662      1,106 |     6,474 
       166 |       734      3,992        647      1,109 |     6,482 
       167 |       744      3,870        611      1,116 |     6,341 
       168 |       724      3,748        613      1,058 |     6,143 
       169 |       686      3,777        607      1,028 |     6,098 
       170 |       654      3,696        635      1,009 |     5,994 
       171 |       649      3,620        609      1,012 |     5,890 
       172 |       607      3,455        592      1,000 |     5,654 
       173 |       601      3,500        593      1,014 |     5,708 
       174 |       621      3,425        592      1,049 |     5,687 
       175 |       610      3,343        589      1,035 |     5,577 
       176 |       645      3,317        601      1,011 |     5,574 
       177 |       665      3,261        583      1,020 |     5,529 
       178 |       664      3,308        590      1,000 |     5,562 
       179 |       682      3,224        580        967 |     5,453 
       180 |       678      3,211        557        928 |     5,374 
       181 |       656      3,238        541        921 |     5,356 
       182 |       658      3,216        525        911 |     5,310 
       183 |       635      3,184        562        923 |     5,304 
       184 |       666      3,062        566        895 |     5,189 
       185 |       678      3,097        584        918 |     5,277 
       186 |       708      3,047        539        902 |     5,196 
       187 |       663      3,029        529        904 |     5,125 
       188 |       636      2,934        545        908 |     5,023 
       189 |       613      2,913        530        921 |     4,977 
       190 |       582      2,801        492        887 |     4,762 
       191 |       546      2,634        434        815 |     4,429 
       192 |       532      2,557        428        843 |     4,360 
       193 |       550      2,517        441        847 |     4,355 
       194 |       535      2,403        431        806 |     4,175 
       195 |       488      2,312        401        750 |     3,951 
       196 |       439      2,178        363        738 |     3,718 
       197 |       432      2,197        373        712 |     3,714 
       198 |       436      2,185        362        740 |     3,723 
       199 |       479      2,130        367        674 |     3,650 
       200 |       443      2,088        377        666 |     3,574 
       201 |       456      2,000        383        650 |     3,489 
-----------+--------------------------------------------+----------
     Total |    44,503    255,374     39,362     67,926 |   407,165 
