
. tab ciclo gran_5 if mother_5==1 [fweight=facexp]

           |        gran_5
     ciclo |         0          1 |     Total
-----------+----------------------+----------
       130 | 274314988   15403337 | 289718325 
       131 | 279492259   15361957 | 294854216 
       132 | 282682962   15983607 | 298666569 
       133 | 286739513   15647430 | 302386943 
       134 | 288490889   15144483 | 303635372 
       135 | 287656691   16047611 | 303704302 
       136 | 290260700   16987466 | 307248166 
       137 | 291816239   17163531 | 308979770 
       138 | 295528244   16562700 | 312090944 
       139 | 297431374   16867110 | 314298484 
       140 | 301116325   17651630 | 318767955 
       141 | 303178794   17576000 | 320754794 
       142 | 305886932   17019302 | 322906234 
       143 | 308049745   16929589 | 324979334 
       144 | 310721856   16431768 | 327153624 
       145 | 312876987   17281866 | 330158853 
       146 | 314137613   16875276 | 331012889 
       147 | 315965024   16683470 | 332648494 
       148 | 317166971   17547357 | 334714328 
       149 | 319051277   17309543 | 336360820 
       150 | 322530355   17317528 | 339847883 
       151 | 323606537   17188449 | 340794986 
       152 | 323166850   17699347 | 340866197 
       153 | 326324751   17095552 | 343420303 
       154 | 327658031   16809059 | 344467090 
       155 | 330140918   16524862 | 346665780 
       156 | 331392579   15900831 | 347293410 
       157 | 334289379   16371370 | 350660749 
       158 | 335540567   16215160 | 351755727 
       159 | 331926460   16497500 | 348423960 
       160 | 332378886   17337525 | 349716411 
       161 | 331445776   17728878 | 349174654 
       162 | 330081923   17041971 | 347123894 
       163 | 328443619   15551649 | 343995268 
       164 | 327280254   15960015 | 343240269 
       165 | 329938712   15430985 | 345369697 
       166 | 328582174   16165079 | 344747253 
       167 | 326194800   15113571 | 341308371 
       168 | 326445893   14954654 | 341400547 
       169 | 326833318   14859354 | 341692672 
       170 | 325234399   14000206 | 339234605 
       171 | 322127209   14453717 | 336580926 
       172 | 322666380   14355866 | 337022246 
       173 | 322513560   14886031 | 337399591 
       174 | 321582810   15347613 | 336930423 
       175 | 320480818   15214830 | 335695648 
       176 | 316602944   15888994 | 332491938 
       177 | 315144972   15895413 | 331040385 
       178 | 312746209   15917620 | 328663829 
       179 | 309946301   16556730 | 326503031 
       180 | 309155466   15487991 | 324643457 
       181 | 308106144   16250352 | 324356496 
       182 | 306507612   16658693 | 323166305 
       183 | 303141668   16656449 | 319798117 
       184 | 302041129   16803545 | 318844674 
       185 | 298018947   16876115 | 314895062 
       186 | 293402897   16540491 | 309943388 
       187 | 294018824   17009002 | 311027826 
       188 | 291600115   16505020 | 308105135 
       189 | 286913938   17063906 | 303977844 
       190 | 285572470   17531618 | 303104088 
       191 | 283984134   17817694 | 301801828 
       192 | 281618684   17495258 | 299113942 
       193 | 280488867   16347475 | 296836342 
       194 | 275881778   17384329 | 293266107 
       195 | 274716532   16800967 | 291517499 
       196 | 273226651   16028841 | 289255492 
       197 | 268056162   15052993 | 283109155 
       198 | 266439368   15125821 | 281565189 
       199 | 264997895   15702411 | 280700306 
       200 | 262865093   16612578 | 279477671 
       201 | 262337059   16840033 | 279177092 
-----------+----------------------+----------
     Total | 2.202e+10 1177346974 | 2.320e+10 

. log close
