
           |                 man_status
     ciclo | couple_0k   couple_k      other     single |     Total
-----------+--------------------------------------------+----------
       130 |       987      1,794        109      2,422 |     5,312 
       131 |       987      1,730        106      2,406 |     5,229 
       132 |       924      1,690        121      2,292 |     5,027 
       133 |       957      1,716        119      2,265 |     5,057 
       134 |     1,008      1,809        109      2,361 |     5,287 
       135 |     1,098      1,859        108      2,447 |     5,512 
       136 |     1,061      1,804        110      2,405 |     5,380 
       137 |     1,090      1,775         96      2,497 |     5,458 
       138 |     1,115      1,847        122      2,610 |     5,694 
       139 |     1,164      1,829        135      2,666 |     5,794 
       140 |     1,138      1,809        126      2,666 |     5,739 
       141 |     1,102      1,821        141      2,629 |     5,693 
       142 |     1,117      1,856        135      2,571 |     5,679 
       143 |     1,143      1,837        127      2,639 |     5,746 
       144 |     1,143      1,812        122      2,554 |     5,631 
       145 |     1,125      1,803        121      2,508 |     5,557 
       146 |     1,119      1,803        110      2,536 |     5,568 
       147 |     1,167      1,808        111      2,539 |     5,625 
       148 |     1,230      1,905        129      2,693 |     5,957 
       149 |     1,246      1,901        148      2,657 |     5,952 
       150 |     1,274      1,891        145      2,685 |     5,995 
       151 |     1,238      1,878        131      2,616 |     5,863 
       152 |     1,237      1,820        132      2,551 |     5,740 
       153 |     1,191      1,803        147      2,554 |     5,695 
       154 |     1,229      1,747        127      2,553 |     5,656 
       155 |     1,193      1,715        125      2,525 |     5,558 
       156 |     1,097      1,648        106      2,456 |     5,307 
       157 |     1,039      1,584        113      2,424 |     5,160 
       158 |     1,023      1,590        114      2,491 |     5,218 
       159 |     1,026      1,501         94      2,538 |     5,159 
       160 |       971      1,490        106      2,539 |     5,106 
       161 |       973      1,437        129      2,570 |     5,109 
       162 |       954      1,379        122      2,504 |     4,959 
       163 |       955      1,396        127      2,488 |     4,966 
       164 |       949      1,391        128      2,396 |     4,864 
       165 |       927      1,399        127      2,360 |     4,813 
       166 |       938      1,380        118      2,392 |     4,828 
       167 |       895      1,370        117      2,382 |     4,764 
       168 |       850      1,321        110      2,354 |     4,635 
       169 |       804      1,272        113      2,286 |     4,475 
       170 |       821      1,229        104      2,251 |     4,405 
       171 |       814      1,198         85      2,180 |     4,277 
       172 |       782      1,146         92      2,146 |     4,166 
       173 |       753      1,090         96      2,104 |     4,043 
       174 |       741      1,114         93      2,058 |     4,006 
       175 |       704      1,110         90      2,062 |     3,966 
       176 |       676      1,070         80      2,014 |     3,840 
       177 |       670      1,043         85      1,996 |     3,794 
       178 |       700      1,033         96      1,909 |     3,738 
       179 |       703      1,005         96      1,907 |     3,711 
       180 |       697        964        108      1,873 |     3,642 
       181 |       688        985         92      1,897 |     3,662 
       182 |       692        989         94      1,838 |     3,613 
       183 |       727        987         92      1,902 |     3,708 
       184 |       728        948         93      1,925 |     3,694 
       185 |       758        965         90      1,957 |     3,770 
       186 |       758        975         88      1,872 |     3,693 
       187 |       743        977         83      1,844 |     3,647 
       188 |       698        901         85      1,934 |     3,618 
       189 |       695        848         84      1,914 |     3,541 
       190 |       692        811         76      1,804 |     3,383 
       191 |       636        727         69      1,711 |     3,143 
       192 |       590        703         74      1,693 |     3,060 
       193 |       550        665         87      1,681 |     2,983 
       194 |       504        639         73      1,587 |     2,803 
       195 |       481        587         69      1,572 |     2,709 
       196 |       425        536         63      1,488 |     2,512 
       197 |       415        563         62      1,483 |     2,523 
       198 |       433        567         59      1,456 |     2,515 
       199 |       468        573         48      1,440 |     2,529 
       200 |       452        563         54      1,445 |     2,514 
       201 |       436        514         55      1,386 |     2,391 
-----------+--------------------------------------------+----------
     Total |    63,314     95,245      7,451    158,356 |   324,366 
