
           |                 man_status
     ciclo | couple_0k   couple_k      other     single |     Total
-----------+--------------------------------------------+----------
       130 | 119634727  353039988   20714988  200579324 | 693969027 
       131 | 119849075  354412173   19928830  206532606 | 700722684 
       132 | 120239627  360120710   18878401  206693631 | 705932369 
       133 | 123382647  365022423   17473217  205411705 | 711289992 
       134 | 123853362  366810600   16190221  209470641 | 716324824 
       135 | 126192582  364581382   17042785  213759608 | 721576357 
       136 | 127613297  365214696   16836671  217579084 | 727243748 
       137 | 132692677  364841295   16891831  219084561 | 733510364 
       138 | 134508100  366438475   17657680  221321323 | 739925578 
       139 | 135180279  367677021   18057606  224905063 | 745819969 
       140 | 135032025  370357130   18287452  227859733 | 751536340 
       141 | 139037430  372676885   18856791  227023153 | 757594259 
       142 | 139987334  377230260   18072569  227259089 | 762549252 
       143 | 139873892  378091504   17717693  231113479 | 766796568 
       144 | 141506115  381733465   17421434  229879065 | 770540079 
       145 | 143398363  382364575   17655168  230433882 | 773851988 
       146 | 141290209  383898061   17994368  232913690 | 776096328 
       147 | 141716662  384029345   18057905  233802297 | 777606209 
       148 | 141995288  383303920   18246751  235272397 | 778818356 
       149 | 142983268  385264986   18437289  233433990 | 780119533 
       150 | 143072879  384718123   19735353  233443362 | 780969717 
       151 | 142750151  385665087   18968859  234047387 | 781431484 
       152 | 141665599  387205080   18800193  234296227 | 781967099 
       153 | 141469621  388459461   18710600  233822848 | 782462530 
       154 | 143517845  385357523   17993932  235713454 | 782582754 
       155 | 139537231  384998434   17151585  240889199 | 782576449 
       156 | 138775540  386937631   16493854  240128258 | 782335283 
       157 | 138758252  388213635   17549519  237774700 | 782296106 
       158 | 136752969  385463161   17520851  240955047 | 780692028 
       159 | 133076375  381459073   17585663  242053949 | 774175060 
       160 | 131924362  383070013   18054319  243429103 | 776477797 
       161 | 136560284  378182061   19339697  239957478 | 774039520 
       162 | 133391461  375853686   18420792  243286653 | 770952592 
       163 | 133618346  374860676   18543418  240154999 | 767177439 
       164 | 134484565  371666161   19969690  236237145 | 762357561 
       165 | 131063842  372586157   19302552  235036370 | 757988921 
       166 | 131049227  368776733   17995577  235711441 | 753532978 
       167 | 128934298  365738154   18140637  239522461 | 752335550 
       168 | 128183771  365294460   17864235  237841317 | 749183783 
       169 | 126637889  365994182   17516663  236295642 | 746444376 
       170 | 125636270  366075664   16290103  235578796 | 743580833 
       171 | 125380397  366027972   16119030  233173715 | 740701114 
       172 | 122162139  363536150   16697606  234895434 | 737291329 
       173 | 121506344  361410007   16249899  233850765 | 733017015 
       174 | 123667658  357917599   15525956  232546917 | 729658130 
       175 | 121145869  356046864   15135989  233815799 | 726144521 
       176 | 121585001  353933778   15580217  231889287 | 722988283 
       177 | 121567655  350702319   15970548  231827534 | 720068056 
       178 | 121434630  346958021   16744077  231860522 | 716997250 
       179 | 121653680  343061670   17665364  231562450 | 713943164 
       180 | 119923576  342202399   18998431  230097721 | 711222127 
       181 | 118617256  344312544   17470679  228750017 | 709150496 
       182 | 118076546  345183003   16565651  227203863 | 707029063 
       183 | 119133336  343071149   18086097  224524567 | 704815149 
       184 | 123077717  339412497   17996158  222662683 | 703149055 
       185 | 121831794  337431200   18805445  223655887 | 701724326 
       186 | 122692019  335915785   16955060  224529424 | 700092288 
       187 | 120270654  336536276   17626780  224181800 | 698615510 
       188 | 119387427  333104361   17709988  227063442 | 697265218 
       189 | 119389593  330182558   17406444  228641562 | 695620157 
       190 | 122056166  326637584   18374901  226723374 | 693792025 
       191 | 121087963  323710774   17520322  229235127 | 691554186 
       192 | 118307352  320764525   18037773  231675586 | 688785236 
       193 | 116895280  317801839   18314068  232933407 | 685944594 
       194 | 116477136  315311148   16647361  233945460 | 682381105 
       195 | 114322620  310792418   17795447  235284612 | 678195097 
       196 | 111843303  310832658   16671890  235024151 | 674372002 
       197 | 116439854  307291485   16376889  231666744 | 671774972 
       198 | 118100912  302786932   15086541  232724052 | 668698437 
       199 | 121718971  299599300   15167810  229632259 | 666118340 
       200 | 121614369  296671854   16259772  230356083 | 664902078 
       201 | 118219420  297207496   15718520  233225754 | 664371190 
-----------+--------------------------------------------+----------
     Total |9230414373  2.569e+10 1267648455  1.657e+10 | 5.276e+10 
