
. tab ciclo non_missing_ind if age3040&mother_15&wife==1&state=="I" [fw=facexp]

           |    non_missing_ind
     ciclo |         0          1 |     Total
-----------+----------------------+----------
       130 |  55366646   13661411 |  69028057 
       131 |  55380790   13608963 |  68989753 
       132 |  54450312   15704769 |  70155081 
       133 |  54320570   13829665 |  68150235 
       134 |  51240578   14102025 |  65342603 
       135 |  49944893   14312520 |  64257413 
       136 |  51170088   16101557 |  67271645 
       137 |  49095518   13254868 |  62350386 
       138 |  48838201   13572515 |  62410716 
       139 |  48553339   14906944 |  63460283 
       140 |  50470688   16257912 |  66728600 
       141 |  47922554   13115295 |  61037849 
       142 |  45236125   14080325 |  59316450 
       143 |  45868406   14590826 |  60459232 
       144 |  44815767   15024226 |  59839993 
       145 |  41604911   12757678 |  54362589 
       146 |  38196987   13049524 |  51246511 
       147 |  38493802   13080566 |  51574368 
       148 |  39058625   13957808 |  53016433 
       149 |  39080420   13089356 |  52169776 
       150 |  37038286   12791755 |  49830041 
       151 |  37350899   11743026 |  49093925 
       152 |  37397275   11904255 |  49301530 
       153 |  35198563   10190180 |  45388743 
       154 |  33324823    9547679 |  42872502 
       155 |  31824697    9475838 |  41300535 
       156 |  33380355   10557509 |  43937864 
       157 |  32536505    9068351 |  41604856 
       158 |  29410541    9540856 |  38951397 
       159 |  30039928    9077414 |  39117342 
       160 |  29697563   10146057 |  39843620 
       161 |  27916477    8427903 |  36344380 
       162 |  27166143    7700064 |  34866207 
       163 |  27454600    7367348 |  34821948 
       164 |  28958446    8818342 |  37776788 
       165 |  26730529    6652384 |  33382913 
       166 |  24826798    6539094 |  31365892 
       167 |  25642344    7453206 |  33095550 
       168 |  25632433    8368833 |  34001266 
       169 |  25345267    7241358 |  32586625 
       170 |  25894102    6711114 |  32605216 
       171 |  26000519    6595060 |  32595579 
       172 |  26719273    8021004 |  34740277 
       173 |  24968871    6051915 |  31020786 
       174 |  24405314    7143088 |  31548402 
       175 |  23798602    7093119 |  30891721 
       176 |  24292161    8653634 |  32945795 
       177 |  24244897    7968488 |  32213385 
       178 |  24371824    8283024 |  32654848 
       179 |  24145630    8477279 |  32622909 
       180 |  24733335    8605701 |  33339036 
       181 |  23650457    7761216 |  31411673 
       182 |  24687372    8339259 |  33026631 
       183 |  23566450    7604596 |  31171046 
       184 |  23937702    8921306 |  32859008 
       185 |  22067981    8633138 |  30701119 
       186 |  22948409    8069497 |  31017906 
       187 |  21614237    7741357 |  29355594 
       188 |  20642202    9442358 |  30084560 
       189 |  20248676    7819597 |  28068273 
       190 |  20398180    8646829 |  29045009 
       191 |  22936038   14737033 |  37673071 
       192 |  20846469   10188994 |  31035463 
       193 |  19478976    9126738 |  28605714 
       194 |  18644063    9304808 |  27948871 
       195 |  20082788    6334795 |  26417583 
       196 |  20864807    5753064 |  26617871 
       197 |  19347989    6876152 |  26224141 
       198 |  19207633    7185372 |  26393005 
       199 |  18856780    7580609 |  26437389 
       200 |  17954827    7545111 |  25499938 
       201 |  19201134    6405646 |  25606780 
-----------+----------------------+----------
     Total |2270739390  722291106 |2993030496 

. log close
