     ciclo |        15 |     Total
-----------+-----------+----------
       130 |     37038 |  11273695 
       131 |    157259 |   6495255 
       132 |     33120 |  28967175 
       133 |    191952 |  12248467 
       134 |     32912 |   7605897 
       135 |    141555 |   7881853 
       136 |    126377 |  25333319 
       137 |     61666 |  10299049 
       138 |     33708 |   7050718 
       139 |         0 |   7849058 
       140 |    104797 |  30604316 
       141 |         0 |  12943709 
       142 |    121907 |  11251682 
       143 |     20848 |   7379296 
       144 |     76942 |  29043086 
       145 |     83848 |  11565764 
       146 |    190513 |   9891009 
       147 |         0 |   8429220 
       148 |     85689 |  28360015 
       149 |     52024 |   9675578 
       150 |     99800 |   7815667 
       151 |    239976 |   5952501 
       152 |         0 |  26157142 
       153 |     86728 |  10280190 
       154 |     85887 |   6647226 
       155 |     50310 |   7384822 
       156 |     62495 |  23317481 
       157 |     21832 |   9893726 
       158 |     70940 |   7743802 
       159 |         0 |   6594906 
       160 |     45909 |  20649077 
       161 |     19985 |   7374750 
       162 |     23030 |   7417865 
       163 |     16873 |   4747451 
       164 |     84162 |  22977652 
       165 |    106388 |   8846016 
       166 |     21436 |   6075510 
       167 |     49853 |   4399690 
       168 |     15151 |  20624761 
       169 |     16180 |   7933772 
       170 |     13802 |   6857454 
       171 |         0 |   5812708 
       172 |     31947 |  18907139 
       173 |     24019 |   6359004 
       174 |     80229 |   5484467 
       175 |    129472 |   4884169 
       176 |    100393 |  19888238 
       177 |         0 |   8268388 
       178 |     52790 |   6277836 
       179 |         0 |   7225508 
       180 |         0 |  20073289 
       181 |     44693 |   8820153 
       182 |     16831 |   6806390 
       183 |     16583 |   6308711 
       184 |     89541 |  19531045 
       185 |    107716 |   8382215 
       186 |     64059 |   6803393 
       187 |     31237 |   6750167 
       188 |     20888 |  18049530 
       189 |     93330 |   8970479 
       190 |    223992 |  11776301 
       191 |    176997 |  22912912 
       192 |     66181 |  20390109 
       193 |    155189 |  11469858 
       194 |     58542 |  11273022 
       195 |     69044 |   9706173 
       196 |    101218 |  22734424 
       197 |     54947 |  11924335 
       198 |    114507 |  10131278 
       199 |         0 |   9780550 
       200 |    111257 |  21304196 
       201 |     17318 |  11186242 
-----------+-----------+----------
     Total |   4735812 | 882031851 
