     ciclo |         0          1          2          3          4          5          6 |     Total
-----------+-----------------------------------------------------------------------------+----------
       130 |     57603   13300333     124444      72937    6303627     240993      27739 |  22697314 
       131 |         0    4927335     142608          0    5576789     242175          0 |  12560835 
       132 |     60603   45379048          0      27791    5198023      44840          0 |  51710812 
       133 |     16951   14111169     316122          0    4977949     226850          0 |  21177886 
       134 |     33803    7219690      35256      12571    6093464     277391      39165 |  15457531 
       135 |         0    7218526      40208      79145    5647367     112680      12600 |  14398487 
       136 |     23955   39253593     105166      40001    5433220     218886          0 |  45910384 
       137 |     18946   11220554     152461      36678    5407524      51987          0 |  18071345 
       138 |         0    6485231      19531      74332    6256385     187823          0 |  14332703 
       139 |     94958    7301861     351882          0    6042879     180658          0 |  15244255 
       140 |     87199   45739071     659449      21028    5895667     117508          0 |  53515509 
       141 |         0   15834322     385728     194738    7043220     253452          0 |  25157360 
       142 |         0   12438860     655038      31419    5693758     414572          0 |  20616151 
       143 |         0    6173953     520218      22029    5628888     227178      10678 |  14240465 
       144 |         0   42197497     862954      29624    4944162     282913      11183 |  49761476 
       145 |     16235   11388720     333107      19102    5814801     671422          0 |  20299993 
       146 |     17440   10429705     360529      77201    4902532     312838          0 |  19762665 
       147 |     26661    8344066     571788     112432    3854342      52940          0 |  15118861 
       148 |         0   40179091     481343          0    4085098      26013          0 |  47194029 
       149 |         0    9984943     714500      75334    4804587     209302          0 |  17750754 
       150 |     57236    7300545     363694      96302    5081741     248049          0 |  16861142 
       151 |     44642    5213408     647294      67644    4865200     167376          0 |  13188872 
       152 |         0   38248442     597459     135337    4017260     135762          0 |  45450532 
       153 |         0   12233308     954872      33436    3928669     251788      29144 |  19606097 
       154 |         0    5555819     586727      15279    4041560     134937          0 |  12072821 
       155 |         0    6656512     555356     192399    3433462     250431          0 |  13111592 
       156 |         0   34597172     368276     107619    3462826      44622      15748 |  40695321 
       157 |         0   10533624     468415      35749    3740064     198512          0 |  16696257 
       158 |         0    6947928    1003125      43109    3412117     154134          0 |  15066597 
       159 |         0    6202926     462174          0    3298496      75490          0 |  12273200 
       160 |         0   30050739     543456          0    2980102     187171          0 |  36062299 
       161 |         0    9385048     432402      51061    2705999     142960          0 |  15689297 
       162 |         0    6514843     381194          0    2938900     162392          0 |  12806783 
       163 |         0    3647963     429980      51546    2626287     141902          0 |   8997282 
       164 |         0   33364942     434935     139558    2370605     272198          0 |  39122246 
       165 |         0    9598506     505339          0    3421575      91547          0 |  15848388 
       166 |         0    5249238     369305      67694    3459754     384446          0 |  11408718 
       167 |         0    4312532     326348     135969    2406705     312586          0 |   9363884 
       168 |         0   29991994     658813          0    3016343     219015          0 |  36144405 
       169 |         0    7867560     300507     158413    2816315     333839          0 |  13531527 
       170 |     15017    7360552     396453          0    2938487     114259          0 |  12818928 
       171 |         0    5464882     726616      98669    2814512     199749          0 |  10569408 
       172 |         0   26850882     259893      50095    2945220     237747          0 |  32169045 
       173 |         0    7167849     419775      84707    3393162     258504          0 |  13136683 
       174 |         0    6201112     265132     128467    4076093     107568          0 |  12129989 
       175 |         0    3480082     475801      96756    4505586     113676          0 |  10181984 
       176 |     53547   27447471     386805      21793    3545743      61487          0 |  33013482 
       177 |         0    8593007     555316      20843    3914815      67783          0 |  14913407 
       178 |         0    4504006    1114900      31964    3919364     336694          0 |  11376258 
       179 |         0    6488119     828475      29738    4043995     354807          0 |  12987173 
       180 |         0   29721860     749203     135961    2846420      39934          0 |  33994665 
       181 |         0    9810776     730947      46262    3770861     289443          0 |  15810217 
       182 |     18324    6145165     949486      34710    3727785      94651      16763 |  14034627 
       183 |         0    4195248    1136942     103341    3997976     186192          0 |  10749130 
       184 |         0   26149784    1213664     336767    3662047     359196          0 |  32926435 
       185 |         0    9041976     850278     158047    3874749     232852          0 |  16117148 
       186 |         0    5299465    1209153       6855    4186443      91840          0 |  12403372 
       187 |     70160    6414660     976934      15334    4192874      24532          0 |  12413597 
       188 |         0   26335876    1626294      21063    3078644      93180          0 |  32193152 
       189 |     56621    8585824    1652422     268366    3457154      54454          0 |  15587237 
       190 |     14856    7197736    1388127      16640    4546397      41084          0 |  23505990 
       191 |     10252    3293140    2434397      59430    5050477     490136          0 |  56746933 
       192 |         0   22363815    2554482     137986    5069165      27276          0 |  39734549 
       193 |         0    5291029    2471497     106400    5614248      12534          0 |  23616168 
       194 |         0    6026933    2576215      25986    5407275     105438          0 |  24012854 
       195 |     30961    5870125    3012969          0    5178273     232854          0 |  20418525 
       196 |         0   29394146    2895587     113252    4729134     359551          0 |  41063659 
       197 |         0    9890520    3716563      63303    5043997     459652          0 |  22343804 
       198 |         0    6309153    2916522     548463    7521457     246506          0 |  19722236 
       199 |         0    6357141    3565895      24426    5435069     203861          0 |  16961053 
       200 |    272024   29019084    3017815     193526    5194312     341596          0 |  40025929 
       201 |         0   11445478    2862551     241152    4745025     150543          0 |  21461705 
-----------+-----------------------------------------------------------------------------+----------
     Total |   1097994 1010317513   67159112    5477779  314055021   14251157     163020 |1628115417 
