
. tab ciclo rznotb if age3040&woman [fweight=facexp]

           |                                    rznotb
     ciclo |         0          1          2          3          4          5          6 |     Total
-----------+-----------------------------------------------------------------------------+----------
       130 |         0   10284250    3103128    2502995    6669225     216749          0 |  24412845 
       131 |         0    3307175    3448442    2568949    7186888     207146          0 |  18095939 
       132 |         0   38420894    4543038    2401617    6581356      76908          0 |  53329955 
       133 |      8811    8544532    4693800    3016258    6981493     343105          0 |  25077586 
       134 |         0    5194325    4118224    2582654    8783282     122650          0 |  22537358 
       135 |         0    6242561    4638705    3250611    7283077      80355          0 |  22738705 
       136 |     94144   32611089    4111552    2950050    6068650      39095          0 |  47681748 
       137 |         0    9040474    3670771    2132057    7644703     204662          0 |  24294895 
       138 |         0    5911340    4402517    2008014    8343548      75782          0 |  22721045 
       139 |         0    6704469    6047443    1956565    8186116      45815          0 |  24525595 
       140 |     34052   37157774    4724555    2381470    8057046      75923          0 |  54656079 
       141 |     17561   10953261    4798088    2918628    8510993      43776          0 |  28608631 
       142 |         0   10113932    5286778    2498716    8281301     192625          0 |  27956613 
       143 |         0    4902818    5522239    3292469    8303931     120417          0 |  23370266 
       144 |         0   40036332    5914123    3376977    7805741     135279          0 |  59219982 
       145 |         0    9158725    4909372    2877808    8838900     171100          0 |  27698232 
       146 |         0    7881642    4795764    2704284    7306103     252397          0 |  25226314 
       147 |         0    6133060    4785669    2681670    8647313     179820      60515 |  23656961 
       148 |         0   36769950    4494525    3001315    6628108     175298          0 |  53720433 
       149 |     40181    8956856    4773770    2903359    7381167     145044          0 |  26142859 
       150 |         0    6265098    5103769    2745158    7307039     194097          0 |  23631795 
       151 |         0    5126823    5058318    2673182    7004470     111696      53597 |  21394316 
       152 |         0   38033711    5688237    2853457    6656192     121714      11151 |  55842602 
       153 |         0    9800976    5355572    2527574    7516940      85387      46265 |  27083234 
       154 |         0    5914983    4476118    2292987    7137773     100337          0 |  21516687 
       155 |         0    5989234    4137346    2606701    7893380      55005          0 |  22938292 
       156 |         0   32950850    5526672    2459003    6372830     246838          0 |  50949301 
       157 |         0    8401472    6152198    2205105    7608558     112163          0 |  26600638 
       158 |         0    6006737    7432675    2232231    6108045     329574          0 |  23569109 
       159 |         0    5434725    4940908    1715828    6485983      38735          0 |  20014530 
       160 |         0   32542589    5462891    2227731    5515346     441325          0 |  48720847 
