
. tab ciclo erte if father_10==1&age3040==1&husband==1 [fweight=facexp]

           |         erte
     ciclo |         0          1 |     Total
-----------+----------------------+----------
       130 | 157458392      80926 | 157539318 
       131 | 155180883          0 | 155180883 
       132 | 159994281      16047 | 160010328 
       133 | 162022381          0 | 162022381 
       134 | 160634893      63858 | 160698751 
       135 | 159152714          0 | 159152714 
       136 | 160164680      14046 | 160178726 
       137 | 159623763          0 | 159623763 
       138 | 161415105          0 | 161415105 
       139 | 162057323          0 | 162057323 
       140 | 163598262          0 | 163598262 
       141 | 165422943          0 | 165422943 
       142 | 166166620          0 | 166166620 
       143 | 164485465      19300 | 164504765 
       144 | 166706973      11547 | 166718520 
       145 | 168928365      54978 | 168983343 
       146 | 168411617      97507 | 168509124 
       147 | 168452292     320119 | 168772411 
       148 | 166305366     468973 | 166774339 
       149 | 167347845     397501 | 167745346 
       150 | 165696169     311203 | 166007372 
       151 | 165716086     301672 | 166017758 
       152 | 165588847     289455 | 165878302 
       153 | 165777743     138526 | 165916269 
       154 | 163422746     115681 | 163538427 
       155 | 162855867     207764 | 163063631 
       156 | 164103072     125952 | 164229024 
       157 | 163679729     153352 | 163833081 
       158 | 164374502     296616 | 164671118 
       159 | 160578667     184255 | 160762922 
       160 | 159943670     264986 | 160208656 
       161 | 157407463     254963 | 157662426 
       162 | 155543795     404664 | 155948459 
       163 | 154028024     523365 | 154551389 
       164 | 152157758     330836 | 152488594 
       165 | 153261564     245199 | 153506763 
       166 | 150566958     105120 | 150672078 
       167 | 147681038      37388 | 147718426 
       168 | 148028728     100552 | 148129280 
       169 | 147147032      94055 | 147241087 
       170 | 146508403      27007 | 146535410 
       171 | 144608044      51699 | 144659743 
       172 | 143928756      64734 | 143993490 
       173 | 142328791          0 | 142328791 
       174 | 138450116      19051 | 138469167 
       175 | 136413164      20297 | 136433461 
       176 | 134265901      42524 | 134308425 
       177 | 130581573      54771 | 130636344 
       178 | 128390246     100890 | 128491136 
       179 | 125570294      86285 | 125656579 
       180 | 124243727          0 | 124243727 
       181 | 124472903          0 | 124472903 
       182 | 123395170          0 | 123395170 
       183 | 120908239          0 | 120908239 
       184 | 117232504          0 | 117232504 
       185 | 115354803      52126 | 115406929 
       186 | 113220454          0 | 113220454 
       187 | 114687255          0 | 114687255 
       188 | 111929026          0 | 111929026 
       189 | 109752272          0 | 109752272 
       190 | 106434437    1506720 | 107941157 
       191 |  96583557    8656920 | 105240477 
       192 | 100985482    2239370 | 103224852 
       193 | 101216095    1539488 | 102755583 
       194 |  96502526    1693742 |  98196268 
       195 |  94331307    1184142 |  95515449 
       196 |  93430341     734223 |  94164564 
       197 |  91842991     484513 |  92327504 
       198 |  90282820      95597 |  90378417 
       199 |  88885423          0 |  88885423 
       200 |  87738764          0 |  87738764 
       201 |  87185546      63567 |  87249113 
-----------+----------------------+----------
     Total | 1.011e+10   24748072 | 1.014e+10 

. log close
