
. tab ciclo act1 if (state=="P"|state=="T")&erte

           |                               act1
     ciclo |         0          1          2          3          4          5 |     Total
-----------+------------------------------------------------------------------+----------
       130 |         0          0          0          0          0          1 |         1 
       131 |         0          0          0          0          1          1 |         2 
       132 |         0          0          1          0          0          1 |         3 
       133 |         0          1          0          0          0          0 |         1 
       134 |         0          1          0          1          0          1 |         3 
       135 |         0          1          0          0          0          0 |         1 
       136 |         0          0          0          0          0          0 |         1 
       138 |         0          0          1          0          0          1 |         5 
       139 |         0          0          0          1          0          0 |         1 
       141 |         0          0          0          1          0          0 |         2 
       142 |         0          0          0          0          1          0 |         1 
       143 |         0          1          1          0          0          1 |         3 
       144 |         0          0          0          0          0          1 |         2 
       145 |         0          3          5          7          0          2 |        18 
       146 |         0          1         14         35          0          0 |        51 
       147 |         0          3         28         36          2          1 |        75 
       148 |         0          9         27         29          3          4 |        79 
       149 |         0          6         25         37          6          4 |        81 
       150 |         0          5         17         27          4          5 |        71 
       151 |         0          4         13         17          4          5 |        51 
       152 |         0          2         10          9          3          2 |        28 
       153 |         0          4          9         14          4          5 |        42 
       154 |         1          9         14          5          6          5 |        47 
       155 |         0          3          9         16          3          9 |        45 
       156 |         0          3         10          8          8          2 |        35 
       157 |         0          5         14          8          6          5 |        43 
       158 |         1          6         22         16          7          7 |        66 
       159 |         0          9         13         16          9          7 |        60 
       160 |         0          5         14         12          8         19 |        63 
       161 |         1          8         21         15          5          6 |        66 
       162 |         0          7         23         17         19          7 |        85 
       163 |         0          9         28         11          6          7 |        70 
       164 |         0          7         17         13          8          6 |        65 
       165 |         1          3         17          9          1          4 |        49 
       166 |         1          3         13         12          8          8 |        54 
       167 |         0          4         10          5          7          1 |        32 
       168 |         0          4         10          3          1          1 |        27 
       169 |         2          0          8          8          1          0 |        28 
       170 |         0          0          1          6          3         11 |        28 
       171 |         0          1          2          2          2          2 |        13 
       172 |         0          0          4          4          1          0 |        12 
       173 |         1          0          3          2          0          0 |        10 
       174 |         0          0          1          3          0          0 |         6 
       175 |         0          0          3          5          0          0 |         9 
       176 |         0          2          5          3          1          0 |        11 
       177 |         0          1          1          2          0          0 |         5 
       178 |         0          0          2          0          0          2 |         5 
       179 |         0          0          1          0          0          1 |         3 
       181 |         0          1          1          2          0          0 |         6 
       182 |         0          0          2          1          0          1 |         5 
       183 |         0          0          1          1          0          2 |         5 
       184 |         0          2          2          2          1          0 |         7 
       185 |         0          0          1          2          0          1 |         5 
       186 |         0          0          5          2          1          0 |        10 
       187 |         0          0          2          1          0          0 |         3 
       188 |         0          0          1          0          0          0 |         1 
       189 |         0          0          1          2          0          0 |         5 
       190 |         0         22         22         43         29        260 |       525 
       191 |         9        196        219        389        180      2,476 |     4,921 
       192 |         2         40         27         41         27        415 |       846 
       193 |         1         32         17         27         12        573 |       876 
       194 |         1         18         10         19          9        570 |       822 
       195 |         1          9          6         20          3        252 |       399 
       196 |         2          6          6         17          6         64 |       137 
       197 |         0          4          5         20          4         36 |       102 
       198 |         0          2          2         18          0         55 |       103 
       199 |         0          0          6          7          0          2 |        18 
       200 |         0          0          3          3          0          1 |         9 
       201 |         0          2          2          4          0          1 |        10 
-----------+------------------------------------------------------------------+----------
