
. tab ciclo act1 if (state=="P"|state=="T")&erte [fweight=facexp]

           |                               act1
     ciclo |         0          1          2          3          4          5 |     Total
-----------+------------------------------------------------------------------+----------
       130 |         0          0          0          0          0      13369 |     13369 
       131 |         0          0          0          0      38687      18268 |     56955 
       132 |         0          0      16047          0          0      40607 |     74929 
       133 |         0      66140          0          0          0          0 |     66140 
       134 |         0      13359          0      58231          0      63858 |    135448 
       135 |         0      17170          0          0          0          0 |     17170 
       136 |         0          0          0          0          0          0 |      9254 
       138 |         0          0      32052          0          0      52427 |    182316 
       139 |         0          0          0      54227          0          0 |     54227 
       141 |         0          0          0      21307          0          0 |     63814 
       142 |         0          0          0          0      22231          0 |     22231 
       143 |         0      12868       5503          0          0      51053 |     69424 
       144 |         0          0          0          0          0      56313 |     73643 
       145 |         0      53731     110393     134005          0      21140 |    335626 
       146 |         0      21347     362095     998370          0          0 |   1392385 
       147 |         0      53651     717250     874896      76356      14072 |   1873444 
       148 |         0     213633     799401     654545     112091     127351 |   2111215 
       149 |         0     153085     613247     794878     160452     141638 |   1908523 
       150 |         0      98468     404023     820271      94668     130820 |   1845726 
       151 |         0      87967     366844     466173     126474     101608 |   1339972 
       152 |         0      59695     255378     298519      54970      47130 |    740671 
       153 |         0     114283     185033     492884      55314     116183 |   1114300 
       154 |     48863     216044     386447     162863     153815     162953 |   1309136 
       155 |         0      48188     181911     417642      78257     204622 |   1042651 
       156 |         0      22925     205270     248198     167722      65294 |    810801 
       157 |         0     103876     298211     270546      95683     187588 |   1041643 
       158 |     15778      91864     430455     379982     250299     160607 |   1495534 
       159 |         0      84246     205650     362558     307016     178524 |   1276244 
       160 |         0      72401     294815     241242     273426     425693 |   1397594 
       161 |     10637     140240     418526     410550     124460     132514 |   1552942 
       162 |         0      91169     456914     437899     323018     132862 |   1668091 
       163 |         0     187878     555576     307019     155036     128158 |   1518889 
       164 |         0     164208     311744     338896     232360     188633 |   1809969 
       165 |     11298     127284     342742     275274      40143     113378 |   1341231 
       166 |     19645     107602     237832     401954     203853     132440 |   1450024 
       167 |         0      95729     257270     109077     250056      22240 |    836095 
       168 |         0      51904     302962      67457      27397      37339 |    622015 
       169 |     69379          0     270512     154770      29363          0 |    830067 
       170 |         0          0      14334     106674      51725     369934 |    726882 
       171 |         0      27270      54476      37717      55646      57056 |    322886 
       172 |         0          0      84904      88435      29771          0 |    250552 
       173 |     21895          0      62979      69398          0          0 |    267814 
       174 |         0          0      19051      67394          0          0 |    154547 
       175 |         0          0      51630     131666          0          0 |    213639 
       176 |         0      36511     111148      68543       9898          0 |    226100 
       177 |         0      11689      19156      26548          0          0 |     65611 
       178 |         0          0      43895          0          0      41342 |    108137 
       179 |         0          0      24677          0          0      54680 |     88825 
       181 |         0      26064      27405      68289          0          0 |    165704 
       182 |         0          0      40866      30034          0      49888 |    190320 
       183 |         0          0      31952      36595          0      25491 |    112905 
       184 |         0      20303      52517      40007      49952          0 |    162779 
       185 |         0          0      19932      39335          0      19256 |     90266 
       186 |         0          0     121227     172766      16077          0 |    345209 
       187 |         0          0      45655      34152          0          0 |     79807 
       188 |         0          0      24370          0          0          0 |     24370 
       189 |         0          0      17887      82304          0          0 |    146192 
