
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |  10960478    1551903   34003964   11479267    2580132 |  60575744 
       131 |  11366055    1499346   33236647   13127902    2093854 |  61323804 
       132 |  11232018    1754167   31818183   13958022    2399080 |  61161470 
       133 |  10744811    1652305   34396093   14436759    3103570 |  64333538 
       134 |  10894881    2038078   34261312   14635437    2474207 |  64303915 
       135 |  10893867    1996095   33060592   14862364    2682903 |  63495821 
       136 |  10315411    2113259   32785689   14746237    2620052 |  62580648 
       137 |  10283025    1983485   32592740   14901024    2239785 |  62000059 
       138 |  10046296    2267038   32917721   14641809    2702606 |  62575470 
       139 |  10544796    2322669   32608549   14187179    2055334 |  61718527 
       140 |  10751113    1807405   32550849   14810188    2449971 |  62369526 
       141 |  10788896    1952803   32861760   14986550    2550118 |  63140127 
       142 |  10497299    2221626   33724598   14513801    3196053 |  64153377 
       143 |  10173840    1761877   33191249   13918437    4381381 |  63426784 
       144 |   9942901    1956406   33792185   13438571    5038699 |  64168762 
       145 |  10067837    1864798   33797517   14288486    7243177 |  67261815 
       146 |   9505448    1740690   32545141   12878241   10091013 |  66760533 
       147 |  10234239    1576077   31245637   11645958   10776899 |  65478810 
       148 |  10469812    2444410   30977170   11413669    9462703 |  64767764 
       149 |   9474453    2659041   31300317   11284890    9920307 |  64639008 
       150 |   8914880    2213230   30270793   10804396   10597323 |  62800622 
       151 |   9011767    2092858   29974752   11296808   10259001 |  62635186 
       152 |   7802559    1826830   31391372   11082235   10692678 |  62795674 
       153 |   6965277    1642180   31423009   10812059   11547145 |  62389670 
       154 |   7674700    1698269   27975038   10609984   11474765 |  59432756 
       155 |   7153053    1775902   29069922   11075110   11225139 |  60299126 
       156 |   6656847    1690573   29261258   11011431   11037695 |  59657804 
       157 |   6719305    1523949   28784323   10243460   12231344 |  59502381 
       158 |   6928758    1730989   29027950    8925408   12013918 |  58627023 
       159 |   6684644    1197273   27463516    8419734   12486694 |  56251861 
       160 |   6931878    2084837   26359756    8030568   12627475 |  56034514 
       161 |   6762401    2095996   24198366    7597086   12768741 |  53422590 
       162 |   6050104    1743757   25458884    7627212   11706648 |  52586605 
       163 |   6699722    1840510   24874988    7696136   10689915 |  51801271 
       164 |   6598003    1663812   24000471    7847184   10550950 |  50660420 
       165 |   5702483     833701   24039997    9635940   10685147 |  50897268 
       166 |   5726077    1648566   23709937    8837820   10256696 |  50179096 
       167 |   5540515    1855496   24029036    8201050    9613456 |  49239553 
       168 |   6170814    1908660   22591533    8240126    8639925 |  47551058 
       169 |   6004904    1546084   23206006    8387237    7767405 |  46911636 
       170 |   6193545    1434709   22795106    8107670    8287102 |  46818132 
       171 |   6150335    1053663   23280406    9643712    7548835 |  47676951 
       172 |   6315098    1329144   22169042    9502594    6850664 |  46166542 
       173 |   6026694    1118716   22092769    8072298    6593616 |  43904093 
       174 |   5167731     726740   23052462    8369696    6533528 |  43850157 
       175 |   5599377    1056089   23552774    8158588    5441513 |  43808341 
       176 |   5485286     555078   24109516    8071075    5483014 |  43703969 
       177 |   5701405     702282   22922724    7475071    5316655 |  42118137 
       178 |   5451341    1476011   22119730    7766795    4365471 |  41179348 
       179 |   4841543    1239774   21977242    7767897    5033558 |  40860014 
       180 |   4847850    1227375   21293634    7504127    4489273 |  39362259 
       181 |   4184634    1023064   21667230    7831920    4265996 |  38972844 
       182 |   4534956     937848   21665002    8196235    3865547 |  39199588 
       183 |   4870649    1453997   20802748    7124879    3201167 |  37453440 
       184 |   5409490    1088335   19494657    7175917    3536612 |  36705011 
       185 |   5574375     960235   18259783    7341236    3669104 |  35804733 
       186 |   6326015     715967   18845451    6763816    3467612 |  36118861 
       187 |   5721328     907283   19412024    7595397    2945559 |  36581591 
       188 |   5742795    1181060   18343623    6891689    2612627 |  34771794 
       189 |   5207619    1244549   17521300    6378554    2318318 |  32670340 
       190 |   4734991    1318730   17520596    5972799    2824668 |  32371784 
       191 |   4030599    2472312   17557524    4016575    3692524 |  31769534 
       192 |   4045638    1474216   17017513    5206568    3979770 |  31723705 
       193 |   3532872    1763246   17716407    5510047    2971305 |  31493877 
       194 |   3366000    2541598   15032113    5138310    3262659 |  29340680 
       195 |   2994474    1101021   15365766    4715120    2976470 |  27152851 
       196 |   2646215    1199637   14823918    5453171    2851955 |  26974896 
       197 |   3108040    1705703   14109357    5036577    3154560 |  27114237 
       198 |   3328152    1452925   14600486    4233420    3483773 |  27098756 
       199 |   2999958    1145797   16150642    4483060    2580913 |  27360370 
       200 |   2786027    1937183   16346658    4015737    1629525 |  26715130 
       201 |   2444900    1222161   17034924    2750331    2118538 |  25570854 
-----------+-------------------------------------------------------+----------
     Total | 495256099  114543398 1813431947  672806656  440286335 |3536324435 
