
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |     2,830        488      7,273      1,772        458 |    12,821 
       131 |     2,729        449      7,275      1,850        393 |    12,696 
       132 |     2,632        466      7,121      1,814        408 |    12,441 
       133 |     2,707        461      7,105      1,869        382 |    12,524 
       134 |     2,833        449      7,297      1,903        420 |    12,902 
       135 |     3,021        445      7,510      1,973        407 |    13,356 
       136 |     3,007        462      7,434      1,845        379 |    13,127 
       137 |     3,008        479      7,376      1,874        358 |    13,095 
       138 |     3,096        458      7,620      1,810        390 |    13,374 
       139 |     3,136        432      7,745      1,862        361 |    13,536 
       140 |     3,056        444      7,696      1,843        404 |    13,443 
       141 |     2,988        462      7,771      1,787        442 |    13,450 
       142 |     2,946        439      7,807      1,813        519 |    13,524 
       143 |     2,944        426      7,801      1,803        610 |    13,584 
       144 |     2,916        460      7,611      1,721        756 |    13,464 
       145 |     2,816        444      7,438      1,625        988 |    13,311 
       146 |     2,619        422      7,487      1,443      1,348 |    13,319 
       147 |     2,594        410      7,472      1,465      1,422 |    13,363 
       148 |     2,747        490      7,711      1,550      1,399 |    13,897 
       149 |     2,741        500      7,759      1,555      1,441 |    13,996 
       150 |     2,699        472      7,676      1,471      1,583 |    13,901 
       151 |     2,654        419      7,632      1,523      1,518 |    13,746 
       152 |     2,625        461      7,423      1,524      1,519 |    13,552 
       153 |     2,616        431      7,409      1,499      1,562 |    13,517 
       154 |     2,554        428      7,397      1,505      1,675 |    13,559 
       155 |     2,462        457      7,240      1,538      1,671 |    13,368 
       156 |     2,456        468      7,135      1,504      1,699 |    13,262 
       157 |     2,430        444      6,930      1,487      1,748 |    13,039 
       158 |     2,453        460      7,085      1,376      1,952 |    13,326 
       159 |     2,383        453      6,914      1,363      2,026 |    13,139 
       160 |     2,382        452      6,814      1,291      1,996 |    12,935 
       161 |     2,399        437      6,741      1,272      2,029 |    12,878 
       162 |     2,356        416      6,661      1,203      2,129 |    12,765 
       163 |     2,375        426      6,657      1,261      2,074 |    12,793 
       164 |     2,351        421      6,553      1,345      1,981 |    12,651 
       165 |     2,284        404      6,620      1,435      1,948 |    12,691 
       166 |     2,258        435      6,491      1,412      2,018 |    12,614 
       167 |     2,254        367      6,488      1,458      1,860 |    12,427 
       168 |     2,228        376      6,434      1,464      1,710 |    12,212 
       169 |     2,274        382      6,457      1,466      1,675 |    12,254 
       170 |     2,162        395      6,469      1,406      1,676 |    12,108 
       171 |     2,163        334      6,417      1,529      1,433 |    11,876 
       172 |     2,122        363      6,181      1,496      1,289 |    11,451 
       173 |     2,131        333      6,199      1,546      1,261 |    11,470 
       174 |     2,062        333      6,210      1,445      1,247 |    11,297 
       175 |     2,060        335      6,239      1,430      1,128 |    11,192 
       176 |     2,047        330      6,155      1,489      1,009 |    11,030 
       177 |     1,990        347      6,140      1,451        969 |    10,897 
       178 |     2,031        347      6,303      1,394        997 |    11,072 
       179 |     2,020        344      6,224      1,440        849 |    10,877 
       180 |     2,009        382      6,109      1,497        783 |    10,780 
       181 |     1,981        327      6,228      1,481        827 |    10,844 
       182 |     2,011        329      6,357      1,436        856 |    10,989 
       183 |     1,985        335      6,386      1,495        756 |    10,957 
       184 |     1,945        331      6,317      1,419        704 |    10,716 
       185 |     1,977        336      6,319      1,506        659 |    10,797 
       186 |     1,999        350      6,445      1,453        704 |    10,951 
       187 |     1,948        309      6,467      1,486        679 |    10,889 
       188 |     1,870        357      6,291      1,417        651 |    10,586 
       189 |     1,864        328      6,269      1,367        662 |    10,490 
       190 |     1,803        427      5,980      1,188        608 |    10,006 
       191 |     1,702        537      5,634        966        649 |     9,488 
       192 |     1,639        376      5,562      1,058        566 |     9,201 
       193 |     1,658        346      5,564      1,034        512 |     9,114 
       194 |     1,570        387      5,351        961        526 |     8,795 
       195 |     1,538        316      5,185        912        455 |     8,406 
       196 |     1,432        273      4,939        916        446 |     8,006 
       197 |     1,481        283      4,983        912        429 |     8,088 
       198 |     1,464        283      5,043        848        421 |     8,059 
       199 |     1,447        288      5,165        767        396 |     8,063 
       200 |     1,365        332      5,151        650        367 |     7,865 
       201 |     1,347        286      5,171        593        396 |     7,793 
-----------+-------------------------------------------------------+----------
     Total |   164,682     28,674    478,519    103,562     74,568 |   850,005 
