
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |  10844170   38513381   37066361   15690163    8817161 | 110931236 
       131 |  10723727   41008916   36796837   15470719    7774021 | 111774220 
       132 |  11816961   40673979   38889320   14860372    8028477 | 114269109 
       133 |  11824424   38933095   39119394   16693182    8363214 | 114933309 
       134 |  11649294   37320231   38602183   17021866    8466458 | 113060032 
       135 |  12001277   36751259   38899071   17430263    8210104 | 113291974 
       136 |  11666556   38316410   37670745   17282512    8329769 | 113265992 
       137 |  11082682   35856343   39720089   18321276    9202864 | 114183254 
       138 |  11764128   35255260   41908481   17036914    8673532 | 114638315 
       139 |  10669685   36487400   42652843   17554073    7745493 | 115109494 
       140 |  10226320   39625382   43130191   16205269    7683358 | 116870520 
       141 |  11597569   35621286   44720749   18327349    7635762 | 117902715 
       142 |  11755814   34694932   45915674   16955483    8867549 | 118189452 
       143 |  10527230   36013646   46881289   16929572    9115204 | 119466941 
       144 |  10422646   34021705   46438868   17736676   10273323 | 118893218 
       145 |  10911880   31028871   46251456   16902531   13306974 | 118401712 
       146 |  10321417   29259442   47370331   15951419   16571200 | 119473809 
       147 |   9694488   29660584   49300999   16218197   15434083 | 120308351 
       148 |  10098338   30798726   48033734   16833306   14696692 | 120460796 
       149 |   9965441   30502128   47025057   15752815   16939407 | 120184848 
       150 |   9836476   28830826   47036349   14936810   19444003 | 120084464 
       151 |  10060339   27481037   50062540   14031153   19210284 | 120845353 
       152 |  10645409   28866268   48634611   14175693   18203738 | 120525719 
       153 |  10740420   26637701   50754730   14372821   19087930 | 121593602 
       154 |   9469752   24751502   50908365   14761057   20016834 | 119907510 
       155 |   9527831   24739829   51975858   14813448   18119916 | 119176882 
       156 |   8661981   25517315   51184032   13947184   19647242 | 118957754 
       157 |   8934622   23464168   51085995   14071435   21745919 | 119302139 
       158 |   9505635   22257092   51862866   14353597   22621608 | 120600798 
       159 |   8606945   21919183   53467378   13305822   22224779 | 119524107 
       160 |   8949118   22402772   52871676   13820188   21694180 | 119737934 
       161 |   8458158   20524857   52431898   12475276   25277834 | 119168023 
       162 |   9081938   20448208   50989174   12212441   25249742 | 117981503 
       163 |   8460398   20465698   52534935   12127171   24654023 | 118242225 
       164 |   9441043   23027374   50712871   12967844   22062964 | 118212096 
       165 |   8924381   19369089   51648549   12624783   25421605 | 117988407 
       166 |   8458399   18891278   53533168   13494474   24341085 | 118718404 
       167 |   8699184   19537717   53614751   12783877   21747524 | 116383053 
       168 |   9074885   20289050   52219709   12707836   22064585 | 116356065 
       169 |   9006161   19731109   51930507   15169319   21200449 | 117037545 
       170 |   8857532   19746146   52858595   14199781   21105546 | 116767600 
       171 |   8571079   19709599   51506335   14416662   20085854 | 114289529 
       172 |   8380065   20460825   50450687   16000545   18258667 | 113550789 
       173 |   8253068   16926660   52570681   15230409   20177258 | 113158076 
       174 |   7813305   17127450   52235613   14704218   18463677 | 110344263 
       175 |   8507776   16726466   51354329   15482234   16917775 | 108988580 
       176 |   7345744   18161974   50189158   15775014   15180251 | 106652141 
       177 |   8359516   17673047   50115276   14217127   15379212 | 105744178 
       178 |   7964408   17840458   49344323   14668892   14924222 | 104742303 
       179 |   7959809   18545380   47743753   15649792   13902290 | 103801024 
       180 |   7598016   18653435   49395210   14221343   14118711 | 103986715 
       181 |   7202712   18247800   49489149   16105558   13893741 | 104938960 
       182 |   7195512   18035408   48958863   15400320   13676851 | 103266954 
       183 |   7225941   18039913   49348274   14880792   11592559 | 101087479 
       184 |   7352718   20211413   46726161   14679478   10200705 |  99170475 
       185 |   7139670   17917118   48529578   15137091   10196159 |  98919616 
       186 |   6628600   17335437   47365923   14621983   10005852 |  95957795 
       187 |   7271205   17926957   45252321   15276600   10523800 |  96250883 
       188 |   7078861   18089397   45754567   14178289    9647178 |  94748292 
       189 |   7662222   16717368   45496685   14146681   10493030 |  94515986 
       190 |   7198526   16614034   44097104   14203631   11710750 |  93824045 
       191 |   6650073   21365940   41405488   12421506   10569639 |  92412646 
       192 |   7080828   18068163   42437864   12890605   10887586 |  91365046 
       193 |   6476170   16652428   40958188   14205321   11973387 |  90265494 
       194 |   6799394   16920951   40210847   13156099   13058090 |  90145381 
       195 |   7158725   16092611   41227996   14181666   11392881 |  90053879 
       196 |   7179975   15385773   42144213   15080640   10297205 |  90087806 
       197 |   8244590   15178202   41808623   13898258    8957855 |  88087528 
       198 |   8050844   15860353   39676694   12656218   10090819 |  86334928 
       199 |   7974165   15627159   38498781   11881510    8711967 |  82693582 
       200 |   7515495   15679646   39643791    9835559    8487930 |  81162421 
       201 |   7406959   13214203   39775308    9349456    9028198 |  78774124 
-----------+-------------------------------------------------------+----------
     Total | 646210625 1730246763 3362424012 1061079464 1052080534 |7852041398 
