
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |   6126165    1233734   26916359    8947801    1253574 |  44477633 
       131 |   6869096    1178111   26176679    8752609    1758776 |  44735271 
       132 |   6470433    1131226   25121347   10357399    1406266 |  44486671 
       133 |   6149936    1112644   27131545   10294293    1460467 |  46148885 
       134 |   6112722    1302766   26515854    9919775    1702251 |  45553368 
       135 |   5860394    1095798   26925699   10052366    2447701 |  46381958 
       136 |   6307008    1417174   26029123    9855781    2144733 |  45753819 
       137 |   6745667    1470567   26969781   10082774    1783681 |  47052470 
       138 |   6890846    1006246   26533501   10020076    2009597 |  46460266 
       139 |   7835595    1141184   27230674   10154634    1885106 |  48247193 
       140 |   8178599    1179518   28503598    9232408    1483911 |  48578034 
       141 |   7725143    1193667   28856955    9344000    1785079 |  48904844 
       142 |   7129922     800322   29692475    9552437    2279311 |  49454467 
       143 |   6926917     885487   29357851    9941174    2754621 |  49866050 
       144 |   6750045    1891247   29978063   10075503    2977235 |  51672093 
       145 |   6708474    1131539   29534933    8541831    4982770 |  50899547 
       146 |   6801922    1218087   27879682    6476069    6631092 |  49006852 
       147 |   6328009    1412646   28619727    7570438    6613020 |  50543840 
       148 |   6294171    1526394   29184074    7617868    6413884 |  51036391 
       149 |   6670640    1129213   28537737    8728412    6098356 |  51164358 
       150 |   6666140    1236177   29315265    7871644    6306560 |  51395786 
       151 |   6603376     795835   28637993    7285379    7088180 |  50410763 
       152 |   6172239    1341200   28881223    7885642    6584235 |  50864539 
       153 |   6029788    1062889   28778215    7158799    6816840 |  49846531 
       154 |   5273735    1289527   29665205    7780218    7189401 |  51198086 
       155 |   5009768    1161882   28253933    7708475    6378505 |  48512563 
       156 |   4368198     964189   27143994    7347475    6427664 |  46251520 
       157 |   4139949     756659   25961143    7279673    7427784 |  45565208 
       158 |   4517413     929947   23759330    6549454    8122943 |  43879087 
       159 |   5067225    1038616   22567552    6712462    6954189 |  42340044 
       160 |   4607660     766567   22493999    6423510    6397015 |  40688751 
       161 |   5034944    1301666   21818740    6654372    6573590 |  41383312 
       162 |   5342651    1199590   22650259    6223931    6309056 |  41725487 
       163 |   5797690     991474   22283577    6147161    5961225 |  41181127 
       164 |   5416454    1257240   22065080    6996252    5568238 |  41303264 
       165 |   4833749    1059760   21687633    6774363    5943038 |  40298543 
       166 |   4397140    1654311   22612123    6085159    5686562 |  40435295 
       167 |   4246133    1333107   21071613    6648181    5085915 |  38384949 
       168 |   4242062    1085998   20451255    6676940    5870304 |  38326559 
       169 |   4374596     741772   19213424    6474738    5738187 |  36542717 
       170 |   4353734    1243917   18345232    7328525    5187160 |  36458568 
       171 |   4328058     695308   18445249    8003555    4488934 |  35961104 
       172 |   3794137     938884   18040763    7125100    4082561 |  33981445 
       173 |   4003955     883366   18426656    6715670    3020257 |  33049904 
       174 |   4101628     665102   18466866    6782067    3161588 |  33177251 
       175 |   3267271     880530   17460496    6778683    3093949 |  31480929 
       176 |   3492476     942163   16257741    7118534    2542217 |  30353131 
       177 |   3172273    1238248   15971522    7452900    2186174 |  30021117 
       178 |   3641176    1147696   16105544    7450862    2521079 |  30866357 
       179 |   3668128     887219   16794663    6318191    3007472 |  30675673 
       180 |   3877778    1303461   17120977    6146466    2652097 |  31100779 
       181 |   3561521     862407   16471820    5838485    2731086 |  29465319 
       182 |   3895194     829308   17287253    5539420    2466039 |  30017214 
       183 |   4283551     979884   17573266    6250585    2465956 |  31553242 
       184 |   3657643     830806   17495526    6784795    2206602 |  30975372 
       185 |   4046698    1097398   16799278    7156575    1569636 |  30669585 
       186 |   4127555     848251   18614697    5995110    1713641 |  31299254 
       187 |   2808578     936946   19280535    5696219    1852786 |  30575064 
       188 |   2730593    1033549   17799960    6083716    1450768 |  29098586 
       189 |   3321191    1035542   17999181    5784483    2113361 |  30253758 
       190 |   3391601    1522783   19046242    5994961    1997920 |  31953507 
       191 |   3196570    1816980   18178820    4509171    3562159 |  31263700 
       192 |   3617081    1272497   17727834    4983197    3019214 |  30619823 
       193 |   3258959    1161235   18598660    4539621    2033965 |  29592440 
       194 |   3902747    1556653   19081016    4605331    2594791 |  31740538 
       195 |   3958512    1123547   19479701    5082502    2143172 |  31787434 
       196 |   4032080     902146   19320444    5128148    1642691 |  31025509 
       197 |   3170973    1755050   20398752    3800925    1741811 |  30867511 
       198 |   3632059    1644254   22303701    4064129     905407 |  32549550 
       199 |   3375315    1381016   22991727    4051470    1736992 |  33536520 
       200 |   3749768    2031533   21428248    3329020    1463155 |  32001724 
       201 |   3649138    1959052   21138290    2563898    2514758 |  31825136 
-----------+-------------------------------------------------------+----------
     Total | 354090555   83832707 1635457873  509203790  268170260 |2850755185 
