
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |  13536777    2649201   51253014   17512777    3490906 |  88442675 
       131 |  14269857    3341698   49697357   17542621    4184108 |  89035641 
       132 |  12793877    2896873   49258211   19056319    4243298 |  88248578 
       133 |  13500369    3759461   52810541   19411950    3024566 |  92506887 
       134 |  14213449    2832143   52846036   19633482    3800296 |  93325406 
       135 |  13872508    2868465   53316252   19968911    4455944 |  94482080 
       136 |  14859606    3273484   52218223   20181091    4636221 |  95168625 
       137 |  15763193    2957024   55771769   21447871    4006390 |  99946247 
       138 |  15870024    2784056   56288951   21686418    4558013 | 101187462 
       139 |  16669978    2834544   56964666   20403932    4988429 | 101861549 
       140 |  17212234    3263968   57241121   19826829    3969976 | 101514128 
       141 |  17043871    4037177   59642480   19705400    4206075 | 104635003 
       142 |  17331718    3499384   60109262   19019352    5327333 | 105287049 
       143 |  16954743    2932499   59722389   19504337    6181569 | 105295537 
       144 |  16951915    4437782   61463123   17604827    7432718 | 107890365 
       145 |  16255417    3609355   61619399   17228855   10781546 | 109494572 
       146 |  15941440    2988389   59925672   14005643   15045546 | 107906690 
       147 |  15104988    3514281   60942437   15993492   13973355 | 109528553 
       148 |  14918375    4211816   62149523   16559509   13746449 | 111585672 
       149 |  15428679    3583792   61531158   16504492   15156414 | 112204535 
       150 |  14924218    3447524   61648424   15617904   16324158 | 111962228 
       151 |  14916627    2926691   60910441   15477884   16700965 | 110932608 
       152 |  14500931    3299786   61798674   15956199   15827827 | 111383417 
       153 |  14810104    3480733   61228808   15052870   15979201 | 110551716 
       154 |  13356452    3444518   63526483   15298296   17910121 | 113535870 
       155 |  13001892    3381398   62135697   16180749   14747519 | 109447255 
       156 |  12388568    3637247   61423329   16945452   14572783 | 108967379 
       157 |  11995067    3673172   59772719   15705967   18475688 | 109622613 
       158 |  13070402    3857911   56077599   13780431   20170354 | 106956697 
       159 |  13487265    3014714   53792425   15248998   18303297 | 103846699 
       160 |  12534567    3392266   54696558   14336049   16634842 | 101594282 
       161 |  12867688    4612110   55316669   14502330   17789720 | 105088517 
       162 |  12659949    3863925   55246488   12655108   18153124 | 102578594 
       163 |  13645776    3700671   53943973   14270492   16459558 | 102020470 
       164 |  13734526    4293413   53689195   14648925   16357316 | 102723375 
       165 |  13197554    3858629   53584768   13822909   15783736 | 100247596 
       166 |  13759454    4432556   54311220   13787421   15899581 | 102190232 
       167 |  13492948    3283989   53021193   14444802   15010082 |  99253014 
       168 |  13466643    3450219   51736085   14925768   14044247 |  97622962 
       169 |  13195622    2890806   49463214   14424695   14505202 |  94479539 
       170 |  13553029    3491056   48393050   14918192   13048414 |  93403741 
       171 |  13357955    2502273   48152106   17156388   12348186 |  93516908 
       172 |  12576620    2910433   47591150   16946057   10468333 |  90492593 
       173 |  12334004    3094872   47727227   15992002   10065855 |  89213960 
       174 |  12100276    2871886   49263599   16371365   10857018 |  91464144 
       175 |  11338904    2895196   48701728   16830582    9591604 |  89358014 
       176 |  11613937    3149942   48178853   16465133    9276568 |  88684433 
       177 |  11755686    3423993   48604908   16822661    8931732 |  89538980 
       178 |  12332629    3374201   48577594   16666985    8411219 |  89362628 
       179 |  12608377    2734569   49341443   15983223    8514878 |  89182490 
       180 |  12600396    3282643   50011025   16058670    7120577 |  89073311 
       181 |  11287148    2942137   48531287   15346903    7891531 |  85999006 
       182 |  11738116    3142872   49583161   14536521    7833776 |  86834446 
       183 |  12925039    2851662   49605168   15812963    6903334 |  88098166 
       184 |  13167651    2691061   51320214   17479791    6543711 |  91202428 
       185 |  12258123    3403928   50762734   17895059    6106737 |  90426581 
       186 |  13513352    3253523   51065845   16079425    6946627 |  90858772 
       187 |  12208579    2894079   52715370   15956877    6326422 |  90101327 
       188 |  11807571    3345449   51524165   15663145    6315717 |  88656047 
       189 |  11629597    4350477   51614438   15210444    5853095 |  88658051 
       190 |  11766811    4100629   52413034   15478826    6849313 |  90608613 
       191 |  11400996    6186971   50592202   12927336    9452128 |  90559633 
       192 |  10259920    3637301   50692639   14173383    8042505 |  86805748 
       193 |   9845584    4374478   50460092   13355908    7589229 |  85625291 
       194 |  10213982    4580307   51563993   12239496    7351220 |  85948998 
       195 |  11000330    3708835   50440531   11411443    6637632 |  83198771 
       196 |  10941481    2845616   48620443   13237940    5533478 |  81178958 
       197 |  10851878    4050691   51545373   13286936    4335949 |  84070827 
       198 |  10022676    4107775   55517551   12454582    5324035 |  87426619 
       199 |  10681262    3738588   58987233   11819982    5867853 |  91094918 
       200 |  10244710    3992770   61738476    9247132    5190905 |  90413993 
       201 |   9248935    4744477   60334599    7586997    5864394 |  87779402 
-----------+-------------------------------------------------------+----------
     Total | 950684825  250892360 3906266777 1141293704  714252448 |6963390114 
