
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |       581        162      1,761        474        119 |     3,097 
       131 |       588        142      1,735        482        122 |     3,069 
       132 |       515        129      1,698        482        115 |     2,939 
       133 |       539        145      1,734        484        109 |     3,011 
       134 |       577        142      1,792        520        119 |     3,150 
       135 |       610        143      1,923        559        115 |     3,350 
       136 |       607        151      1,907        550        127 |     3,342 
       137 |       624        158      2,005        578        128 |     3,493 
       138 |       659        155      2,025        628        143 |     3,610 
       139 |       673        169      2,035        622        143 |     3,642 
       140 |       660        165      2,029        596        132 |     3,582 
       141 |       653        167      1,999        600        145 |     3,564 
       142 |       648        163      2,017        576        168 |     3,572 
       143 |       657        138      2,035        548        203 |     3,581 
       144 |       651        165      2,041        490        232 |     3,579 
       145 |       621        160      2,060        457        323 |     3,621 
       146 |       598        148      2,029        404        416 |     3,595 
       147 |       589        169      2,046        442        411 |     3,657 
       148 |       624        205      2,150        478        414 |     3,871 
       149 |       600        188      2,169        484        473 |     3,914 
       150 |       607        194      2,166        475        512 |     3,954 
       151 |       586        177      2,115        491        520 |     3,889 
       152 |       560        170      2,109        493        499 |     3,831 
       153 |       574        178      2,088        472        514 |     3,826 
       154 |       546        177      2,141        473        579 |     3,916 
       155 |       519        177      2,125        500        504 |     3,825 
       156 |       496        153      2,026        522        512 |     3,709 
       157 |       479        169      1,939        459        543 |     3,589 
       158 |       499        190      1,897        427        622 |     3,635 
       159 |       521        161      1,855        445        621 |     3,603 
       160 |       510        151      1,831        437        564 |     3,493 
       161 |       521        179      1,819        422        624 |     3,565 
       162 |       496        178      1,801        411        644 |     3,530 
       163 |       528        186      1,759        444        613 |     3,530 
       164 |       527        184      1,767        445        651 |     3,574 
       165 |       516        176      1,782        432        598 |     3,504 
       166 |       520        201      1,792        419        612 |     3,544 
       167 |       514        176      1,756        465        560 |     3,471 
       168 |       526        175      1,679        466        537 |     3,383 
       169 |       505        146      1,630        477        538 |     3,296 
       170 |       505        175      1,611        482        493 |     3,266 
       171 |       513        144      1,605        514        466 |     3,242 
       172 |       490        151      1,577        523        399 |     3,140 
       173 |       477        154      1,583        507        379 |     3,100 
       174 |       456        162      1,577        502        404 |     3,101 
       175 |       424        146      1,589        527        336 |     3,022 
       176 |       437        141      1,593        523        320 |     3,014 
       177 |       435        167      1,600        502        296 |     3,000 
       178 |       450        158      1,621        494        332 |     3,055 
       179 |       455        145      1,637        488        299 |     3,024 
       180 |       452        151      1,627        493        269 |     2,992 
       181 |       450        152      1,639        483        284 |     3,008 
       182 |       445        155      1,674        479        299 |     3,052 
       183 |       462        146      1,696        523        260 |     3,087 
       184 |       457        149      1,756        545        245 |     3,152 
       185 |       453        169      1,788        549        245 |     3,204 
       186 |       480        160      1,814        531        257 |     3,242 
       187 |       439        142      1,801        515        234 |     3,131 
       188 |       446        155      1,761        485        231 |     3,078 
       189 |       435        166      1,745        485        211 |     3,042 
       190 |       420        172      1,686        453        221 |     2,952 
       191 |       378        202      1,548        361        257 |     2,746 
       192 |       359        149      1,523        386        226 |     2,643 
       193 |       358        159      1,503        373        216 |     2,609 
       194 |       330        161      1,423        342        205 |     2,461 
       195 |       347        144      1,374        311        181 |     2,357 
       196 |       335        114      1,280        320        148 |     2,197 
       197 |       320        128      1,342        303        139 |     2,232 
       198 |       315        136      1,384        303        147 |     2,285 
       199 |       314        127      1,466        276        149 |     2,332 
       200 |       301        119      1,461        238        133 |     2,252 
       201 |       283        113      1,439        197        142 |     2,174 
-----------+-------------------------------------------------------+----------
     Total |    36,045     11,474    127,990     33,642     23,947 |   233,098 
