
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |       902        243      2,543        620        160 |     4,468 
       131 |       879        210      2,532        622        158 |     4,401 
       132 |       792        200      2,488        631        140 |     4,251 
       133 |       807        215      2,520        628        151 |     4,321 
       134 |       855        204      2,547        676        164 |     4,446 
       135 |       898        207      2,686        722        159 |     4,672 
       136 |       911        211      2,682        699        159 |     4,662 
       137 |       942        224      2,745        724        160 |     4,795 
       138 |       971        222      2,792        773        171 |     4,929 
       139 |       973        223      2,777        781        175 |     4,929 
       140 |       934        228      2,746        761        166 |     4,835 
       141 |       915        242      2,711        748        185 |     4,801 
       142 |       912        238      2,734        736        220 |     4,840 
       143 |       917        210      2,747        713        273 |     4,860 
       144 |       926        247      2,745        641        311 |     4,870 
       145 |       899        226      2,753        583        438 |     4,899 
       146 |       856        212      2,750        511        559 |     4,888 
       147 |       843        236      2,772        554        544 |     4,949 
       148 |       895        276      2,912        606        542 |     5,231 
       149 |       875        268      2,897        610        609 |     5,259 
       150 |       854        261      2,862        576        671 |     5,224 
       151 |       820        229      2,802        590        667 |     5,108 
       152 |       784        231      2,723        597        633 |     4,968 
       153 |       811        236      2,680        593        656 |     4,976 
       154 |       765        227      2,699        586        727 |     5,004 
       155 |       739        239      2,652        618        647 |     4,895 
       156 |       715        220      2,572        629        664 |     4,800 
       157 |       686        227      2,485        583        683 |     4,664 
       158 |       713        261      2,415        520        791 |     4,700 
       159 |       730        224      2,377        534        781 |     4,646 
       160 |       724        216      2,323        526        734 |     4,523 
       161 |       721        240      2,284        505        801 |     4,551 
       162 |       687        233      2,262        492        842 |     4,516 
       163 |       706        246      2,227        523        808 |     4,510 
       164 |       700        233      2,229        552        816 |     4,530 
       165 |       692        222      2,242        537        751 |     4,444 
       166 |       683        250      2,225        513        765 |     4,436 
       167 |       678        214      2,196        564        707 |     4,359 
       168 |       676        220      2,113        554        676 |     4,239 
       169 |       659        189      2,062        561        668 |     4,139 
       170 |       650        222      2,039        560        623 |     4,094 
       171 |       673        183      2,010        599        584 |     4,049 
       172 |       636        188      1,967        613        517 |     3,921 
       173 |       629        188      1,931        624        479 |     3,851 
       174 |       592        197      1,937        604        498 |     3,828 
       175 |       566        177      1,939        622        425 |     3,729 
       176 |       585        175      1,919        629        385 |     3,693 
       177 |       572        205      1,934        599        373 |     3,683 
       178 |       586        192      1,986        579        407 |     3,750 
       179 |       591        187      1,976        575        362 |     3,691 
       180 |       602        198      1,955        589        324 |     3,668 
       181 |       599        184      1,970        589        352 |     3,694 
       182 |       583        186      2,001        590        381 |     3,741 
       183 |       603        175      2,017        622        323 |     3,740 
       184 |       595        180      2,076        627        296 |     3,774 
       185 |       588        201      2,115        639        286 |     3,829 
       186 |       605        191      2,124        625        298 |     3,843 
       187 |       553        173      2,132        608        275 |     3,741 
       188 |       561        196      2,074        575        259 |     3,665 
       189 |       544        205      2,064        567        259 |     3,639 
       190 |       521        209      1,993        512        262 |     3,497 
       191 |       480        234      1,830        414        291 |     3,249 
       192 |       469        174      1,810        446        253 |     3,152 
       193 |       464        187      1,801        425        241 |     3,118 
       194 |       429        195      1,689        395        223 |     2,931 
       195 |       433        169      1,611        359        206 |     2,778 
       196 |       425        132      1,524        362        174 |     2,617 
       197 |       411        150      1,570        347        162 |     2,640 
       198 |       389        161      1,628        353        168 |     2,699 
       199 |       383        147      1,725        325        170 |     2,750 
       200 |       365        145      1,711        270        152 |     2,643 
       201 |       365        133      1,695        226        163 |     2,582 
-----------+-------------------------------------------------------+----------
     Total |    49,492     14,999    163,262     40,961     30,103 |   298,817 
