
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |       744      2,800      2,581        937        483 |     7,545 
       131 |       716      2,745      2,546        970        431 |     7,408 
       132 |       654      2,730      2,429        938        379 |     7,130 
       133 |       703      2,704      2,500      1,041        408 |     7,356 
       134 |       737      2,722      2,640      1,048        480 |     7,627 
       135 |       764      2,752      2,758      1,211        438 |     7,923 
       136 |       759      2,754      2,788      1,223        420 |     7,944 
       137 |       759      2,683      2,965      1,188        458 |     8,053 
       138 |       807      2,715      3,115      1,106        532 |     8,275 
       139 |       810      2,712      3,142      1,182        506 |     8,352 
       140 |       801      2,720      3,190      1,152        477 |     8,340 
       141 |       811      2,621      3,286      1,152        489 |     8,359 
       142 |       788      2,579      3,361      1,134        562 |     8,424 
       143 |       842      2,471      3,364      1,132        565 |     8,374 
       144 |       817      2,491      3,326      1,111        568 |     8,313 
       145 |       819      2,354      3,331      1,104        685 |     8,293 
       146 |       733      2,314      3,383      1,051        788 |     8,269 
       147 |       730      2,252      3,408      1,007        875 |     8,272 
       148 |       798      2,433      3,617      1,083        877 |     8,808 
       149 |       777      2,375      3,669      1,079        942 |     8,842 
       150 |       731      2,360      3,676      1,094      1,032 |     8,893 
       151 |       738      2,266      3,569      1,063      1,048 |     8,684 
       152 |       756      2,250      3,509      1,107        983 |     8,605 
       153 |       756      2,120      3,541      1,109      1,045 |     8,571 
       154 |       751      2,143      3,538      1,086      1,135 |     8,653 
       155 |       739      2,010      3,555      1,115      1,075 |     8,494 
       156 |       745      2,043      3,413      1,052      1,085 |     8,338 
       157 |       714      1,918      3,353      1,018      1,101 |     8,104 
       158 |       733      1,906      3,313        989      1,266 |     8,207 
       159 |       736      1,907      3,356        943      1,251 |     8,193 
       160 |       707      1,897      3,220        973      1,303 |     8,100 
       161 |       706      1,864      3,277        883      1,378 |     8,108 
       162 |       725      1,821      3,211        857      1,413 |     8,027 
       163 |       758      1,764      3,219        908      1,372 |     8,021 
       164 |       736      1,812      3,097        983      1,340 |     7,968 
       165 |       715      1,696      3,132        946      1,340 |     7,829 
       166 |       719      1,730      3,110        904      1,405 |     7,868 
       167 |       699      1,726      3,167        937      1,307 |     7,836 
       168 |       653      1,782      3,054        899      1,249 |     7,637 
       169 |       633      1,666      3,002        935      1,266 |     7,502 
       170 |       632      1,646      2,952        870      1,284 |     7,384 
       171 |       642      1,583      2,973        969      1,157 |     7,324 
       172 |       610      1,604      2,880        981      1,032 |     7,107 
       173 |       619      1,517      2,842        935      1,055 |     6,968 
       174 |       610      1,514      2,810        894      1,007 |     6,835 
       175 |       627      1,460      2,754        900        951 |     6,692 
       176 |       640      1,484      2,725        910        935 |     6,694 
       177 |       649      1,398      2,732        910        908 |     6,597 
       178 |       623      1,383      2,764        920        924 |     6,614 
       179 |       611      1,381      2,760        958        879 |     6,589 
       180 |       604      1,433      2,758        952        812 |     6,559 
       181 |       587      1,363      2,791        990        849 |     6,580 
       182 |       614      1,363      2,831      1,007        859 |     6,674 
       183 |       598      1,343      2,922      1,058        792 |     6,713 
       184 |       582      1,357      2,966      1,052        762 |     6,719 
       185 |       602      1,359      3,023      1,075        763 |     6,822 
       186 |       600      1,337      3,044      1,080        843 |     6,904 
       187 |       598      1,325      3,029      1,086        752 |     6,790 
       188 |       575      1,295      2,926      1,078        718 |     6,592 
       189 |       558      1,232      2,945      1,017        733 |     6,485 
       190 |       557      1,228      2,805        971        702 |     6,263 
       191 |       521      1,304      2,511        806        642 |     5,784 
       192 |       538      1,125      2,468        810        662 |     5,603 
       193 |       510      1,079      2,521        847        647 |     5,604 
       194 |       466      1,095      2,395        752        644 |     5,352 
       195 |       486        981      2,218        755        575 |     5,015 
       196 |       442        892      2,094        708        485 |     4,621 
       197 |       452        903      2,170        719        470 |     4,714 
       198 |       445        902      2,186        685        531 |     4,749 
       199 |       450        843      2,323        670        447 |     4,733 
       200 |       422        820      2,263        581        489 |     4,575 
       201 |       423        794      2,341        511        452 |     4,521 
-----------+-------------------------------------------------------+----------
     Total |    47,712    130,951    213,433     70,107     60,518 |   522,721 
