
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |   4994142    9341024   28946845   10781977    5374217 |  59438205 
       131 |   4935456    8724980   29750776   12096154    3776152 |  59283518 
       132 |   4640704    9888786   28376668   11756577    3580681 |  58243416 
       133 |   5276075    9113695   28263506   13400499    3911476 |  59965251 
       134 |   5562181    7951231   29761255   11488213    4652278 |  59415158 
       135 |   4886049    7871768   31049760   13981078    3504015 |  61292670 
       136 |   4674873    8259874   30533092   14411292    3206399 |  61085530 
       137 |   5229756    7182360   33519433   14659099    3756437 |  64347085 
       138 |   5666289    7445769   34081289   11592138    4967246 |  63752731 
       139 |   5110138    8280054   36214136   12813272    4114750 |  66532350 
       140 |   4998058    7976088   36229800   11885852    4919429 |  66009227 
       141 |   5692157    6624191   37561867   12550082    4059957 |  66488254 
       142 |   5108316    8030984   37897863   12944893    5277010 |  69259066 
       143 |   5494135    6650167   38003383   12992083    6125012 |  69264780 
       144 |   5990771    6674988   38747914   12702286    6525838 |  70641797 
       145 |   5266486    7603623   37927902   13787871    6601663 |  71187545 
       146 |   5179377    6778064   38076772   12525054    8149498 |  70708765 
       147 |   4553560    7158325   37693919   12599506    7361359 |  69366669 
       148 |   4969204    6477768   38510230   14160794    7822711 |  71940707 
       149 |   4563662    6784944   40002981   12417900    8938493 |  72707980 
       150 |   4571710    6350456   39255500   14115887   10479230 |  74772783 
       151 |   4365667    5567092   38773277   13681994    9757837 |  72145867 
       152 |   3987966    5797415   38829926   13254860    9888994 |  71759161 
       153 |   4930491    5448831   38791088   13853278    9800712 |  72824400 
       154 |   4810594    6082249   38716620   14056628   11694718 |  75360809 
       155 |   4915506    6006663   39891477   13438976   11776475 |  76029097 
       156 |   4712575    6966310   37326433   13112484   11742169 |  73859971 
       157 |   4637970    6744196   38161445   13864972   10844676 |  74253259 
       158 |   4690216    6170534   34869973   13994807   12277785 |  72003315 
       159 |   4118039    5928604   36852299   13778941   11062487 |  71740370 
       160 |   3900394    5329333   36154137   12387394   11343457 |  69114715 
       161 |   4176547    5242979   38638364   11731298   11480277 |  71269465 
       162 |   4612588    4689075   36767605   11693403   11183055 |  68945726 
       163 |   4490107    4759661   37490871   11239614   10625940 |  68606193 
       164 |   4220642    4589727   36399458   11729174   10985293 |  67924294 
       165 |   4060729    4759329   35323930   12150853   10387074 |  66681915 
       166 |   4312550    4246607   35564009   12581871   10649039 |  67354076 
       167 |   4204077    4724413   36888728   12529911    9250621 |  67597750 
       168 |   3632370    6008224   35493015   11945463   10275464 |  67354536 
       169 |   4572428    4328061   33042187   12565988    9690262 |  64198926 
       170 |   4916665    4629062   32676055   10997746    9067065 |  62286593 
       171 |   5486839    3867510   32869798   11767179    9789202 |  63780528 
       172 |   4697894    4524150   30606792   11658802    7958686 |  59446324 
       173 |   5136899    4180484   29334369   11569381    8636507 |  58857640 
       174 |   5147311    3970959   29326555   11922213    8981901 |  59348939 
       175 |   5446610    3761166   29054220   11549831    8573570 |  58385397 
       176 |   4916091    4819837   30246201   11997177    7435994 |  59415300 
       177 |   4233145    5315739   32650073   12375321    7808443 |  62382721 
       178 |   3674214    5337916   32598929   12754514    7172440 |  61538013 
       179 |   3795290    5753965   31610511   13222706    5786733 |  60169205 
       180 |   4022614    6013573   30887185   13005195    7079614 |  61008181 
       181 |   3708852    5190499   28823323   12167746    7903655 |  57794075 
       182 |   3589817    6156450   28863043   11074134    7012019 |  56695463 
       183 |   3478316    4942830   29692932   12075972    5951507 |  56141557 
       184 |   3861220    5378455   31338727   12801117    5778077 |  59157596 
       185 |   3633442    5238573   31742548   12892465    5560614 |  59067642 
       186 |   4298652    5076245   31050421   13816676    5652181 |  59894175 
       187 |   4160821    5159934   30750816   12624445    5446666 |  58142682 
       188 |   3796262    5571009   31015559   12190203    5241833 |  57814866 
       189 |   3996594    5504061   31750098   11361190    5700023 |  58311966 
       190 |   4548966    6362211   28408572   10671024    6425354 |  56416127 
       191 |   4200454    8125096   27378602    9344858    7968439 |  57017449 
       192 |   4764409    5593437   26428132   10175637    7614613 |  54576228 
       193 |   3485090    4752091   27200489   10797115    6778098 |  53012883 
       194 |   3721034    5078387   28337933   10856131    6740274 |  54733759 
       195 |   4214049    5078275   25748215   11924473    5352894 |  52317906 
       196 |   3681772    4669019   27855850   10953817    4532734 |  51693192 
       197 |   4172235    4337782   29235199   11120297    4396149 |  53261662 
       198 |   3609885    4986998   31666172   10709387    5287865 |  56260307 
       199 |   4323803    4952301   36630751    9445253    4909181 |  60261289 
       200 |   3869260    4849710   37934714    9109058    5270418 |  61033160 
       201 |   4544267    4593896   36981575    7522801    6059228 |  59701767 
-----------+-------------------------------------------------------+----------
     Total | 325847327  428330062 2415074092  879708280  535692163 |4584651924 
