
           |                         state
     ciclo |         A          I          P          T          U |     Total
-----------+-------------------------------------------------------+----------
       130 |   7074247   15201656   37282907   13818933    6852202 |  80229945 
       131 |   6812802   14262080   38037696   16276418    5075508 |  80464504 
       132 |   6747975   16117011   36470546   16134641    4937296 |  80407469 
       133 |   6872959   16147535   36294741   17575190    5786950 |  82677375 
       134 |   7277407   14227627   38017963   15641687    7169489 |  82334173 
       135 |   6868016   14835776   39159504   17609429    4889914 |  83362639 
       136 |   6466717   14884590   39434444   17989495    4708964 |  83484210 
       137 |   7456831   13031644   43287044   18029459    5637346 |  87442324 
       138 |   7962075   13107659   43195061   14959553    6915183 |  86139531 
       139 |   7274622   13401064   46585315   16194073    5576518 |  89031592 
       140 |   7262355   13909328   45736838   15030680    6355454 |  88294655 
       141 |   7906585   12015335   47735572   16724399    6192443 |  90574334 
       142 |   7145001   13414348   47988945   17024430    7498968 |  93071692 
       143 |   7837123   11453869   46981048   17454359    8017743 |  91744142 
       144 |   8362601   12025260   48087924   16734411    8875007 |  94085203 
       145 |   7582709   12892200   47563191   17243199    9678912 |  94960211 
       146 |   7311463   12448395   48245270   16222617   10963295 |  95191040 
       147 |   6848038   12154778   47462717   15837319   10408408 |  92711260 
       148 |   7098383   10235083   48034057   17747259   10873123 |  93987905 
       149 |   6687696   11021034   50170179   16039053   12252674 |  96170636 
       150 |   6454553   11066078   49009619   17429312   13606839 |  97566401 
       151 |   6305105   10114983   48322045   16572269   12928525 |  94242927 
       152 |   5915000   10315248   48808118   15856366   13244806 |  94139538 
       153 |   6834888    9868605   49628867   16522646   13207993 |  96062999 
       154 |   6961532   10106832   48568600   16615728   15339132 |  97591824 
       155 |   6688735    9412457   49845434   16627043   15255751 |  97829420 
       156 |   6827466   10719631   48153229   16204764   15021954 |  96927044 
       157 |   6809125   11067325   49776169   16834678   15189533 |  99676830 
       158 |   7008826   10427573   46483255   17629392   17312782 |  98861828 
       159 |   5962277   10316408   47628427   16939377   15433681 |  96280170 
       160 |   5905451   10057906   46843423   16105599   16410211 |  95322590 
       161 |   6238515   10517994   48922888   14713736   16638516 |  97031649 
       162 |   6416173    8808227   48214595   14286820   16737728 |  94463543 
       163 |   6239215    8318137   49445279   14452193   15599237 |  94054061 
       164 |   6041042    8859716   47651767   15158496   15725780 |  93436801 
       165 |   6209340    7806850   46346184   15067136   15058010 |  90487520 
       166 |   6245202    8004785   46122740   15173834   14937101 |  90483662 
       167 |   6489337    8222095   46808198   15416584   13397350 |  90333564 
       168 |   5476467    9145929   46346303   14422573   14148284 |  89539556 
       169 |   6237468    7621227   43562593   15459940   14640731 |  87521959 
       170 |   6901056    8002393   42729665   13978447   14035707 |  85647268 
       171 |   7153016    7303439   43221276   15006378   13710071 |  86394180 
       172 |   7040559    8789927   41539779   14676219   11558506 |  83604990 
       173 |   7292833    8566558   40577504   14536593   11941142 |  82914630 
       174 |   7405981    7866687   41048844   14948859   12677005 |  83947376 
       175 |   8615794    6848579   39874593   14940205   11710709 |  81989880 
       176 |   7747034    8064533   41437755   15686307   10748217 |  83683846 
       177 |   6912389    8804244   44586593   15680898   10739418 |  86723542 
       178 |   6093161    8017803   44749695   16232135   10363697 |  85456491 
       179 |   5654996    8958348   43042542   17985256    9107019 |  84748161 
       180 |   6059067    9101106   42029231   17127162    9786190 |  84102756 
       181 |   6034633    8483789   40661918   16746468   11018336 |  82945144 
       182 |   6185314    8571585   40420254   15000576   10358925 |  80536654 
       183 |   6112237    8209312   40670189   16023692    9066878 |  80082308 
       184 |   6307302    8744513   43341987   16668728    8827201 |  83889731 
       185 |   5772659    8460657   44565802   16680551    8690984 |  84170653 
       186 |   6410288    8009133   43677637   16678451    9324946 |  84100455 
       187 |   6582266    8476665   42332504   16860772    8699421 |  82951628 
       188 |   6292235    8520219   42729469   17109861    8462706 |  83114490 
       189 |   6347832    8717713   44217643   16231440    8506494 |  84021122 
       190 |   6903999    9329650   41773011   14864778    9079223 |  81950661 
       191 |   6780265   12138240   39823993   12644082   10780446 |  82167026 
       192 |   7106087    8117829   39612267   13302146   11094849 |  79233178 
       193 |   5248408    7458674   40570472   13914897   10401048 |  77593499 
       194 |   5486611    8195674   39535173   14728818    9566656 |  77512932 
       195 |   6425229    7875040   37283356   15855349    8118209 |  75557183 
       196 |   5728426    7487394   40226381   15102126    7330372 |  75874699 
       197 |   6481115    7694544   42275990   14573940    6907933 |  77933522 
       198 |   5933211    9119469   44398406   13989949    8010365 |  81451400 
       199 |   6408233    9115202   50164578   12351330    7101674 |  85141017 
       200 |   6403937    8057305   51441449   12113776    7650862 |  85667329 
       201 |   6371212    7435301   52012880   10212804    8683531 |  84715728 
-----------+-------------------------------------------------------+----------
     Total | 480318707  726105803 3198831531 1130228083  762558081 |6298042205 
